NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	6	0.6123282313346863	0.038125474	Yes	
row_1	DUT	deoxyuridine triphosphatase [Source:HGNC Symbol;Acc:HGNC:3078]	78	0.5326675772666931	0.056475583	Yes	
row_2	SHMT1	serine hydroxymethyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10850]	140	0.5056509375572205	0.07533618	Yes	
row_3	CKS1B	CDC28 protein kinase regulatory subunit 1B [Source:HGNC Symbol;Acc:HGNC:19083]	157	0.4990667402744293	0.10390743	Yes	
row_4	STMN1	stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510]	267	0.46523669362068176	0.10935171	Yes	
row_5	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	353	0.4439895451068878	0.11883159	Yes	
row_6	PSIP1	PC4 and SRSF1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:9527]	505	0.4021459221839905	0.11074895	Yes	
row_7	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]	563	0.38607653975486755	0.122801475	Yes	
row_8	PA2G4	proliferation-associated 2G4 [Source:HGNC Symbol;Acc:HGNC:8550]	610	0.37080422043800354	0.13634688	Yes	
row_9	NME1	NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]	637	0.3637009263038635	0.15393883	Yes	
row_10	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	706	0.3409440815448761	0.1606042	Yes	
row_11	RAN	RAN, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9846]	711	0.3396070897579193	0.18159778	Yes	
row_12	RANBP1	RAN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9847]	740	0.3291419446468353	0.19651127	Yes	
row_13	NAP1L1	nucleosome assembly protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:7637]	853	0.29228389263153076	0.1901296	Yes	
row_14	MRE11	MRE11 homolog, double strand break repair nuclease [Source:HGNC Symbol;Acc:HGNC:7230]	926	0.2692604660987854	0.19127262	Yes	
row_15	MAD2L1	mitotic arrest deficient 2 like 1 [Source:HGNC Symbol;Acc:HGNC:6763]	928	0.2690121531486511	0.20839061	Yes	
row_16	UBE2S	ubiquitin conjugating enzyme E2 S [Source:HGNC Symbol;Acc:HGNC:17895]	947	0.26144883036613464	0.22119218	Yes	
row_17	HNRNPD	heterogeneous nuclear ribonucleoprotein D [Source:HGNC Symbol;Acc:HGNC:5036]	966	0.25284987688064575	0.23343936	Yes	
row_18	CNOT9	CCR4-NOT transcription complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:10445]	970	0.25051772594451904	0.24891457	Yes	
row_19	RAD1	RAD1 checkpoint DNA exonuclease [Source:HGNC Symbol;Acc:HGNC:9806]	975	0.2492499202489853	0.26408282	Yes	
row_20	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein [Source:HGNC Symbol;Acc:HGNC:16918]	1002	0.23596657812595367	0.27343974	Yes	
row_21	PAICS	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase [Source:HGNC Symbol;Acc:HGNC:8587]	1007	0.2345808744430542	0.2876623	Yes	
row_22	TMPO	thymopoietin [Source:HGNC Symbol;Acc:HGNC:11875]	1010	0.2335340678691864	0.3022678	Yes	
row_23	PRPS1	phosphoribosyl pyrophosphate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9462]	1129	0.19024506211280823	0.28795633	Yes	
row_24	AK2	adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]	1144	0.18341591954231262	0.296628	Yes	
row_25	DCK	deoxycytidine kinase [Source:HGNC Symbol;Acc:HGNC:2704]	1155	0.18196159601211548	0.3061068	Yes	
row_26	AURKA	aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]	1172	0.17686991393566132	0.313906	Yes	
row_27	ASF1A	anti-silencing function 1A histone chaperone [Source:HGNC Symbol;Acc:HGNC:20995]	1191	0.16861435770988464	0.32072255	Yes	
row_28	EXOSC8	exosome component 8 [Source:HGNC Symbol;Acc:HGNC:17035]	1199	0.1671018898487091	0.32991904	Yes	
row_29	PPP1R8	protein phosphatase 1 regulatory subunit 8 [Source:HGNC Symbol;Acc:HGNC:9296]	1240	0.15267273783683777	0.33075285	Yes	
row_30	SMC3	structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468]	1286	0.1399095505475998	0.32963768	Yes	
row_31	PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D [Source:HGNC Symbol;Acc:HGNC:9277]	1314	0.13219398260116577	0.33207914	Yes	
row_32	BARD1	BRCA1 associated RING domain 1 [Source:HGNC Symbol;Acc:HGNC:952]	1367	0.11894986778497696	0.32803613	Yes	
row_33	TK1	thymidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11830]	1371	0.11802715063095093	0.33496967	Yes	
row_34	CDC25B	cell division cycle 25B [Source:HGNC Symbol;Acc:HGNC:1726]	1387	0.11408022046089172	0.33894604	Yes	
row_35	TRA2B	transformer 2 beta homolog [Source:HGNC Symbol;Acc:HGNC:10781]	1499	0.0874364823102951	0.3195831	No	
row_36	XRCC6	X-ray repair cross complementing 6 [Source:HGNC Symbol;Acc:HGNC:4055]	1581	0.06807292997837067	0.3057285	No	
row_37	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	1596	0.06679173558950424	0.30688143	No	
