NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERPINE2	serpin family E member 2 [Source:HGNC Symbol;Acc:HGNC:8951]	121	0.5121929049491882	-0.007892286	No	
row_1	DPYSL3	dihydropyrimidinase like 3 [Source:HGNC Symbol;Acc:HGNC:3015]	122	0.5121519565582275	0.011858353	No	
row_2	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	197	0.48513612151145935	0.013660597	No	
row_3	COLGALT1	collagen beta(1-O)galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26182]	302	0.4562588930130005	0.0074952096	No	
row_4	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	357	0.443455308675766	0.012259412	No	
row_5	GPX7	glutathione peroxidase 7 [Source:HGNC Symbol;Acc:HGNC:4559]	522	0.3979848623275757	-0.009861277	No	
row_6	DKK1	dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891]	559	0.38776201009750366	-0.0031324252	No	
row_7	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	585	0.37921392917633057	0.0057799146	No	
row_8	CXCL6	C-X-C motif chemokine ligand 6 [Source:HGNC Symbol;Acc:HGNC:10643]	599	0.376457154750824	0.017327545	No	
row_9	SERPINH1	serpin family H member 1 [Source:HGNC Symbol;Acc:HGNC:1546]	639	0.3626842200756073	0.022403896	No	
row_10	SPARC	secreted protein acidic and cysteine rich [Source:HGNC Symbol;Acc:HGNC:11219]	672	0.35235199332237244	0.028681062	No	
row_11	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	675	0.3520326614379883	0.041799925	No	
row_12	SNTB1	syntrophin beta 1 [Source:HGNC Symbol;Acc:HGNC:11168]	684	0.3502461016178131	0.053479087	No	
row_13	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	749	0.32645127177238464	0.051446475	No	
row_14	SPOCK1	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1 [Source:HGNC Symbol;Acc:HGNC:11251]	767	0.3198024034500122	0.059895404	No	
row_15	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	798	0.31054407358169556	0.06501722	No	
row_16	FGF2	fibroblast growth factor 2 [Source:HGNC Symbol;Acc:HGNC:3676]	809	0.30844053626060486	0.07462726	No	
row_17	NNMT	nicotinamide N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:7861]	817	0.3070681691169739	0.08486977	No	
row_18	BDNF	brain derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:1033]	854	0.29215720295906067	0.08791172	No	
row_19	PRSS2	serine protease 2 [Source:HGNC Symbol;Acc:HGNC:9483]	898	0.2787473499774933	0.08883726	No	
row_20	TPM4	tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013]	919	0.2710825204849243	0.09472195	No	
row_21	MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]	920	0.2710685431957245	0.10517544	No	
row_22	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	991	0.2402385026216507	0.098447315	No	
row_23	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	1020	0.22949440777301788	0.10090047	No	
row_24	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	1067	0.2099301666021347	0.098486744	No	
