NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LDHA	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]	18	0.5817891359329224	0.01909109	Yes	
row_1	HSP90AA1	heat shock protein 90 alpha family class A member 1 [Source:HGNC Symbol;Acc:HGNC:5253]	25	0.5705430507659912	0.04044519	Yes	
row_2	BLVRA	biliverdin reductase A [Source:HGNC Symbol;Acc:HGNC:1062]	26	0.5696053504943848	0.06311729	Yes	
row_3	ACAT2	acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]	55	0.5462169647216797	0.07853362	Yes	
row_4	HIBCH	3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908]	73	0.5350848436355591	0.09599162	Yes	
row_5	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	74	0.5336291790008545	0.11723175	Yes	
row_6	ACOT8	acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919]	102	0.5227160453796387	0.13193856	Yes	
row_7	MDH1	malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970]	123	0.5117709636688232	0.14779094	Yes	
row_8	ERP29	endoplasmic reticulum protein 29 [Source:HGNC Symbol;Acc:HGNC:13799]	149	0.5034598708152771	0.16218306	Yes	
row_9	GCDH	glutaryl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4189]	159	0.49797409772872925	0.17997104	Yes	
row_10	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	160	0.4973967373371124	0.19976899	Yes	
row_11	FASN	fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]	166	0.4962140917778015	0.21839045	Yes	
row_12	BPHL	biphenyl hydrolase like [Source:HGNC Symbol;Acc:HGNC:1094]	208	0.4812334179878235	0.22828372	Yes	
