NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	G6PD	glucose-6-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4057]	11	0.5956599712371826	0.023424247	Yes	
row_1	AKR1A1	aldo-keto reductase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:380]	12	0.5926264524459839	0.049211953	Yes	
row_2	LDHA	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]	18	0.5817891359329224	0.073393784	Yes	
row_3	HDLBP	high density lipoprotein binding protein [Source:HGNC Symbol;Acc:HGNC:4857]	33	0.5623817443847656	0.09468937	Yes	
row_4	PGLS	6-phosphogluconolactonase [Source:HGNC Symbol;Acc:HGNC:8903]	64	0.5426902174949646	0.11149833	Yes	
row_5	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	74	0.5336291790008545	0.13267708	Yes	
row_6	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	83	0.5305344462394714	0.15394801	Yes	
row_7	PKM	pyruvate kinase M1/2 [Source:HGNC Symbol;Acc:HGNC:9021]	88	0.5281928777694702	0.1760245	Yes	
row_8	MDH1	malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970]	123	0.5117709636688232	0.19058059	Yes	
row_9	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	160	0.4973967373371124	0.20405748	Yes	
row_10	ARPP19	cAMP regulated phosphoprotein 19 [Source:HGNC Symbol;Acc:HGNC:16967]	224	0.47582462430000305	0.21047044	Yes	
row_11	STMN1	stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510]	267	0.46523669362068176	0.22118676	Yes	
row_12	PMM2	phosphomannomutase 2 [Source:HGNC Symbol;Acc:HGNC:9115]	312	0.45373964309692383	0.23094904	Yes	
row_13	PGAM2	phosphoglycerate mutase 2 [Source:HGNC Symbol;Acc:HGNC:8889]	341	0.4463977515697479	0.24402164	Yes	
row_14	FUT8	fucosyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:4019]	373	0.43865615129470825	0.25607678	Yes	
row_15	RPE	ribulose-5-phosphate-3-epimerase [Source:HGNC Symbol;Acc:HGNC:10293]	413	0.42636290192604065	0.2657821	Yes	
row_16	PYGL	glycogen phosphorylase L [Source:HGNC Symbol;Acc:HGNC:9725]	443	0.4196191430091858	0.27746257	Yes	
row_17	PGAM1	phosphoglycerate mutase 1 [Source:HGNC Symbol;Acc:HGNC:8888]	527	0.396497517824173	0.27588648	Yes	
row_18	P4HA2	prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]	590	0.3779173195362091	0.27826592	Yes	
row_19	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	594	0.37743353843688965	0.2940091	Yes	
row_20	ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	652	0.35803183913230896	0.29665756	Yes	
row_21	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	675	0.3520326614379883	0.30698508	Yes	
row_22	BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1 [Source:HGNC Symbol;Acc:HGNC:1096]	692	0.34644556045532227	0.31843063	Yes	
row_23	HOMER1	homer scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:17512]	739	0.3295574486255646	0.3223355	Yes	
row_24	PPIA	peptidylprolyl isomerase A [Source:HGNC Symbol;Acc:HGNC:9253]	780	0.31557512283325195	0.3269931	Yes	
row_25	PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	859	0.2906704246997833	0.32194632	Yes	
row_26	IDUA	alpha-L-iduronidase [Source:HGNC Symbol;Acc:HGNC:5391]	896	0.27881714701652527	0.32591188	Yes	
row_27	DLD	dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]	963	0.2533705532550812	0.32196435	Yes	
row_28	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	991	0.2402385026216507	0.32629293	Yes	
row_29	TXN	thioredoxin [Source:HGNC Symbol;Acc:HGNC:12435]	1088	0.20578309893608093	0.31346884	Yes	
row_30	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	1120	0.19403481483459473	0.31487945	Yes	
row_31	PRPS1	phosphoribosyl pyrophosphate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9462]	1129	0.19024506211280823	0.32134295	Yes	
row_32	AURKA	aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]	1172	0.17686991393566132	0.31951118	Yes	
row_33	NANP	N-acetylneuraminic acid phosphatase [Source:HGNC Symbol;Acc:HGNC:16140]	1174	0.17406952381134033	0.32685882	Yes	
row_34	GALK1	galactokinase 1 [Source:HGNC Symbol;Acc:HGNC:4118]	1180	0.17228829860687256	0.33322152	Yes	
row_35	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	1291	0.13946422934532166	0.31433558	No	
row_36	PKP2	plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024]	1335	0.12560169398784637	0.31004608	No	
row_37	ANG	angiogenin [Source:HGNC Symbol;Acc:HGNC:483]	1378	0.11690395325422287	0.30560493	No	
row_38	PGM2	phosphoglucomutase 2 [Source:HGNC Symbol;Acc:HGNC:8906]	1398	0.11106700450181961	0.30612758	No	
row_39	B4GALT7	beta-1,4-galactosyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:930]	1400	0.11086224764585495	0.3107248	No	
row_40	ALDOB	aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]	1435	0.10097748786211014	0.30740553	No	
row_41	GALE	UDP-galactose-4-epimerase [Source:HGNC Symbol;Acc:HGNC:4116]	1521	0.08092236518859863	0.29164368	No	
row_42	GUSB	glucuronidase beta [Source:HGNC Symbol;Acc:HGNC:4696]	1560	0.07272723317146301	0.28618765	No	
row_43	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	1622	0.06159180402755737	0.2750293	No	
row_44	EFNA3	ephrin A3 [Source:HGNC Symbol;Acc:HGNC:3223]	1676	0.05169404670596123	0.26525515	No	
