NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RASA1	RAS p21 protein activator 1 [Source:HGNC Symbol;Acc:HGNC:9871]	790	0.31373393535614014	-0.08162511	No	
row_1	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	1120	0.19403481483459473	-0.09660368	No	
row_2	OPHN1	oligophrenin 1 [Source:HGNC Symbol;Acc:HGNC:8148]	1169	0.1787576973438263	-0.053651746	No	
row_3	ETS2	ETS proto-oncogene 2, transcription factor [Source:HGNC Symbol;Acc:HGNC:3489]	1273	0.1438957154750824	-0.03339484	No	
row_4	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	1722	0.04343489930033684	-0.1200299	No	
row_5	DPYSL2	dihydropyrimidinase like 2 [Source:HGNC Symbol;Acc:HGNC:3014]	1853	0.02200375683605671	-0.1423494	No	
row_6	VLDLR	very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698]	2590	-0.07330295443534851	-0.2840947	No	
row_7	CRMP1	collapsin response mediator protein 1 [Source:HGNC Symbol;Acc:HGNC:2365]	2785	-0.09108569473028183	-0.29992646	No	
row_8	SHH	sonic hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:10848]	2895	-0.10162479430437088	-0.2936864	No	
row_9	NRCAM	neuronal cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:7994]	3083	-0.12023820728063583	-0.29921457	No	
row_10	ACHE	acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]	3756	-0.2011071741580963	-0.38837832	Yes	
row_11	UNC5C	unc-5 netrin receptor C [Source:HGNC Symbol;Acc:HGNC:12569]	3832	-0.2125409096479416	-0.3412975	Yes	
row_12	L1CAM	L1 cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:6470]	4010	-0.23999756574630737	-0.3086711	Yes	
row_13	ADGRG1	adhesion G protein-coupled receptor G1 [Source:HGNC Symbol;Acc:HGNC:4512]	4063	-0.24979354441165924	-0.24529701	Yes	
row_14	SLIT1	slit guidance ligand 1 [Source:HGNC Symbol;Acc:HGNC:11085]	4140	-0.2659410238265991	-0.18241769	Yes	
row_15	PLG	plasminogen [Source:HGNC Symbol;Acc:HGNC:9071]	4244	-0.2881072163581848	-0.11889479	Yes	
row_16	CNTFR	ciliary neurotrophic factor receptor [Source:HGNC Symbol;Acc:HGNC:2170]	4253	-0.290090948343277	-0.033642147	Yes	
row_17	NRP2	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]	4292	-0.3034466803073883	0.048943374	Yes	
