NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPN11	protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	3	0.6267107725143433	0.04889072	No	
row_1	IL17RB	interleukin 17 receptor B [Source:HGNC Symbol;Acc:HGNC:18015]	67	0.5379074811935425	0.07725063	No	
row_2	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	103	0.522251546382904	0.11067579	No	
row_3	CBL	Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]	291	0.45888155698776245	0.10487024	No	
row_4	PF4	platelet factor 4 [Source:HGNC Symbol;Acc:HGNC:8861]	319	0.45181918144226074	0.13452594	No	
row_5	STAT3	signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]	436	0.4211443364620209	0.14171958	No	
row_6	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	738	0.3295745253562927	0.10002311	No	
row_7	CSF3R	colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439]	837	0.2994435429573059	0.10164375	No	
row_8	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	956	0.25669658184051514	0.09538108	No	
row_9	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	1020	0.22949440777301788	0.09934882	No	
row_10	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	1064	0.21114322543144226	0.10636766	No	
row_11	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	1130	0.18952909111976624	0.10672433	No	
row_12	REG1A	regenerating family member 1 alpha [Source:HGNC Symbol;Acc:HGNC:9951]	1192	0.16839683055877686	0.10631016	No	
row_13	IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	1384	0.11638064682483673	0.07251597	No	
row_14	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	1465	0.09503436833620071	0.062022265	No	
row_15	PDGFC	platelet derived growth factor C [Source:HGNC Symbol;Acc:HGNC:8801]	1549	0.0752623900771141	0.049289435	No	
row_16	TYK2	tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12440]	1601	0.06612470000982285	0.043037873	No	
row_17	PLA2G2A	phospholipase A2 group IIA [Source:HGNC Symbol;Acc:HGNC:9031]	1645	0.05781776085495949	0.037930313	No	
row_18	CRLF2	cytokine receptor like factor 2 [Source:HGNC Symbol;Acc:HGNC:14281]	1733	0.041792985051870346	0.021649918	No	
row_19	LTBR	lymphotoxin beta receptor [Source:HGNC Symbol;Acc:HGNC:6718]	1739	0.04074293002486229	0.023746626	No	
row_20	PTPN1	protein tyrosine phosphatase non-receptor type 1 [Source:HGNC Symbol;Acc:HGNC:9642]	1775	0.03589959815144539	0.018706566	No	
row_21	CXCL13	C-X-C motif chemokine ligand 13 [Source:HGNC Symbol;Acc:HGNC:10639]	1778	0.03500765189528465	0.021025049	No	
row_22	IL1R2	interleukin 1 receptor type 2 [Source:HGNC Symbol;Acc:HGNC:5994]	1781	0.034749481827020645	0.023323111	No	
row_23	PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	1956	0.006652739830315113	-0.015322273	No	
row_24	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	2012	-0.00250423327088356	-0.027506026	No	
row_25	OSMR	oncostatin M receptor [Source:HGNC Symbol;Acc:HGNC:8507]	2035	-0.005255972500890493	-0.03204306	No	
row_26	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	2084	-0.013994059525430202	-0.04174222	No	
row_27	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	2085	-0.014154348522424698	-0.040622763	No	
row_28	ACVRL1	activin A receptor like type 1 [Source:HGNC Symbol;Acc:HGNC:175]	2160	-0.023819005116820335	-0.0553981	No	
row_29	IL10RB	interleukin 10 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:5965]	2272	-0.0380968414247036	-0.077373795	No	
row_30	CSF2	colony stimulating factor 2 [Source:HGNC Symbol;Acc:HGNC:2434]	2346	-0.0476347990334034	-0.09004043	No	
row_31	ACVR1B	activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]	2421	-0.056120388209819794	-0.102261074	No	
row_32	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	2456	-0.05872907489538193	-0.105270445	No	
row_33	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	2497	-0.06343119591474533	-0.10925867	No	
row_34	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	2545	-0.06878259778022766	-0.11439952	No	
row_35	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	2656	-0.07955697178840637	-0.13287105	No	
row_36	IL17RA	interleukin 17 receptor A [Source:HGNC Symbol;Acc:HGNC:5985]	2700	-0.08330951631069183	-0.13596247	No	
row_37	IFNAR1	interferon alpha and beta receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:5432]	2730	-0.08593863993883133	-0.13569424	No	
row_38	IL15RA	interleukin 15 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5978]	2809	-0.09344138205051422	-0.1458637	No	
row_39	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	2831	-0.09464846551418304	-0.14310561	No	
row_40	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	2881	-0.09955571591854095	-0.14626288	No	
row_41	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	2883	-0.0998263731598854	-0.13859282	No	
row_42	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	3021	-0.11356838047504425	-0.16045274	No	
row_43	TNFRSF21	TNF receptor superfamily member 21 [Source:HGNC Symbol;Acc:HGNC:13469]	3139	-0.12571781873703003	-0.1768493	No	
row_44	EBI3	Epstein-Barr virus induced 3 [Source:HGNC Symbol;Acc:HGNC:3129]	3258	-0.13690036535263062	-0.19258656	No	
