NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GMPS	guanine monophosphate synthase [Source:HGNC Symbol;Acc:HGNC:4378]	0	0.6419568061828613	0.027595922	Yes	
row_1	HSP90B1	heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	7	0.6023359298706055	0.052130576	Yes	
row_2	G6PD	glucose-6-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4057]	11	0.5956599712371826	0.07705729	Yes	
row_3	LDHA	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]	18	0.5817891359329224	0.100708686	Yes	
row_4	PPA1	inorganic pyrophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:9226]	23	0.5715807676315308	0.12437396	Yes	
row_5	USO1	USO1 vesicle transport factor [Source:HGNC Symbol;Acc:HGNC:30904]	58	0.54530930519104	0.14011948	Yes	
row_6	QDPR	quinoid dihydropteridine reductase [Source:HGNC Symbol;Acc:HGNC:9752]	65	0.5426183342933655	0.16208704	Yes	
row_7	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	74	0.5336291790008545	0.1832155	Yes	
row_8	STIP1	stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387]	76	0.5331337451934814	0.20590708	Yes	
row_9	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	82	0.531154453754425	0.22760817	Yes	
row_10	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	83	0.5305344462394714	0.25041437	Yes	
row_11	PDAP1	PDGFA associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14634]	128	0.5096030235290527	0.26236153	Yes	
row_12	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	132	0.5070984959602356	0.2834812	Yes	
row_13	TXNRD1	thioredoxin reductase 1 [Source:HGNC Symbol;Acc:HGNC:12437]	138	0.5061374306678772	0.30410692	Yes	
row_14	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	160	0.4973967373371124	0.32073534	Yes	
row_15	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	187	0.487817645072937	0.33582023	Yes	
row_16	CACYBP	calcyclin binding protein [Source:HGNC Symbol;Acc:HGNC:30423]	213	0.4791320860385895	0.3507581	Yes	
row_17	FKBP2	FKBP prolyl isomerase 2 [Source:HGNC Symbol;Acc:HGNC:3718]	219	0.4769182503223419	0.37012774	Yes	
row_18	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	233	0.4721825122833252	0.38748303	Yes	
row_19	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	353	0.4439895451068878	0.37963364	Yes	
row_20	NMT1	N-myristoyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:7857]	380	0.437092125415802	0.39253798	Yes	
row_21	GAPDH	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]	439	0.4204334020614624	0.3974831	Yes	
row_22	HPRT1	hypoxanthine phosphoribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5157]	545	0.39028477668762207	0.39049396	Yes	
row_23	RAB1A	RAB1A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9758]	548	0.3897508680820465	0.40679556	Yes	
row_24	HSPE1	heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269]	631	0.3660450577735901	0.4039704	Yes	
