NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	6	0.6123282313346863	0.024262952	Yes	
row_1	LDHA	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]	18	0.5817891359329224	0.046116624	Yes	
row_2	DUT	deoxyuridine triphosphatase [Source:HGNC Symbol;Acc:HGNC:3078]	78	0.5326675772666931	0.055052795	Yes	
row_3	HDGF	heparin binding growth factor [Source:HGNC Symbol;Acc:HGNC:4856]	95	0.525618314743042	0.07342472	Yes	
row_4	SNRPG	small nuclear ribonucleoprotein polypeptide G [Source:HGNC Symbol;Acc:HGNC:11163]	124	0.511737585067749	0.088500306	Yes	
row_5	SNRPD2	small nuclear ribonucleoprotein D2 polypeptide [Source:HGNC Symbol;Acc:HGNC:11159]	130	0.5079461336135864	0.10862205	Yes	
row_6	UBE2E1	ubiquitin conjugating enzyme E2 E1 [Source:HGNC Symbol;Acc:HGNC:12477]	188	0.4877271354198456	0.116130434	Yes	
row_7	PRDX3	peroxiredoxin 3 [Source:HGNC Symbol;Acc:HGNC:9354]	211	0.479330837726593	0.13120785	Yes	
row_8	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta [Source:HGNC Symbol;Acc:HGNC:12854]	247	0.4698822498321533	0.14294808	Yes	
row_9	EIF4G2	eukaryotic translation initiation factor 4 gamma 2 [Source:HGNC Symbol;Acc:HGNC:3297]	296	0.4580988585948944	0.15125343	Yes	
row_10	PABPC4	poly(A) binding protein cytoplasmic 4 [Source:HGNC Symbol;Acc:HGNC:8557]	329	0.4493650794029236	0.16281408	Yes	
row_11	TCP1	t-complex 1 [Source:HGNC Symbol;Acc:HGNC:11655]	342	0.44614437222480774	0.17876588	Yes	
row_12	COX5A	cytochrome c oxidase subunit 5A [Source:HGNC Symbol;Acc:HGNC:2267]	359	0.4426112473011017	0.19366466	Yes	
row_13	HSP90AB1	heat shock protein 90 alpha family class B member 1 [Source:HGNC Symbol;Acc:HGNC:5258]	364	0.44073811173439026	0.21120062	Yes	
row_14	EIF4H	eukaryotic translation initiation factor 4H [Source:HGNC Symbol;Acc:HGNC:12741]	381	0.43628525733947754	0.22583471	Yes	
row_15	EEF1B2	eukaryotic translation elongation factor 1 beta 2 [Source:HGNC Symbol;Acc:HGNC:3208]	418	0.42536747455596924	0.23548608	Yes	
row_16	EIF4A1	eukaryotic translation initiation factor 4A1 [Source:HGNC Symbol;Acc:HGNC:3282]	423	0.4248349666595459	0.25235662	Yes	
row_17	G3BP1	G3BP stress granule assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:30292]	425	0.4241696000099182	0.2698782	Yes	
row_18	HDAC2	histone deacetylase 2 [Source:HGNC Symbol;Acc:HGNC:4853]	445	0.41903525590896606	0.28311166	Yes	
row_19	RPS5	ribosomal protein S5 [Source:HGNC Symbol;Acc:HGNC:10426]	468	0.4127383828163147	0.29540277	Yes	
row_20	RAD23B	RAD23 homolog B, nucleotide excision repair protein [Source:HGNC Symbol;Acc:HGNC:9813]	534	0.39420825242996216	0.2971878	Yes	
row_21	HPRT1	hypoxanthine phosphoribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5157]	545	0.39028477668762207	0.31125495	Yes	
row_22	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]	563	0.38607653975486755	0.32356194	Yes	
row_23	KPNB1	karyopherin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6400]	593	0.3775094747543335	0.33279493	Yes	
row_24	PA2G4	proliferation-associated 2G4 [Source:HGNC Symbol;Acc:HGNC:8550]	610	0.37080422043800354	0.3446892	Yes	
row_25	HSPE1	heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269]	631	0.3660450577735901	0.35547915	Yes	
row_26	NME1	NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]	637	0.3637009263038635	0.36956546	Yes	
row_27	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1 [Source:HGNC Symbol;Acc:HGNC:5031]	659	0.3553740084171295	0.37968263	Yes	
row_28	RAN	RAN, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9846]	711	0.3396070897579193	0.38235122	Yes	
row_29	RANBP1	RAN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9847]	740	0.3291419446468353	0.38978675	Yes	
row_30	CCT7	chaperonin containing TCP1 subunit 7 [Source:HGNC Symbol;Acc:HGNC:1622]	776	0.3163715600967407	0.39510387	Yes	
row_31	PPIA	peptidylprolyl isomerase A [Source:HGNC Symbol;Acc:HGNC:9253]	780	0.31557512283325195	0.4076291	Yes	
row_32	CBX3	chromobox 3 [Source:HGNC Symbol;Acc:HGNC:1553]	811	0.3082478642463684	0.41373777	Yes	
row_33	SNRPA	small nuclear ribonucleoprotein polypeptide A [Source:HGNC Symbol;Acc:HGNC:11151]	850	0.29290270805358887	0.41739404	Yes	
row_34	NAP1L1	nucleosome assembly protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:7637]	853	0.29228389263153076	0.42917106	Yes	
row_35	MAD2L1	mitotic arrest deficient 2 like 1 [Source:HGNC Symbol;Acc:HGNC:6763]	928	0.2690121531486511	0.42368105	Yes	
row_36	HNRNPD	heterogeneous nuclear ribonucleoprotein D [Source:HGNC Symbol;Acc:HGNC:5036]	966	0.25284987688064575	0.42588773	Yes	
row_37	GLO1	glyoxalase I [Source:HGNC Symbol;Acc:HGNC:4323]	972	0.24994085729122162	0.43521413	Yes	
row_38	HSPD1	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]	998	0.2372543215751648	0.43948382	Yes	
row_39	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein [Source:HGNC Symbol;Acc:HGNC:16918]	1002	0.23596657812595367	0.44867814	Yes	
row_40	ERH	ERH mRNA splicing and mitosis factor [Source:HGNC Symbol;Acc:HGNC:3447]	1011	0.23337489366531372	0.45663252	Yes	
row_41	CCT5	chaperonin containing TCP1 subunit 5 [Source:HGNC Symbol;Acc:HGNC:1618]	1029	0.22577403485774994	0.46223223	Yes	
row_42	UBE2L3	ubiquitin conjugating enzyme E2 L3 [Source:HGNC Symbol;Acc:HGNC:12488]	1084	0.20662246644496918	0.45865765	No	
row_43	POLE3	DNA polymerase epsilon 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:13546]	1160	0.18066668510437012	0.44924486	No	
row_44	HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1 [Source:HGNC Symbol;Acc:HGNC:5033]	1186	0.17062656581401825	0.45072675	No	
row_45	SNRPD3	small nuclear ribonucleoprotein D3 polypeptide [Source:HGNC Symbol;Acc:HGNC:11160]	1200	0.16572009027004242	0.45471886	No	
row_46	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	1291	0.13946422934532166	0.44018766	No	
row_47	RRM1	ribonucleotide reductase catalytic subunit M1 [Source:HGNC Symbol;Acc:HGNC:10451]	1326	0.1277492642402649	0.43783882	No	
row_48	PRPS2	phosphoribosyl pyrophosphate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:9465]	1392	0.11262241005897522	0.4278419	No	
row_49	PCBP1	poly(rC) binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8647]	1412	0.1074284017086029	0.42803726	No	
row_50	EIF4E	eukaryotic translation initiation factor 4E [Source:HGNC Symbol;Acc:HGNC:3287]	1444	0.09961077570915222	0.42518997	No	
row_51	APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]	1454	0.09761080145835876	0.42723748	No	
row_52	RPS3	ribosomal protein S3 [Source:HGNC Symbol;Acc:HGNC:10420]	1470	0.09401185065507889	0.42777663	No	
row_53	TRA2B	transformer 2 beta homolog [Source:HGNC Symbol;Acc:HGNC:10781]	1499	0.0874364823102951	0.42509884	No	
row_54	SRSF7	serine and arginine rich splicing factor 7 [Source:HGNC Symbol;Acc:HGNC:10789]	1554	0.0738329142332077	0.41596815	No	
row_55	XRCC6	X-ray repair cross complementing 6 [Source:HGNC Symbol;Acc:HGNC:4055]	1581	0.06807292997837067	0.41293275	No	
row_56	PSMA6	proteasome 20S subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:9535]	1691	0.04841522127389908	0.39029232	No	
row_57	ACP1	acid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:122]	1731	0.04224579036235809	0.3832344	No	
row_58	EIF1AX	eukaryotic translation initiation factor 1A X-linked [Source:HGNC Symbol;Acc:HGNC:3250]	1805	0.02986142784357071	0.36796427	No	
row_59	UBA2	ubiquitin like modifier activating enzyme 2 [Source:HGNC Symbol;Acc:HGNC:30661]	1809	0.02865360490977764	0.3684843	No	
row_60	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	1817	0.02741849608719349	0.36804745	No	
row_61	RPS10	ribosomal protein S10 [Source:HGNC Symbol;Acc:HGNC:10383]	1939	0.009154915809631348	0.34104875	No	
row_62	EIF3J	eukaryotic translation initiation factor 3 subunit J [Source:HGNC Symbol;Acc:HGNC:3270]	1942	0.008742962963879108	0.340962	No	
row_63	HNRNPR	heterogeneous nuclear ribonucleoprotein R [Source:HGNC Symbol;Acc:HGNC:5047]	2017	-0.0036211248952895403	0.3243676	No	
row_64	IMPDH2	inosine monophosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6053]	2535	-0.0680796429514885	0.21022138	No	
row_65	TARDBP	TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571]	2605	-0.07469749450683594	0.19773245	No	
row_66	PTGES3	prostaglandin E synthase 3 [Source:HGNC Symbol;Acc:HGNC:16049]	2756	-0.0886593833565712	0.16749775	No	
row_67	CANX	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]	2845	-0.09623873233795166	0.15161052	No	
row_68	CUL1	cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]	2859	-0.0971531867980957	0.15273371	No	
row_69	SNRPB2	small nuclear ribonucleoprotein polypeptide B2 [Source:HGNC Symbol;Acc:HGNC:11155]	2866	-0.09808685630559921	0.15548004	No	
row_70	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1 [Source:HGNC Symbol;Acc:HGNC:11104]	2899	-0.10180063545703888	0.15249808	No	
