NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSP90B1	heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	7	0.6023359298706055	0.06281066	Yes	
row_1	FKBP14	FKBP prolyl isomerase 14 [Source:HGNC Symbol;Acc:HGNC:18625]	16	0.5862305760383606	0.123676404	Yes	
row_2	PDIA6	protein disulfide isomerase family A member 6 [Source:HGNC Symbol;Acc:HGNC:30168]	77	0.5328943729400635	0.16721383	Yes	
row_3	CKS1B	CDC28 protein kinase regulatory subunit 1B [Source:HGNC Symbol;Acc:HGNC:19083]	157	0.4990667402744293	0.20288719	Yes	
row_4	SHC1	SHC adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:10840]	162	0.49703848361968994	0.2551148	Yes	
row_5	LSM1	LSM1 homolog, mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:20472]	212	0.479191392660141	0.29537237	Yes	
row_6	EIF4A1	eukaryotic translation initiation factor 4A1 [Source:HGNC Symbol;Acc:HGNC:3282]	423	0.4248349666595459	0.29381865	Yes	
row_7	EIF4A2	eukaryotic translation initiation factor 4A2 [Source:HGNC Symbol;Acc:HGNC:3284]	502	0.40326181054115295	0.31947628	Yes	
row_8	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]	563	0.38607653975486755	0.34732223	Yes	
row_9	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	706	0.3409440815448761	0.35200822	Yes	
row_10	SLC30A5	solute carrier family 30 member 5 [Source:HGNC Symbol;Acc:HGNC:19089]	822	0.3049510419368744	0.35888496	Yes	
row_11	PDIA5	protein disulfide isomerase family A member 5 [Source:HGNC Symbol;Acc:HGNC:24811]	866	0.28723567724227905	0.37996852	Yes	
row_12	EDC4	enhancer of mRNA decapping 4 [Source:HGNC Symbol;Acc:HGNC:17157]	952	0.257720023393631	0.38850576	Yes	
row_13	GOSR2	golgi SNAP receptor complex member 2 [Source:HGNC Symbol;Acc:HGNC:4431]	985	0.24268092215061188	0.40728715	Yes	
row_14	CEBPG	CCAAT enhancer binding protein gamma [Source:HGNC Symbol;Acc:HGNC:1837]	1041	0.22005528211593628	0.4185073	Yes	
row_15	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	1120	0.19403481483459473	0.42180333	Yes	
row_16	PSAT1	phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]	1237	0.1530882567167282	0.41222578	Yes	
row_17	ARFGAP1	ADP ribosylation factor GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:15852]	1248	0.15064683556556702	0.42609036	Yes	
