NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	74	0.5336291790008545	0.017497696	Yes	
row_1	STIP1	stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387]	76	0.5331337451934814	0.05139772	Yes	
row_2	PPT1	palmitoyl-protein thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:9325]	93	0.5260194540023804	0.081465505	Yes	
row_3	PDAP1	PDGFA associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14634]	128	0.5096030235290527	0.10643028	Yes	
row_4	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2 [Source:HGNC Symbol;Acc:HGNC:9288]	241	0.47118163108825684	0.111376084	Yes	
row_5	GRPEL1	GrpE like 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:19696]	301	0.4565257430076599	0.12731536	Yes	
row_6	CXCL2	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	331	0.44866588711738586	0.14950524	Yes	
row_7	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	363	0.4414845108985901	0.1707852	Yes	
row_8	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]	377	0.43744519352912903	0.19585885	Yes	
row_9	C4BPB	complement component 4 binding protein beta [Source:HGNC Symbol;Acc:HGNC:1328]	478	0.4096033275127411	0.1995646	Yes	
row_10	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol;Acc:HGNC:5270]	490	0.40754958987236023	0.22317493	Yes	
row_11	BID	BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]	579	0.3816124200820923	0.2277905	Yes	
row_12	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	594	0.37743353843688965	0.24879777	Yes	
row_13	DLG4	discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903]	664	0.35451337695121765	0.25595614	Yes	
row_14	EIF5	eukaryotic translation initiation factor 5 [Source:HGNC Symbol;Acc:HGNC:3299]	802	0.30942976474761963	0.24492034	Yes	
row_15	UROD	uroporphyrinogen decarboxylase [Source:HGNC Symbol;Acc:HGNC:12591]	848	0.29524391889572144	0.25368792	Yes	
row_16	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	886	0.28257763385772705	0.26344573	Yes	
row_17	PRKACA	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]	915	0.27273795008659363	0.27459985	Yes	
row_18	RPN1	ribophorin I [Source:HGNC Symbol;Acc:HGNC:10381]	967	0.2526765465736389	0.279292	Yes	
row_19	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	969	0.2505587339401245	0.2951048	Yes	
row_20	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	991	0.2402385026216507	0.3057545	Yes	
row_21	NR4A1	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]	1015	0.2309839278459549	0.31536162	Yes	
row_22	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	1020	0.22949440777301788	0.32915077	Yes	
row_23	CEBPG	CCAAT enhancer binding protein gamma [Source:HGNC Symbol;Acc:HGNC:1837]	1041	0.22005528211593628	0.3387337	Yes	
row_24	PPIF	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]	1128	0.19052860140800476	0.33156854	Yes	
row_25	POLE3	DNA polymerase epsilon 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:13546]	1160	0.18066668510437012	0.33615392	Yes	
row_26	COL2A1	collagen type II alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2200]	1167	0.17920930683612823	0.3462741	Yes	
row_27	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	1233	0.15436480939388275	0.34152174	No	
row_28	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	1360	0.12039941549301147	0.32086274	No	
