NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LONP1	lon peptidase 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:9479]	75	0.533541738986969	0.0082957605	Yes	
row_1	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	160	0.4973967373371124	0.012835123	Yes	
row_2	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide [Source:HGNC Symbol;Acc:HGNC:253]	174	0.4940846860408783	0.033324447	Yes	
row_3	SPINT2	serine peptidase inhibitor, Kunitz type 2 [Source:HGNC Symbol;Acc:HGNC:11247]	199	0.48451438546180725	0.05086431	Yes	
row_4	BPHL	biphenyl hydrolase like [Source:HGNC Symbol;Acc:HGNC:1094]	208	0.4812334179878235	0.07187829	Yes	
row_5	ARPP19	cAMP regulated phosphoprotein 19 [Source:HGNC Symbol;Acc:HGNC:16967]	224	0.47582462430000305	0.09104767	Yes	
row_6	DCXR	dicarbonyl and L-xylulose reductase [Source:HGNC Symbol;Acc:HGNC:18985]	230	0.4725364148616791	0.11232966	Yes	
row_7	PGD	phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891]	275	0.46212175488471985	0.124270044	Yes	
row_8	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	361	0.4422972500324249	0.12596872	Yes	
row_9	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]	379	0.4372471272945404	0.14285433	Yes	
row_10	NMT1	N-myristoyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:7857]	380	0.437092125415802	0.16358921	Yes	
row_11	CBR1	carbonyl reductase 1 [Source:HGNC Symbol;Acc:HGNC:1548]	504	0.40319326519966125	0.15481219	Yes	
row_12	HPRT1	hypoxanthine phosphoribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5157]	545	0.39028477668762207	0.16425219	Yes	
row_13	GSTM4	glutathione S-transferase mu 4 [Source:HGNC Symbol;Acc:HGNC:4636]	575	0.38352862000465393	0.17586717	Yes	
row_14	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]	611	0.37047022581100464	0.18550152	Yes	
row_15	COMT	catechol-O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:2228]	673	0.3522297143936157	0.1883722	Yes	
row_16	PTGR1	prostaglandin reductase 1 [Source:HGNC Symbol;Acc:HGNC:18429]	744	0.3282678723335266	0.18806443	Yes	
row_17	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	749	0.32645127177238464	0.20264326	Yes	
row_18	F11	coagulation factor XI [Source:HGNC Symbol;Acc:HGNC:3529]	761	0.32156598567962646	0.21540232	Yes	
row_19	RBP4	retinol binding protein 4 [Source:HGNC Symbol;Acc:HGNC:9922]	777	0.3157873749732971	0.2269798	Yes	
row_20	PGRMC1	progesterone receptor membrane component 1 [Source:HGNC Symbol;Acc:HGNC:16090]	782	0.3151034116744995	0.24102032	Yes	
row_21	SHMT2	serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]	833	0.3005434572696686	0.24393456	Yes	
row_22	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide [Source:HGNC Symbol;Acc:HGNC:251]	846	0.2953653633594513	0.25522384	Yes	
row_23	PROS1	protein S [Source:HGNC Symbol;Acc:HGNC:9456]	851	0.2926552891731262	0.26819944	Yes	
row_24	FABP1	fatty acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3555]	857	0.29119473695755005	0.2808789	Yes	
row_25	PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	859	0.2906704246997833	0.29444095	Yes	
row_26	ALDH2	aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404]	885	0.28337958455085754	0.30221248	Yes	
row_27	PTS	6-pyruvoyltetrahydropterin synthase [Source:HGNC Symbol;Acc:HGNC:9689]	908	0.2752905786037445	0.31028083	Yes	
row_28	ITIH4	inter-alpha-trypsin inhibitor heavy chain 4 [Source:HGNC Symbol;Acc:HGNC:6169]	960	0.2548355460166931	0.31079993	Yes	
row_29	FAH	fumarylacetoacetate hydrolase [Source:HGNC Symbol;Acc:HGNC:3579]	1032	0.22314289212226868	0.30527833	Yes	
row_30	CNDP2	carnosine dipeptidase 2 [Source:HGNC Symbol;Acc:HGNC:24437]	1065	0.2102522999048233	0.30799282	Yes	
row_31	GSTO1	glutathione S-transferase omega 1 [Source:HGNC Symbol;Acc:HGNC:13312]	1100	0.20175735652446747	0.30985057	Yes	
row_32	ASL	argininosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:746]	1111	0.19744963943958282	0.31694865	Yes	
row_33	KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	1115	0.1957474946975708	0.32555398	Yes	
row_34	FBP1	fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]	1123	0.19282349944114685	0.33311316	Yes	
row_35	GNMT	glycine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4415]	1161	0.18057768046855927	0.33328563	Yes	
row_36	GSS	glutathione synthetase [Source:HGNC Symbol;Acc:HGNC:4624]	1163	0.17985160648822784	0.3415906	Yes	
row_37	REG1A	regenerating family member 1 alpha [Source:HGNC Symbol;Acc:HGNC:9951]	1192	0.16839683055877686	0.34322697	Yes	
row_38	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	1198	0.16733425855636597	0.3500307	Yes	
row_39	GCKR	glucokinase regulator [Source:HGNC Symbol;Acc:HGNC:4196]	1230	0.15527723729610443	0.35036412	Yes	
row_40	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	1254	0.14902685582637787	0.3522159	Yes	
row_41	ETS2	ETS proto-oncogene 2, transcription factor [Source:HGNC Symbol;Acc:HGNC:3489]	1273	0.1438957154750824	0.35495856	Yes	
row_42	F10	coagulation factor X [Source:HGNC Symbol;Acc:HGNC:3528]	1293	0.13894841074943542	0.3572397	Yes	
row_43	CES1	carboxylesterase 1 [Source:HGNC Symbol;Acc:HGNC:1863]	1316	0.13110919296741486	0.35846835	Yes	
