NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	18	-0.44871402	-1.5457789	0.044036698	0.23398462	0.1254	758	tags=44%, list=17%, signal=53%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	103	-0.2657388	-1.3963187	0.016129032	0.29417524	0.288	340	tags=19%, list=8%, signal=21%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	98	-0.25130254	-1.2951461	0.04195804	0.35548615	0.4596	1053	tags=31%, list=23%, signal=39%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	18	-0.36897466	-1.2515533	0.17146058	0.3453591	0.5529	1020	tags=33%, list=23%, signal=43%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	136	-0.22588497	-1.2382451	0.05707196	0.2990543	0.58	491	tags=21%, list=11%, signal=22%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	14	-0.38797188	-1.2214532	0.19350563	0.27552196	0.6144	1024	tags=57%, list=23%, signal=74%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	74	-0.2435785	-1.1964358	0.12890995	0.27272734	0.6668	1323	tags=41%, list=29%, signal=56%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	127	-0.19393162	-1.0350721	0.37014315	0.56982505	0.9332	1230	tags=39%, list=27%, signal=52%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	97	-0.1954337	-1.0140697	0.42895088	0.56110674	0.9476	1189	tags=37%, list=26%, signal=49%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	71	-0.20541862	-1.0070858	0.4398855	0.5216943	0.9529	1198	tags=37%, list=27%, signal=49%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	43	-0.20078936	-0.8781734	0.71847504	0.77181935	0.994	735	tags=28%, list=16%, signal=33%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	34	-0.20849274	-0.8604535	0.70752364	0.7400833	0.9955	915	tags=29%, list=20%, signal=37%	
