NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FAH	fumarylacetoacetate hydrolase [Source:HGNC Symbol;Acc:HGNC:3579]	37	0.436583012342453	0.031986386	Yes	
row_1	ALDH2	aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404]	38	0.4359813928604126	0.072252415	Yes	
row_2	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	80	0.3753466308116913	0.09768207	Yes	
row_3	QDPR	quinoid dihydropteridine reductase [Source:HGNC Symbol;Acc:HGNC:9752]	95	0.36370715498924255	0.1281192	Yes	
row_4	APLP2	amyloid beta precursor like protein 2 [Source:HGNC Symbol;Acc:HGNC:598]	128	0.3426815867424011	0.15255949	Yes	
row_5	GRPEL1	GrpE like 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:19696]	148	0.3289858102798462	0.17866346	Yes	
row_6	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9 [Source:HGNC Symbol;Acc:HGNC:6968]	252	0.2822286784648895	0.1815259	Yes	
row_7	G3BP2	G3BP stress granule assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:30291]	303	0.26940223574638367	0.19514334	Yes	
row_8	PGM1	phosphoglucomutase 1 [Source:HGNC Symbol;Acc:HGNC:8905]	338	0.2601277232170105	0.21150863	Yes	
row_9	HIBCH	3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908]	350	0.25698885321617126	0.23276538	Yes	
row_10	ANGPT1	angiopoietin 1 [Source:HGNC Symbol;Acc:HGNC:484]	374	0.24931299686431885	0.25060987	Yes	
row_11	ECHS1	enoyl-CoA hydratase, short chain 1 [Source:HGNC Symbol;Acc:HGNC:3151]	434	0.23602330684661865	0.25911707	Yes	
row_12	ANGPTL4	angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039]	436	0.23582112789154053	0.28067157	Yes	
