NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NNMT	nicotinamide N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:7861]	20	0.4993058145046234	0.018689856	No	
row_1	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	82	0.3739759922027588	0.02217432	No	
row_2	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	106	0.35679206252098083	0.033540048	No	
row_3	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	125	0.3439728319644928	0.045450952	No	
row_4	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	138	0.3381121754646301	0.05845965	No	
row_5	SPOCK1	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1 [Source:HGNC Symbol;Acc:HGNC:11251]	155	0.3216937482357025	0.069789656	No	
row_6	GPX7	glutathione peroxidase 7 [Source:HGNC Symbol;Acc:HGNC:4559]	220	0.2954271733760834	0.06892967	No	
row_7	SERPINH1	serpin family H member 1 [Source:HGNC Symbol;Acc:HGNC:1546]	244	0.2862016558647156	0.077007085	No	
row_8	PLOD3	procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 [Source:HGNC Symbol;Acc:HGNC:9083]	362	0.2525523900985718	0.06204111	No	
row_9	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	394	0.24446414411067963	0.066346526	No	
row_10	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	399	0.24382492899894714	0.07679077	No	
row_11	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	410	0.2415848970413208	0.08575987	No	
row_12	COLGALT1	collagen beta(1-O)galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26182]	421	0.2394794076681137	0.09463088	No	
row_13	DKK1	dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891]	423	0.239059716463089	0.105538554	No	
row_14	PMEPA1	prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]	491	0.2264784872531891	0.10078133	No	
row_15	GPC1	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	553	0.21543315052986145	0.09688038	No	
row_16	NID2	nidogen 2 [Source:HGNC Symbol;Acc:HGNC:13389]	580	0.2124716341495514	0.10083781	No	
row_17	FBLN5	fibulin 5 [Source:HGNC Symbol;Acc:HGNC:3602]	588	0.21143881976604462	0.10908802	No	
row_18	DPYSL3	dihydropyrimidinase like 3 [Source:HGNC Symbol;Acc:HGNC:3015]	624	0.205308198928833	0.11065555	No	
row_19	PRSS2	serine protease 2 [Source:HGNC Symbol;Acc:HGNC:9483]	627	0.20406387746334076	0.119704545	No	
row_20	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	737	0.1887035369873047	0.10359203	No	
row_21	MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]	757	0.18637169897556305	0.107932925	No	
row_22	MGP	matrix Gla protein [Source:HGNC Symbol;Acc:HGNC:7060]	810	0.17922107875347137	0.104401305	No	
row_23	SNAI2	snail family transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:11094]	837	0.17669469118118286	0.10669215	No	
row_24	CCN1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]	846	0.17577625811100006	0.11305261	No	
row_25	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	890	0.170267254114151	0.1111601	No	
row_26	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	1012	0.158002108335495	0.09087582	No	
row_27	IGFBP4	insulin like growth factor binding protein 4 [Source:HGNC Symbol;Acc:HGNC:5473]	1047	0.15387196838855743	0.090275764	No	
row_28	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	1066	0.1515098363161087	0.09322116	No	
row_29	SERPINE2	serpin family E member 2 [Source:HGNC Symbol;Acc:HGNC:8951]	1162	0.13999386131763458	0.07803813	No	
row_30	CXCL6	C-X-C motif chemokine ligand 6 [Source:HGNC Symbol;Acc:HGNC:10643]	1357	0.1166294664144516	0.0391485	No	
row_31	SPARC	secreted protein acidic and cysteine rich [Source:HGNC Symbol;Acc:HGNC:11219]	1425	0.10937855392694473	0.028936397	No	
row_32	TAGLN	transgelin [Source:HGNC Symbol;Acc:HGNC:11553]	1460	0.10580264031887054	0.02609713	No	
row_33	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	1480	0.10339699685573578	0.026572807	No	
row_34	PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]	1494	0.10218089073896408	0.028362636	No	
row_35	HTRA1	HtrA serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:9476]	1508	0.10035716742277145	0.030067509	No	
row_36	VEGFC	vascular endothelial growth factor C [Source:HGNC Symbol;Acc:HGNC:12682]	1511	0.10017086565494537	0.034276843	No	
row_37	VIM	vimentin [Source:HGNC Symbol;Acc:HGNC:12692]	1578	0.09249113500118256	0.02350654	No	
row_38	MMP14	matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]	1599	0.08949042856693268	0.02310594	No	
row_39	BMP1	bone morphogenetic protein 1 [Source:HGNC Symbol;Acc:HGNC:1067]	1611	0.08808130770921707	0.024695901	No	
row_40	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	1613	0.08789261430501938	0.028561741	No	
row_41	NT5E	5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]	1679	0.07955488562583923	0.017417297	No	
row_42	FSTL3	follistatin like 3 [Source:HGNC Symbol;Acc:HGNC:3973]	1738	0.07210248708724976	0.007524967	No	
row_43	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	1741	0.07203054428100586	0.010423437	No	
row_44	PDLIM4	PDZ and LIM domain 4 [Source:HGNC Symbol;Acc:HGNC:16501]	1781	0.06868965923786163	0.0047129993	No	
row_45	PPIB	peptidylprolyl isomerase B [Source:HGNC Symbol;Acc:HGNC:9255]	1791	0.06753767281770706	0.0058029084	No	
row_46	SFRP1	secreted frizzled related protein 1 [Source:HGNC Symbol;Acc:HGNC:10776]	1838	0.06064701825380325	-0.001881449	No	
row_47	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	1880	0.056187789887189865	-0.008631196	No	
row_48	ANPEP	alanyl aminopeptidase, membrane [Source:HGNC Symbol;Acc:HGNC:500]	1904	0.05370122939348221	-0.011384369	No	
row_49	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	1915	0.052643343806266785	-0.01121675	No	
row_50	GREM1	gremlin 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:2001]	1924	0.05095146223902702	-0.01067101	No	
row_51	FSTL1	follistatin like 1 [Source:HGNC Symbol;Acc:HGNC:3972]	1954	0.048549994826316833	-0.015034946	No	
row_52	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	2048	0.03680065646767616	-0.03456809	No	
