NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MLYCD	malonyl-CoA decarboxylase [Source:HGNC Symbol;Acc:HGNC:7150]	35	0.44779378175735474	0.01875566	Yes	
row_1	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]	43	0.43224334716796875	0.04291027	Yes	
row_2	CRYZ	crystallin zeta [Source:HGNC Symbol;Acc:HGNC:2419]	49	0.42031553387641907	0.066806465	Yes	
row_3	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide [Source:HGNC Symbol;Acc:HGNC:251]	51	0.4198550581932068	0.0915788	Yes	
row_4	CBR1	carbonyl reductase 1 [Source:HGNC Symbol;Acc:HGNC:1548]	60	0.40496519207954407	0.113883376	Yes	
row_5	GPD1	glycerol-3-phosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4455]	65	0.40019258856773376	0.13680734	Yes	
row_6	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]	94	0.36439085006713867	0.15217839	Yes	
row_7	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	103	0.35849612951278687	0.1717162	Yes	
row_8	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	109	0.3535773456096649	0.1916388	Yes	
row_9	HSPH1	heat shock protein family H (Hsp110) member 1 [Source:HGNC Symbol;Acc:HGNC:16969]	131	0.3414405286312103	0.20722458	Yes	
row_10	HSP90AA1	heat shock protein 90 alpha family class A member 1 [Source:HGNC Symbol;Acc:HGNC:5253]	145	0.33076539635658264	0.22398186	Yes	
row_11	ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	154	0.3217386305332184	0.24133113	Yes	
row_12	BPHL	biphenyl hydrolase like [Source:HGNC Symbol;Acc:HGNC:1094]	175	0.3107641339302063	0.25531632	Yes	
row_13	FASN	fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]	182	0.30699530243873596	0.27223954	Yes	
row_14	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	200	0.30066511034965515	0.2863011	Yes	
row_15	GLUL	glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]	221	0.2950868308544159	0.29935285	Yes	
row_16	PCBD1	pterin-4 alpha-carbinolamine dehydratase 1 [Source:HGNC Symbol;Acc:HGNC:8646]	241	0.28694596886634827	0.31214583	Yes	
row_17	GRHPR	glyoxylate and hydroxypyruvate reductase [Source:HGNC Symbol;Acc:HGNC:4570]	248	0.28426334261894226	0.32771558	Yes	
row_18	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	273	0.27508002519607544	0.33867258	Yes	
row_19	LDHA	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]	294	0.27081412076950073	0.35027915	Yes	
row_20	PSME1	proteasome activator subunit 1 [Source:HGNC Symbol;Acc:HGNC:9568]	306	0.2685602605342865	0.36378452	Yes	
row_21	HIBCH	3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908]	350	0.25698885321617126	0.36937252	Yes	
row_22	CBR3	carbonyl reductase 3 [Source:HGNC Symbol;Acc:HGNC:1549]	371	0.2499116212129593	0.37973458	Yes	
row_23	ERP29	endoplasmic reticulum protein 29 [Source:HGNC Symbol;Acc:HGNC:13799]	376	0.24838732182979584	0.39362	Yes	
row_24	ECI2	enoyl-CoA delta isomerase 2 [Source:HGNC Symbol;Acc:HGNC:14601]	385	0.2467210292816162	0.40650272	Yes	
row_25	FH	fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]	427	0.23825357854366302	0.41142702	Yes	
row_26	ACAT2	acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]	432	0.23653371632099152	0.4246067	Yes	
row_27	ECHS1	enoyl-CoA hydratase, short chain 1 [Source:HGNC Symbol;Acc:HGNC:3151]	434	0.23602330684661865	0.43843368	Yes	
row_28	HSD17B10	hydroxysteroid 17-beta dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:4800]	458	0.23223979771137238	0.4470659	Yes	
row_29	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]	459	0.2319660633802414	0.46087718	Yes	
row_30	UROS	uroporphyrinogen III synthase [Source:HGNC Symbol;Acc:HGNC:12592]	470	0.2305595576763153	0.47234583	Yes	
row_31	GCDH	glutaryl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4189]	518	0.22146210074424744	0.47491506	Yes	
row_32	FABP1	fatty acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3555]	542	0.21719762682914734	0.48265162	Yes	
