NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	18	0.500213086605072	0.03309001	Yes	
row_1	CSRP3	cysteine and glycine rich protein 3 [Source:HGNC Symbol;Acc:HGNC:2472]	64	0.40132880210876465	0.05273125	Yes	
row_2	MYL3	myosin light chain 3 [Source:HGNC Symbol;Acc:HGNC:7584]	123	0.34506165981292725	0.06525412	Yes	
row_3	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	164	0.31551480293273926	0.0796508	Yes	
row_4	PFKM	phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]	215	0.29704588651657104	0.0904151	Yes	
row_5	FABP3	fatty acid binding protein 3 [Source:HGNC Symbol;Acc:HGNC:3557]	250	0.2830393314361572	0.10375555	Yes	
row_6	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	273	0.27508002519607544	0.11921721	Yes	
row_7	CAMK2B	calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]	277	0.2742902636528015	0.13891496	Yes	
row_8	SMTN	smoothelin [Source:HGNC Symbol;Acc:HGNC:11126]	301	0.26979026198387146	0.15375763	Yes	
row_9	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	323	0.26418986916542053	0.16863635	Yes	
row_10	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	332	0.26148903369903564	0.18625295	Yes	
row_11	FLII	FLII actin remodeling protein [Source:HGNC Symbol;Acc:HGNC:3750]	414	0.24096928536891937	0.18584432	No	
row_12	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	721	0.19009117782115936	0.13079722	No	
row_13	DAPK2	death associated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:2675]	753	0.18664871156215668	0.13765533	No	
row_14	GABARAPL2	GABA type A receptor associated protein like 2 [Source:HGNC Symbol;Acc:HGNC:13291]	794	0.18124893307685852	0.14207797	No	
row_15	SPTAN1	spectrin alpha, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11273]	873	0.17210538685321808	0.13723184	No	
row_16	FKBP1B	FKBP prolyl isomerase 1B [Source:HGNC Symbol;Acc:HGNC:3712]	1017	0.15726810693740845	0.11659094	No	
row_17	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1055	0.15273843705654144	0.119573765	No	
row_18	EIF4A2	eukaryotic translation initiation factor 4A2 [Source:HGNC Symbol;Acc:HGNC:3284]	1139	0.14278601109981537	0.11141943	No	
row_19	NQO1	NAD(P)H quinone dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:2874]	1152	0.14114372432231903	0.11919193	No	
row_20	TNNI2	troponin I2, fast skeletal type [Source:HGNC Symbol;Acc:HGNC:11946]	1165	0.13945874571800232	0.12683925	No	
row_21	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	1182	0.13756588101387024	0.1334418	No	
row_22	PTP4A3	protein tyrosine phosphatase 4A3 [Source:HGNC Symbol;Acc:HGNC:9636]	1202	0.1355230212211609	0.13921449	No	
row_23	TEAD4	TEA domain transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11717]	1247	0.13026146590709686	0.13894531	No	
row_24	PLXNB2	plexin B2 [Source:HGNC Symbol;Acc:HGNC:9104]	1282	0.12596623599529266	0.14061746	No	
row_25	MB	myoglobin [Source:HGNC Symbol;Acc:HGNC:6915]	1417	0.11019009351730347	0.11851369	No	
row_26	SPARC	secreted protein acidic and cysteine rich [Source:HGNC Symbol;Acc:HGNC:11219]	1425	0.10937855392694473	0.12505668	No	
row_27	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	1439	0.10747190564870834	0.1301018	No	
row_28	TAGLN	transgelin [Source:HGNC Symbol;Acc:HGNC:11553]	1460	0.10580264031887054	0.13344064	No	
row_29	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	1546	0.09626859426498413	0.121378645	No	
row_30	BIN1	bridging integrator 1 [Source:HGNC Symbol;Acc:HGNC:1052]	1568	0.09355336427688599	0.1235815	No	
row_31	MAPK12	mitogen-activated protein kinase 12 [Source:HGNC Symbol;Acc:HGNC:6874]	1642	0.08491640537977219	0.11338868	No	
row_32	MYOM2	myomesin 2 [Source:HGNC Symbol;Acc:HGNC:7614]	1758	0.07062318921089172	0.0926404	No	
row_33	SOD3	superoxide dismutase 3 [Source:HGNC Symbol;Acc:HGNC:11181]	1769	0.07005991041660309	0.09558446	No	
row_34	EFS	embryonal Fyn-associated substrate [Source:HGNC Symbol;Acc:HGNC:16898]	1871	0.056686945259571075	0.07696547	No	
row_35	CKB	creatine kinase B [Source:HGNC Symbol;Acc:HGNC:1991]	1879	0.05632506310939789	0.07956735	No	
row_36	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	1915	0.052643343806266785	0.07556661	No	
row_37	AK1	adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361]	1918	0.052272193133831024	0.07899761	No	
row_38	APOD	apolipoprotein D [Source:HGNC Symbol;Acc:HGNC:612]	1932	0.050306811928749084	0.07979617	No	
row_39	MYL7	myosin light chain 7 [Source:HGNC Symbol;Acc:HGNC:21719]	1950	0.04879171773791313	0.07957803	No	
row_40	BAG1	BAG cochaperone 1 [Source:HGNC Symbol;Acc:HGNC:937]	2036	0.03797181323170662	0.063185416	No	
row_41	SIRT2	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]	2158	0.02677188068628311	0.03782337	No	
row_42	TNNT2	troponin T2, cardiac type [Source:HGNC Symbol;Acc:HGNC:11949]	2269	0.013513484969735146	0.013962854	No	
row_43	PGAM2	phosphoglycerate mutase 2 [Source:HGNC Symbol;Acc:HGNC:8889]	2282	0.01143993716686964	0.012100201	No	
row_44	HRC	histidine rich calcium binding protein [Source:HGNC Symbol;Acc:HGNC:5178]	2295	0.009914630092680454	0.010124239	No	
row_45	COL6A3	collagen type VI alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2213]	2398	-0.0017130714841187	-0.012804562	No	
row_46	MEF2C	myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996]	2422	-0.004268540069460869	-0.017686386	No	
row_47	CTF1	cardiotrophin 1 [Source:HGNC Symbol;Acc:HGNC:2499]	2441	-0.006296439561992884	-0.021287365	No	
row_48	FST	follistatin [Source:HGNC Symbol;Acc:HGNC:3971]	2476	-0.010736344382166862	-0.02817516	No	
row_49	CASQ1	calsequestrin 1 [Source:HGNC Symbol;Acc:HGNC:1512]	2492	-0.01332486979663372	-0.030575909	No	
row_50	MRAS	muscle RAS oncogene homolog [Source:HGNC Symbol;Acc:HGNC:7227]	2607	-0.027964558452367783	-0.054267075	No	
row_51	COX6A2	cytochrome c oxidase subunit 6A2 [Source:HGNC Symbol;Acc:HGNC:2279]	2619	-0.029227670282125473	-0.054582313	No	
row_52	CAV3	caveolin 3 [Source:HGNC Symbol;Acc:HGNC:1529]	2784	-0.049264002591371536	-0.08799322	No	
row_53	FHL1	four and a half LIM domains 1 [Source:HGNC Symbol;Acc:HGNC:3702]	2800	-0.05115489661693573	-0.087583736	No	
row_54	COX7A1	cytochrome c oxidase subunit 7A1 [Source:HGNC Symbol;Acc:HGNC:2287]	2872	-0.058987341821193695	-0.09925064	No	
row_55	SPDEF	SAM pointed domain containing ETS transcription factor [Source:HGNC Symbol;Acc:HGNC:17257]	2884	-0.06058896705508232	-0.09723618	No	
row_56	MYL6B	myosin light chain 6B [Source:HGNC Symbol;Acc:HGNC:29823]	2916	-0.06429792195558548	-0.09946699	No	
