NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18080]	600	0.20976969599723816	-0.038019452	No	
row_1	ARRB1	arrestin beta 1 [Source:HGNC Symbol;Acc:HGNC:711]	957	0.16375446319580078	-0.042719252	No	
row_2	SAP30	Sin3A associated protein 30 [Source:HGNC Symbol;Acc:HGNC:10532]	1594	0.08995181322097778	-0.14319953	No	
row_3	PRKCA	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	1820	0.06319642066955566	-0.16448691	No	
row_4	WNT5A	Wnt family member 5A [Source:HGNC Symbol;Acc:HGNC:12784]	2350	0.004373571835458279	-0.28008074	No	
row_5	DTX1	deltex E3 ubiquitin ligase 1 [Source:HGNC Symbol;Acc:HGNC:3060]	2554	-0.022148778662085533	-0.3151349	No	
row_6	NOTCH2	notch receptor 2 [Source:HGNC Symbol;Acc:HGNC:7882]	2856	-0.05756038799881935	-0.35587662	No	
row_7	DLL1	delta like canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:2908]	3047	-0.07859182357788086	-0.36238703	No	
row_8	CUL1	cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]	3079	-0.0825272724032402	-0.33176756	No	
row_9	SKP1	S-phase kinase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:10899]	3567	-0.13781946897506714	-0.3773728	No	
row_10	JAG1	jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]	4105	-0.21400099992752075	-0.39946595	Yes	
row_11	KAT2A	lysine acetyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:4201]	4356	-0.29640883207321167	-0.32031152	Yes	
row_12	NOTCH1	notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881]	4449	-0.3762403726577759	-0.16975355	Yes	
row_13	NOTCH3	notch receptor 3 [Source:HGNC Symbol;Acc:HGNC:7883]	4465	-0.4038022756576538	0.010446658	Yes	
