NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPN11	protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	102	0.35877758264541626	0.019048857	Yes	
row_1	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	196	0.30153754353523254	0.033424545	Yes	
row_2	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	205	0.2998069226741791	0.06669465	Yes	
row_3	HSP90B1	heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	210	0.29899507761001587	0.10076846	Yes	
row_4	HRAS	HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]	299	0.2700619101524353	0.112585895	Yes	
row_5	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	328	0.2621258795261383	0.13695519	Yes	
row_6	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	333	0.2610538899898529	0.16659114	Yes	
row_7	RAF1	Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]	349	0.2573511600494385	0.19332264	Yes	
row_8	VAV3	vav guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:12659]	368	0.2507929801940918	0.21861306	Yes	
row_9	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	384	0.24700230360031128	0.2441341	Yes	
row_10	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	460	0.2318369746208191	0.25440118	Yes	
row_11	SMAD2	SMAD family member 2 [Source:HGNC Symbol;Acc:HGNC:6768]	480	0.2280416339635849	0.27680576	Yes	
row_12	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	528	0.21964837610721588	0.2919379	Yes	
row_13	NCK1	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]	532	0.2188461273908615	0.3168616	Yes	
row_14	PTEN	phosphatase and tensin homolog [Source:HGNC Symbol;Acc:HGNC:9588]	656	0.19913853704929352	0.31251997	Yes	
row_15	IRAK4	interleukin 1 receptor associated kinase 4 [Source:HGNC Symbol;Acc:HGNC:17967]	671	0.19770580530166626	0.33249962	Yes	
row_16	GRK2	G protein-coupled receptor kinase 2 [Source:HGNC Symbol;Acc:HGNC:289]	699	0.19286556541919708	0.34899244	Yes	
row_17	PAK4	p21 (RAC1) activated kinase 4 [Source:HGNC Symbol;Acc:HGNC:16059]	701	0.1925874799489975	0.37129408	Yes	
row_18	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	943	0.16520622372627258	0.3364726	Yes	
row_19	CAB39	calcium binding protein 39 [Source:HGNC Symbol;Acc:HGNC:20292]	1015	0.1575177013874054	0.33894545	Yes	
row_20	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1055	0.15273843705654144	0.34804872	Yes	
row_21	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	1082	0.14964880049228668	0.35971126	Yes	
row_22	RPS6KA3	ribosomal protein S6 kinase A3 [Source:HGNC Symbol;Acc:HGNC:10432]	1092	0.14833690226078033	0.37503973	Yes	
row_23	FASLG	Fas ligand [Source:HGNC Symbol;Acc:HGNC:11936]	1147	0.14201489090919495	0.37951866	Yes	
