NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	86	0.5216333	2.32798	0.0	0.0	0.0	1079	tags=56%, list=24%, signal=72%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	105	0.45540917	2.0820563	0.0	5.757576E-4	0.001	723	tags=35%, list=16%, signal=41%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	95	0.45478058	2.0705097	0.0	3.8383843E-4	0.001	1122	tags=47%, list=25%, signal=62%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	51	0.47007018	1.9292593	0.0016393443	0.0018011095	0.006	1014	tags=47%, list=22%, signal=60%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	62	0.40515158	1.6854281	0.0050251256	0.03662302	0.142	1305	tags=45%, list=29%, signal=63%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	37	0.43474287	1.6323581	0.010238908	0.05020829	0.228	454	tags=27%, list=10%, signal=30%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	74	0.36720276	1.5743666	0.010590015	0.06969441	0.335	805	tags=30%, list=18%, signal=36%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	103	0.32708696	1.4965163	0.0076219514	0.11466076	0.537	836	tags=28%, list=19%, signal=34%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	26	0.42305377	1.4569162	0.051146384	0.13867016	0.648	531	tags=31%, list=12%, signal=35%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	41	0.38623044	1.4537207	0.040472176	0.12728417	0.653	1377	tags=49%, list=31%, signal=70%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	44	0.37078163	1.4429435	0.03891709	0.1258039	0.689	1092	tags=36%, list=24%, signal=48%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	105	0.31018615	1.4319017	0.020061728	0.12875181	0.728	1296	tags=39%, list=29%, signal=54%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	70	0.3260484	1.4051086	0.034700315	0.14316864	0.789	1053	tags=34%, list=23%, signal=44%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	24	0.4216541	1.3985183	0.07426598	0.14098915	0.811	1159	tags=46%, list=26%, signal=61%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	94	0.29883984	1.3329649	0.053125	0.20393027	0.929	869	tags=28%, list=19%, signal=34%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	51	0.3228592	1.3256518	0.087628864	0.20135275	0.936	1342	tags=49%, list=30%, signal=69%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	31	0.3674968	1.3088346	0.12417219	0.21101567	0.954	987	tags=32%, list=22%, signal=41%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	104	0.28410843	1.2999345	0.07099698	0.21048462	0.964	1118	tags=34%, list=25%, signal=44%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	43	0.3353293	1.276818	0.13809524	0.23050424	0.977	1092	tags=42%, list=24%, signal=55%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	73	0.29428524	1.2750045	0.09936909	0.22129685	0.977	1055	tags=33%, list=23%, signal=42%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		16	0.41988847	1.253873	0.17517006	0.2389375	0.99	1610	tags=56%, list=36%, signal=87%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		40	0.31953657	1.2401992	0.16666667	0.24873413	0.993	1054	tags=43%, list=23%, signal=55%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		126	0.26006326	1.2363001	0.120426826	0.24297924	0.994	832	tags=25%, list=18%, signal=30%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		67	0.28965494	1.2242732	0.1511811	0.24912494	0.995	847	tags=28%, list=19%, signal=34%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		96	0.26326475	1.2019671	0.15821813	0.27095285	0.998	987	tags=29%, list=22%, signal=37%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		75	0.24858616	1.0834546	0.31875	0.474247	1.0	1395	tags=36%, list=31%, signal=51%	
