NAME	TITLE	SCORE	
VWF	von Willebrand factor [Source:HGNC Symbol;Acc:HGNC:12726]	0.72438496	
HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]	0.69027865	
HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	0.61688703	
FTL	ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999]	0.584437	
FTH1	ferritin heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:3976]	0.5827233	
RRBP1	ribosome binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10448]	0.5632027	
MLN	motilin [Source:HGNC Symbol;Acc:HGNC:7141]	0.5506676	
FGG	fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]	0.5476636	
ARL15	ADP ribosylation factor like GTPase 15 [Source:HGNC Symbol;Acc:HGNC:25945]	0.5404773	
DNASE1L2	deoxyribonuclease 1 like 2 [Source:HGNC Symbol;Acc:HGNC:2958]	0.5299679	
PSAT1	phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]	0.5276411	
RNF215	ring finger protein 215 [Source:HGNC Symbol;Acc:HGNC:33434]	0.52310663	
FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	0.5221647	
FBP1	fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]	0.5207154	
HP	haptoglobin [Source:HGNC Symbol;Acc:HGNC:5141]	0.51502573	
RTP4	receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992]	0.5110601	
SAA1	serum amyloid A1 [Source:HGNC Symbol;Acc:HGNC:10513]	0.5044507	
C4BPA	complement component 4 binding protein alpha [Source:HGNC Symbol;Acc:HGNC:1325]	0.504449	
PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	0.5002131	
HSPA1B	heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]	0.4996791	
NNMT	nicotinamide N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:7861]	0.4993058	
PCSK2	proprotein convertase subtilisin/kexin type 2 [Source:HGNC Symbol;Acc:HGNC:8744]	0.49781638	
ASL	argininosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:746]	0.49403158	
HAMP	hepcidin antimicrobial peptide [Source:HGNC Symbol;Acc:HGNC:15598]	0.49063095	
RIDA	reactive intermediate imine deaminase A homolog [Source:HGNC Symbol;Acc:HGNC:16897]	0.48727763	
HGD	homogentisate 1,2-dioxygenase [Source:HGNC Symbol;Acc:HGNC:4892]	0.47502592	
SUMF2	sulfatase modifying factor 2 [Source:HGNC Symbol;Acc:HGNC:20415]	0.4734953	
F8	coagulation factor VIII [Source:HGNC Symbol;Acc:HGNC:3546]	0.4719128	
SORD	sorbitol dehydrogenase [Source:HGNC Symbol;Acc:HGNC:11184]	0.46581343	
ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:249]	0.46125385	
PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	0.46036512	
ACAT1	acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]	0.45641056	
GBP1	guanylate binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4182]	0.45591426	
PNPO	pyridoxamine 5'-phosphate oxidase [Source:HGNC Symbol;Acc:HGNC:30260]	0.45462808	
DHFR	dihydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:2861]	0.44787475	
MLYCD	malonyl-CoA decarboxylase [Source:HGNC Symbol;Acc:HGNC:7150]	0.44779378	
UBE2S	ubiquitin conjugating enzyme E2 S [Source:HGNC Symbol;Acc:HGNC:17895]	0.4389203	
FAH	fumarylacetoacetate hydrolase [Source:HGNC Symbol;Acc:HGNC:3579]	0.436583	
ALDH2	aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404]	0.4359814	
GLYAT	glycine-N-acyltransferase [Source:HGNC Symbol;Acc:HGNC:13734]	0.43483624	
SRSF6	serine and arginine rich splicing factor 6 [Source:HGNC Symbol;Acc:HGNC:10788]	0.43408656	
APCS	amyloid P component, serum [Source:HGNC Symbol;Acc:HGNC:584]	0.43379927	
GFER	growth factor, augmenter of liver regeneration [Source:HGNC Symbol;Acc:HGNC:4236]	0.433331	
