NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C2	complement C2 [Source:HGNC Symbol;Acc:HGNC:1248]	46	0.36407333612442017	0.017394548	No	
row_1	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	62	0.3347305953502655	0.039539695	No	
row_2	SRGN	serglycin [Source:HGNC Symbol;Acc:HGNC:9361]	192	0.23538507521152496	0.02840992	No	
row_3	NCK1	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]	210	0.2285250723361969	0.042004973	No	
row_4	RPS3A	ribosomal protein S3A [Source:HGNC Symbol;Acc:HGNC:10421]	236	0.22007790207862854	0.053152416	No	
row_5	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	243	0.2188294678926468	0.06848779	No	
row_6	CD79A	CD79a molecule [Source:HGNC Symbol;Acc:HGNC:1698]	319	0.19970063865184784	0.06680985	No	
row_7	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	333	0.19680139422416687	0.078887366	No	
row_8	NME1	NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]	351	0.19327358901500702	0.08979414	No	
row_9	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	419	0.18292775750160217	0.08864052	No	
row_10	RPS19	ribosomal protein S19 [Source:HGNC Symbol;Acc:HGNC:10402]	431	0.18134886026382446	0.09999048	No	
row_11	CCL7	C-C motif chemokine ligand 7 [Source:HGNC Symbol;Acc:HGNC:10634]	460	0.17649254202842712	0.10713782	No	
row_12	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	505	0.1706901490688324	0.11023581	No	
row_13	EIF3J	eukaryotic translation initiation factor 3 subunit J [Source:HGNC Symbol;Acc:HGNC:3270]	530	0.1687922328710556	0.117697634	No	
row_14	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	655	0.15437641739845276	0.10151728	No	
row_15	LY86	lymphocyte antigen 86 [Source:HGNC Symbol;Acc:HGNC:16837]	761	0.14302293956279755	0.088754244	No	
row_16	IL16	interleukin 16 [Source:HGNC Symbol;Acc:HGNC:5980]	771	0.1421590894460678	0.09756645	No	
row_17	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	806	0.13873521983623505	0.10048184	No	
row_18	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	870	0.13285844027996063	0.096411645	No	
row_19	SIT1	signaling threshold regulating transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:17710]	893	0.13140429556369781	0.10147312	No	
row_20	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]	914	0.1292102187871933	0.10681813	No	
row_21	PF4	platelet factor 4 [Source:HGNC Symbol;Acc:HGNC:8861]	1033	0.11874616146087646	0.089273185	No	
row_22	FASLG	Fas ligand [Source:HGNC Symbol;Acc:HGNC:11936]	1118	0.10985083878040314	0.07871443	No	
row_23	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	1162	0.10619709640741348	0.07711961	No	
row_24	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	1272	0.0961495190858841	0.059880294	No	
row_25	IFNG	interferon gamma [Source:HGNC Symbol;Acc:HGNC:5438]	1328	0.0923476368188858	0.054524172	No	
row_26	IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	1336	0.09194023907184601	0.05995754	No	
row_27	DYRK3	dual specificity tyrosine phosphorylation regulated kinase 3 [Source:HGNC Symbol;Acc:HGNC:3094]	1339	0.09171783179044724	0.06650109	No	
row_28	GZMA	granzyme A [Source:HGNC Symbol;Acc:HGNC:4708]	1425	0.08540377765893936	0.05385258	No	
row_29	FGR	FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]	1426	0.08530914038419724	0.06035826	No	
row_30	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	1429	0.08515574038028717	0.066401385	No	
row_31	CD247	CD247 molecule [Source:HGNC Symbol;Acc:HGNC:1677]	1450	0.08272320032119751	0.068201296	No	
row_32	EIF4G3	eukaryotic translation initiation factor 4 gamma 3 [Source:HGNC Symbol;Acc:HGNC:3298]	1598	0.07197161018848419	0.04055189	No	
row_33	CD47	CD47 molecule [Source:HGNC Symbol;Acc:HGNC:1682]	1611	0.07043488323688507	0.043218117	No	
row_34	GZMB	granzyme B [Source:HGNC Symbol;Acc:HGNC:4709]	1617	0.06995533406734467	0.047425773	No	
row_35	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	1686	0.06421013921499252	0.036993314	No	
row_36	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	1706	0.06250433623790741	0.03747676	No	
row_37	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	1806	0.053500160574913025	0.019239282	No	
row_38	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	1812	0.05254238471388817	0.022119025	No	
row_39	HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	1881	0.046872932463884354	0.010364432	No	
row_40	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	1892	0.046451956033706665	0.011652578	No	
row_41	GCNT1	glucosaminyl (N-acetyl) transferase 1 [Source:HGNC Symbol;Acc:HGNC:4203]	1949	0.04102971777319908	0.00215752	No	
row_42	EIF5A	eukaryotic translation initiation factor 5A [Source:HGNC Symbol;Acc:HGNC:3300]	1950	0.041017040610313416	0.005285482	No	
row_43	IL4	interleukin 4 [Source:HGNC Symbol;Acc:HGNC:6014]	1951	0.04097656160593033	0.008410356	No	
row_44	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	1957	0.04069926589727402	0.010386943	No	
row_45	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	1982	0.038782842457294464	0.007934244	No	
row_46	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	1991	0.03811105713248253	0.00903717	No	
row_47	CD40LG	CD40 ligand [Source:HGNC Symbol;Acc:HGNC:11935]	2032	0.035356756299734116	0.0027163448	No	
row_48	TRAT1	T cell receptor associated transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:30698]	2055	0.033381130546331406	3.0256837E-4	No	
row_49	IRF4	interferon regulatory factor 4 [Source:HGNC Symbol;Acc:HGNC:6119]	2067	0.03241940215229988	2.9516208E-4	No	
row_50	CD3G	CD3g molecule [Source:HGNC Symbol;Acc:HGNC:1675]	2073	0.03193701431155205	0.0016035389	No	
row_51	RIPK2	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	2097	0.030080536380410194	-0.0012873692	No	
row_52	BCL10	BCL10 immune signaling adaptor [Source:HGNC Symbol;Acc:HGNC:989]	2162	0.024468140676617622	-0.013848839	No	
row_53	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	2174	0.0227604229003191	-0.01459284	No	
row_54	STAB1	stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]	2187	0.021917778998613358	-0.01562653	No	
row_55	IL18RAP	interleukin 18 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5989]	2220	0.01935793086886406	-0.021363998	No	
row_56	INHBB	inhibin subunit beta B [Source:HGNC Symbol;Acc:HGNC:6067]	2247	0.017508696764707565	-0.02588992	No	
row_57	CD8A	CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]	2249	0.017292428761720657	-0.024796627	No	
row_58	CXCL13	C-X-C motif chemokine ligand 13 [Source:HGNC Symbol;Acc:HGNC:10639]	2251	0.01715978980064392	-0.023713449	No	
row_59	APBB1	amyloid beta precursor protein binding family B member 1 [Source:HGNC Symbol;Acc:HGNC:581]	2315	0.012169398367404938	-0.036987394	No	
row_60	CSK	C-terminal Src kinase [Source:HGNC Symbol;Acc:HGNC:2444]	2343	0.009954869747161865	-0.0423148	No	
row_61	CD3E	CD3e molecule [Source:HGNC Symbol;Acc:HGNC:1674]	2350	0.009210579097270966	-0.042964973	No	
row_62	NPM1	nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910]	2379	0.006478975061327219	-0.048782878	No	
row_63	IL2	interleukin 2 [Source:HGNC Symbol;Acc:HGNC:6001]	2400	0.005261791404336691	-0.052890178	No	
row_64	MBL2	mannose binding lectin 2 [Source:HGNC Symbol;Acc:HGNC:6922]	2419	0.0034478260204195976	-0.056684956	No	
row_65	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	2435	0.002318239537999034	-0.059889592	No	
row_66	IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	2446	0.0014500593533739448	-0.062033296	No	
row_67	CARTPT	CART prepropeptide [Source:HGNC Symbol;Acc:HGNC:24323]	2450	0.0011026330757886171	-0.06262549	No	
row_68	ACVR2A	activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]	2471	-9.798037353903055E-4	-0.06705934	No	
row_69	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	2564	-0.00823746807873249	-0.087170556	No	
row_70	IL9	interleukin 9 [Source:HGNC Symbol;Acc:HGNC:6029]	2592	-0.010698751546442509	-0.09244123	No	
row_71	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6863]	2679	-0.017240364104509354	-0.110513315	No	
