NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]	121	0.2744867205619812	0.029692726	Yes	
row_1	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	225	0.2241676151752472	0.05301841	Yes	
row_2	LGMN	legumain [Source:HGNC Symbol;Acc:HGNC:9472]	284	0.2056981325149536	0.082488015	Yes	
row_3	FASN	fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]	316	0.19980911910533905	0.11671134	Yes	
row_4	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	336	0.19639688730239868	0.15288404	Yes	
row_5	PMVK	phosphomevalonate kinase [Source:HGNC Symbol;Acc:HGNC:9141]	354	0.1930546909570694	0.18881153	Yes	
row_6	GUSB	glucuronidase beta [Source:HGNC Symbol;Acc:HGNC:4696]	439	0.18044155836105347	0.20734629	Yes	
row_7	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	603	0.16013465821743011	0.20425607	Yes	
row_8	ALDOC	aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]	607	0.15945076942443848	0.23636878	Yes	
row_9	ACAT2	acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]	742	0.1447419375181198	0.23652057	Yes	
row_10	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide [Source:HGNC Symbol;Acc:HGNC:252]	881	0.13203644752502441	0.23317714	No	
row_11	CXCL16	C-X-C motif chemokine ligand 16 [Source:HGNC Symbol;Acc:HGNC:16642]	1227	0.10045388340950012	0.17761621	No	
row_12	FABP5	fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]	1427	0.08522780984640121	0.15117647	No	
row_13	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	1917	0.044292889535427094	0.052262392	No	
row_14	GNAI1	G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]	2341	0.010019587352871895	-0.039117426	No	
row_15	S100A11	S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]	2394	0.005717266350984573	-0.049428865	No	
row_16	HSD17B7	hydroxysteroid 17-beta dehydrogenase 7 [Source:HGNC Symbol;Acc:HGNC:5215]	2489	-0.002302759326994419	-0.06971983	No	
row_17	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	2638	-0.014417765662074089	-0.099448964	No	
row_18	CBS	cystathionine-beta-synthase [Source:HGNC Symbol;Acc:HGNC:1550]	2680	-0.0173470638692379	-0.10494001	No	
row_19	NSDHL	NAD(P) dependent steroid dehydrogenase-like [Source:HGNC Symbol;Acc:HGNC:13398]	2908	-0.0405115932226181	-0.14675637	No	
row_20	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	2982	-0.04555341973900795	-0.15351824	No	
row_21	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	3147	-0.06336833536624908	-0.17671986	No	
row_22	MVK	mevalonate kinase [Source:HGNC Symbol;Acc:HGNC:7530]	3297	-0.08022066950798035	-0.19314398	No	
row_23	JAG1	jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]	3423	-0.09569603949785233	-0.20108558	No	
row_24	ANXA5	annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]	3556	-0.11035306006669998	-0.2075607	No	
row_25	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	3708	-0.12922009825706482	-0.2143547	No	
row_26	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	3728	-0.13351288437843323	-0.19110791	No	
row_27	MVD	mevalonate diphosphate decarboxylase [Source:HGNC Symbol;Acc:HGNC:7529]	3888	-0.1579519510269165	-0.19376321	No	
row_28	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	3917	-0.16152755916118622	-0.16674604	No	
row_29	ANXA13	annexin A13 [Source:HGNC Symbol;Acc:HGNC:536]	4001	-0.17474763095378876	-0.14916079	No	
row_30	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:5006]	4195	-0.2088063806295395	-0.14887334	No	
row_31	ETHE1	ETHE1 persulfide dioxygenase [Source:HGNC Symbol;Acc:HGNC:23287]	4204	-0.2110455334186554	-0.10725972	No	
row_32	ALCAM	activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]	4404	-0.27881360054016113	-0.09390755	No	
row_33	ANTXR2	ANTXR cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:21732]	4554	-0.6234273910522461	0.0013254528	No	
