NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	0	0.7193431854248047	0.044557836	Yes	
row_1	VWF	von Willebrand factor [Source:HGNC Symbol;Acc:HGNC:12726]	1	0.6287229061126709	0.083502434	Yes	
row_2	F8	coagulation factor VIII [Source:HGNC Symbol;Acc:HGNC:3546]	7	0.5063309073448181	0.1137442	Yes	
row_3	F9	coagulation factor IX [Source:HGNC Symbol;Acc:HGNC:3551]	10	0.48935428261756897	0.14360735	Yes	
row_4	ANG	angiogenin [Source:HGNC Symbol;Acc:HGNC:483]	25	0.41426214575767517	0.16612731	Yes	
row_5	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	32	0.400368869304657	0.18958122	Yes	
row_6	C2	complement C2 [Source:HGNC Symbol;Acc:HGNC:1248]	46	0.36407333612442017	0.20921668	Yes	
row_7	FGG	fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]	53	0.3524348735809326	0.22970144	Yes	
row_8	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	70	0.32671046257019043	0.24634962	Yes	
row_9	C9	complement C9 [Source:HGNC Symbol;Acc:HGNC:1358]	91	0.30234888195991516	0.2605915	Yes	
row_10	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	94	0.2994041442871094	0.2786887	Yes	
row_11	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	111	0.2856900990009308	0.29279596	Yes	
row_12	APOC3	apolipoprotein C3 [Source:HGNC Symbol;Acc:HGNC:610]	248	0.21768365800380707	0.27577284	Yes	
row_13	C1S	complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]	268	0.20970703661441803	0.2845006	Yes	
row_14	LGMN	legumain [Source:HGNC Symbol;Acc:HGNC:9472]	284	0.2056981325149536	0.2938773	Yes	
row_15	SERPINA1	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	289	0.20492105185985565	0.30567333	Yes	
row_16	CTSK	cathepsin K [Source:HGNC Symbol;Acc:HGNC:2536]	300	0.20319850742816925	0.3160168	Yes	
row_17	S100A13	S100 calcium binding protein A13 [Source:HGNC Symbol;Acc:HGNC:10490]	317	0.19979718327522278	0.32480365	Yes	
row_18	GP1BA	glycoprotein Ib platelet subunit alpha [Source:HGNC Symbol;Acc:HGNC:4439]	379	0.187843918800354	0.32275587	Yes	
row_19	PROS1	protein S [Source:HGNC Symbol;Acc:HGNC:9456]	384	0.18725784122943878	0.33345783	Yes	
row_20	F11	coagulation factor XI [Source:HGNC Symbol;Acc:HGNC:3529]	482	0.17375440895557404	0.32246193	No	
row_21	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	711	0.14796604216098785	0.2804833	No	
row_22	ADAM9	ADAM metallopeptidase domain 9 [Source:HGNC Symbol;Acc:HGNC:216]	720	0.14682722091674805	0.2877836	No	
row_23	F10	coagulation factor X [Source:HGNC Symbol;Acc:HGNC:3528]	755	0.14334355294704437	0.28903592	No	
row_24	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	820	0.13778561353683472	0.28321445	No	
row_25	CTSH	cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]	828	0.13675744831562042	0.29011533	No	
row_26	MMP7	matrix metallopeptidase 7 [Source:HGNC Symbol;Acc:HGNC:7174]	841	0.13562476634979248	0.29582447	No	
row_27	CPB2	carboxypeptidase B2 [Source:HGNC Symbol;Acc:HGNC:2300]	930	0.1277698427438736	0.28399903	No	
row_28	PF4	platelet factor 4 [Source:HGNC Symbol;Acc:HGNC:8861]	1033	0.11874616146087646	0.26847425	No	
row_29	HTRA1	HtrA serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:9476]	1053	0.11641243100166321	0.2714231	No	
row_30	SPARC	secreted protein acidic and cysteine rich [Source:HGNC Symbol;Acc:HGNC:11219]	1142	0.10768395662307739	0.25835353	No	
row_31	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	1162	0.10619709640741348	0.26066962	No	
row_32	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	1192	0.10337018221616745	0.26056746	No	
row_33	RABIF	RAB interacting factor [Source:HGNC Symbol;Acc:HGNC:9797]	1224	0.1006459966301918	0.2598479	No	
row_34	CFI	complement factor I [Source:HGNC Symbol;Acc:HGNC:5394]	1286	0.09537718445062637	0.25207254	No	
row_35	DUSP6	dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]	1289	0.09510833024978638	0.25751516	No	
row_36	PDGFB	platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]	1294	0.09495767951011658	0.26249978	No	
row_37	CTSE	cathepsin E [Source:HGNC Symbol;Acc:HGNC:2530]	1355	0.0904550552368164	0.25464383	No	
row_38	MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]	1362	0.09012452512979507	0.25888047	No	
row_39	PREP	prolyl endopeptidase [Source:HGNC Symbol;Acc:HGNC:9358]	1381	0.08835870772600174	0.26031592	No	
row_40	PEF1	penta-EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30009]	1416	0.08632580190896988	0.25803643	No	
row_41	ARF4	ADP ribosylation factor 4 [Source:HGNC Symbol;Acc:HGNC:655]	1514	0.07862813770771027	0.2411482	No	
row_42	CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	1692	0.06379486620426178	0.2053959	No	
row_43	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	1812	0.05254238471388817	0.18195693	No	
row_44	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	1861	0.048399895429611206	0.17418776	No	
row_45	MMP14	matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]	1870	0.04788528010249138	0.17535937	No	
row_46	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	1934	0.04234747961163521	0.16385058	No	
row_47	CRIP2	cysteine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:2361]	2011	0.0367702953517437	0.14908022	No	
row_48	MMP3	matrix metallopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:7173]	2021	0.036147862672805786	0.14930046	No	
row_49	LTA4H	leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710]	2035	0.03506987914443016	0.14855666	No	
row_50	MMP8	matrix metallopeptidase 8 [Source:HGNC Symbol;Acc:HGNC:7175]	2124	0.028353428468108177	0.13057315	No	
row_51	SERPING1	serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]	2191	0.02159789949655533	0.117106125	No	
row_52	BMP1	bone morphogenetic protein 1 [Source:HGNC Symbol;Acc:HGNC:1067]	2268	0.015957821160554886	0.10104659	No	
row_53	MST1	macrophage stimulating 1 [Source:HGNC Symbol;Acc:HGNC:7380]	2278	0.01533141452819109	0.09997741	No	
row_54	TMPRSS6	transmembrane serine protease 6 [Source:HGNC Symbol;Acc:HGNC:16517]	2342	0.009962515905499458	0.08646262	No	
row_55	ISCU	iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]	2368	0.007539260666817427	0.081321724	No	
row_56	CAPN2	calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]	2408	0.004228607285767794	0.07283533	No	
row_57	MBL2	mannose binding lectin 2 [Source:HGNC Symbol;Acc:HGNC:6922]	2419	0.0034478260204195976	0.07080574	No	
row_58	CPN1	carboxypeptidase N subunit 1 [Source:HGNC Symbol;Acc:HGNC:2312]	2515	-0.00416985247284174	0.049754027	No	
row_59	LRP1	LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692]	2531	-0.004903971217572689	0.046693053	No	
row_60	CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	2584	-0.0099182752892375	0.035642993	No	
row_61	SIRT2	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]	2625	-0.013573252595961094	0.027511118	No	
row_62	TFPI2	tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]	2747	-0.024769876152276993	0.0019032063	No	
row_63	CTSO	cathepsin O [Source:HGNC Symbol;Acc:HGNC:2542]	2760	-0.026042599231004715	8.245571E-4	No	
row_64	PLG	plasminogen [Source:HGNC Symbol;Acc:HGNC:9071]	2794	-0.029635775834321976	-0.004742155	No	
row_65	F13B	coagulation factor XIII B chain [Source:HGNC Symbol;Acc:HGNC:3534]	2901	-0.03992273285984993	-0.026046725	No	
row_66	F2	coagulation factor II, thrombin [Source:HGNC Symbol;Acc:HGNC:3535]	2942	-0.042987335473299026	-0.03235662	No	
