NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NRP2	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]	506	0.17068903148174286	-0.042036273	No	
row_1	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	545	0.16593560576438904	0.017011968	No	
row_2	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	1130	0.10919371992349625	-0.067176566	No	
row_3	ADGRG1	adhesion G protein-coupled receptor G1 [Source:HGNC Symbol;Acc:HGNC:4512]	2310	0.01246638409793377	-0.32163212	No	
row_4	ETS2	ETS proto-oncogene 2, transcription factor [Source:HGNC Symbol;Acc:HGNC:3489]	2338	0.010301606729626656	-0.32339022	No	
row_5	PLG	plasminogen [Source:HGNC Symbol;Acc:HGNC:9071]	2794	-0.029635775834321976	-0.4115045	No	
row_6	RASA1	RAS p21 protein activator 1 [Source:HGNC Symbol;Acc:HGNC:9871]	3171	-0.06664419174194336	-0.46719444	Yes	
row_7	SHH	sonic hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:10848]	3186	-0.0690748542547226	-0.44221386	Yes	
row_8	VLDLR	very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698]	3316	-0.08258048444986343	-0.43706018	Yes	
row_9	ACHE	acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]	3406	-0.09414461255073547	-0.41840369	Yes	
row_10	SLIT1	slit guidance ligand 1 [Source:HGNC Symbol;Acc:HGNC:11085]	3458	-0.09988890588283539	-0.38904902	Yes	
row_11	OPHN1	oligophrenin 1 [Source:HGNC Symbol;Acc:HGNC:8148]	3520	-0.10629593580961227	-0.35929266	Yes	
row_12	CRMP1	collapsin response mediator protein 1 [Source:HGNC Symbol;Acc:HGNC:2365]	3657	-0.123928003013134	-0.338882	Yes	
row_13	UNC5C	unc-5 netrin receptor C [Source:HGNC Symbol;Acc:HGNC:12569]	3856	-0.15343129634857178	-0.32013276	Yes	
row_14	DPYSL2	dihydropyrimidinase like 2 [Source:HGNC Symbol;Acc:HGNC:3014]	4015	-0.17646969854831696	-0.28321925	Yes	
row_15	NRCAM	neuronal cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:7994]	4125	-0.1930963695049286	-0.22876514	Yes	
row_16	CNTFR	ciliary neurotrophic factor receptor [Source:HGNC Symbol;Acc:HGNC:2170]	4505	-0.38364163041114807	-0.15633252	Yes	
row_17	L1CAM	L1 cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:6470]	4520	-0.4140688478946686	0.008804819	Yes	
