NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	14	0.4662292003631592	0.030136766	Yes	
row_1	NMI	N-myc and STAT interactor [Source:HGNC Symbol;Acc:HGNC:7854]	21	0.4264658987522125	0.059232004	Yes	
row_2	RTP4	receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992]	23	0.4221114218235016	0.08913949	Yes	
row_3	PROK2	prokineticin 2 [Source:HGNC Symbol;Acc:HGNC:18455]	24	0.421999990940094	0.11926364	Yes	
row_4	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	88	0.30437183380126953	0.12684005	Yes	
row_5	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	111	0.2856900990009308	0.14229223	Yes	
row_6	CD69	CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]	112	0.2854467034339905	0.16266863	Yes	
row_7	RAF1	Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]	181	0.24039718508720398	0.16455516	Yes	
row_8	MSR1	macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:HGNC:7376]	219	0.22647187113761902	0.17241082	Yes	
row_9	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	243	0.2188294678926468	0.18286557	Yes	
row_10	RHOG	ras homolog family member G [Source:HGNC Symbol;Acc:HGNC:672]	260	0.21201092004776	0.19440593	Yes	
row_11	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	333	0.19680139422416687	0.19228195	Yes	
row_12	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	336	0.19639688730239868	0.20585234	Yes	
row_13	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	340	0.19584429264068604	0.2191587	Yes	
row_14	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	375	0.18874360620975494	0.224995	Yes	
row_15	GP1BA	glycoprotein Ib platelet subunit alpha [Source:HGNC Symbol;Acc:HGNC:4439]	379	0.187843918800354	0.23773023	Yes	
row_16	SRI	sorcin [Source:HGNC Symbol;Acc:HGNC:11292]	380	0.18778389692306519	0.25113505	Yes	
row_17	ADM	adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]	391	0.1866486817598343	0.26221263	Yes	
