NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITIH3	inter-alpha-trypsin inhibitor heavy chain 3 [Source:HGNC Symbol;Acc:HGNC:6168]	9	0.4929113984107971	0.051416785	No	
row_1	MX1	MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]	19	0.42761120200157166	0.095756166	No	
row_2	CLSTN3	calsyntenin 3 [Source:HGNC Symbol;Acc:HGNC:18371]	170	0.24585430324077606	0.08896513	No	
row_3	FGF16	fibroblast growth factor 16 [Source:HGNC Symbol;Acc:HGNC:3672]	272	0.2083941251039505	0.08903695	No	
row_4	CALCB	calcitonin related polypeptide beta [Source:HGNC Symbol;Acc:HGNC:1438]	328	0.1981532722711563	0.09825295	No	
row_5	GP1BA	glycoprotein Ib platelet subunit alpha [Source:HGNC Symbol;Acc:HGNC:4439]	379	0.187843918800354	0.107466176	No	
row_6	C5	complement C5 [Source:HGNC Symbol;Acc:HGNC:1331]	414	0.18335241079330444	0.119759254	No	
row_7	LGALS7	galectin 7 [Source:HGNC Symbol;Acc:HGNC:6568]	589	0.1616518497467041	0.09849217	No	
row_8	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	631	0.15660688281059265	0.10632609	No	
row_9	FSHB	follicle stimulating hormone subunit beta [Source:HGNC Symbol;Acc:HGNC:3964]	696	0.148930162191391	0.10820092	No	
row_10	OXT	oxytocin/neurophysin I prepropeptide [Source:HGNC Symbol;Acc:HGNC:8528]	732	0.14591673016548157	0.1162137	No	
row_11	GDNF	glial cell derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:4232]	764	0.14266160130500793	0.12476535	No	
row_12	YBX2	Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]	922	0.12842153012752533	0.10368624	No	
row_13	HNF1A	HNF1 homeobox A [Source:HGNC Symbol;Acc:HGNC:11621]	1021	0.11977219581604004	0.09482173	No	
row_14	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	1080	0.1132841408252716	0.094170645	No	
row_15	CPB1	carboxypeptidase B1 [Source:HGNC Symbol;Acc:HGNC:2299]	1169	0.10557679086923599	0.08599675	No	
row_16	IFNG	interferon gamma [Source:HGNC Symbol;Acc:HGNC:5438]	1328	0.0923476368188858	0.06078494	No	
row_17	FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	1430	0.08509881794452667	0.04749368	No	
row_18	IL5	interleukin 5 [Source:HGNC Symbol;Acc:HGNC:6016]	1451	0.08255121856927872	0.051982485	No	
row_19	CLPS	colipase [Source:HGNC Symbol;Acc:HGNC:2085]	1477	0.08111671358346939	0.055201232	No	
