NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DHFR	dihydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:2861]	35	0.3921143114566803	0.028866427	Yes	
row_1	PSAT1	phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]	89	0.3037680387496948	0.045438033	Yes	
row_2	SORD	sorbitol dehydrogenase [Source:HGNC Symbol;Acc:HGNC:11184]	114	0.28329819440841675	0.066581644	Yes	
row_3	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]	121	0.2744867205619812	0.090927474	Yes	
row_4	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	124	0.2713448405265808	0.11587412	Yes	
row_5	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	201	0.2304893136024475	0.12044245	Yes	
row_6	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	225	0.2241676151752472	0.13627598	Yes	
row_7	LGMN	legumain [Source:HGNC Symbol;Acc:HGNC:9472]	284	0.2056981325149536	0.14255105	Yes	
row_8	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	285	0.2054254114627838	0.16177599	Yes	
row_9	SERPINH1	serpin family H member 1 [Source:HGNC Symbol;Acc:HGNC:1546]	376	0.1882093995809555	0.15925552	Yes	
row_10	CACYBP	calcyclin binding protein [Source:HGNC Symbol;Acc:HGNC:30423]	388	0.18687555193901062	0.17428361	Yes	
row_11	STIP1	stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387]	410	0.18377971649169922	0.18678482	Yes	
row_12	HSPE1	heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269]	415	0.18330153822898865	0.20304443	Yes	
