NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	77	0.31739941239356995	0.013969728	No	
row_1	FABP3	fatty acid binding protein 3 [Source:HGNC Symbol;Acc:HGNC:3557]	82	0.3124893605709076	0.04377719	No	
row_2	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	166	0.24877603352069855	0.04966337	No	
row_3	PLXNB2	plexin B2 [Source:HGNC Symbol;Acc:HGNC:9104]	202	0.23045934736728668	0.064481005	No	
row_4	MYL3	myosin light chain 3 [Source:HGNC Symbol;Acc:HGNC:7584]	212	0.22828109562397003	0.08489729	No	
row_5	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	507	0.17063234746456146	0.03593402	No	
row_6	DAPK2	death associated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:2675]	513	0.17010977864265442	0.05152929	No	
row_7	SPTAN1	spectrin alpha, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11273]	582	0.16217461228370667	0.052260432	No	
row_8	ITGB5	integrin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:6160]	592	0.1613938957452774	0.06610512	No	
row_9	TEAD4	TEA domain transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11717]	614	0.15851567685604095	0.07698427	No	
row_10	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	702	0.14823704957962036	0.07209835	No	
row_11	BIN1	bridging integrator 1 [Source:HGNC Symbol;Acc:HGNC:1052]	749	0.14424334466457367	0.07598617	No	
row_12	CSRP3	cysteine and glycine rich protein 3 [Source:HGNC Symbol;Acc:HGNC:2472]	849	0.1343487650156021	0.06705298	No	
row_13	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	902	0.13034985959529877	0.0682344	No	
row_14	EFS	embryonal Fyn-associated substrate [Source:HGNC Symbol;Acc:HGNC:16898]	925	0.12834657728672028	0.0759259	No	
row_15	PFKM	phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]	991	0.1220129057765007	0.07338189	No	
row_16	CAMK2B	calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]	1002	0.12092060595750809	0.083026566	No	
row_17	PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	1023	0.11971509456634521	0.09031717	No	
row_18	SPARC	secreted protein acidic and cysteine rich [Source:HGNC Symbol;Acc:HGNC:11219]	1142	0.10768395662307739	0.07451648	No	
row_19	SMTN	smoothelin [Source:HGNC Symbol;Acc:HGNC:11126]	1179	0.1046249195933342	0.07674747	No	
row_20	TPD52L1	TPD52 like 1 [Source:HGNC Symbol;Acc:HGNC:12006]	1203	0.10271018743515015	0.08169667	No	
row_21	CKB	creatine kinase B [Source:HGNC Symbol;Acc:HGNC:1991]	1228	0.10026301443576813	0.086181864	No	
row_22	SOD3	superoxide dismutase 3 [Source:HGNC Symbol;Acc:HGNC:11181]	1281	0.09580352902412415	0.083969146	No	
row_23	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1397	0.08777123689651489	0.06688275	No	
row_24	MAPK12	mitogen-activated protein kinase 12 [Source:HGNC Symbol;Acc:HGNC:6874]	1474	0.0813990980386734	0.057889283	No	
row_25	NQO1	NAD(P)H quinone dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:2874]	1539	0.07649718970060349	0.051096972	No	
row_26	FHL1	four and a half LIM domains 1 [Source:HGNC Symbol;Acc:HGNC:3702]	1562	0.07467027753591537	0.053514842	No	
row_27	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	1587	0.07294589281082153	0.055316165	No	
row_28	MB	myoglobin [Source:HGNC Symbol;Acc:HGNC:6915]	1594	0.0721295177936554	0.061061423	No	
