NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	102	-0.3536411	-1.5634815	0.0054195803	0.21251047	0.3274	809	tags=29%, list=18%, signal=35%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	14	-0.5429641	-1.5053915	0.053605862	0.17113872	0.4752	1196	tags=43%, list=26%, signal=58%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	18	-0.49426922	-1.4805938	0.054100554	0.13818784	0.5403	1391	tags=67%, list=30%, signal=96%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	135	-0.23997986	-1.107487	0.24592642	1.0	0.9999	953	tags=27%, list=21%, signal=34%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	27	-0.30245832	-1.0116795	0.43643123	1.0	1.0	864	tags=33%, list=19%, signal=41%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	75	-0.2389825	-0.99758935	0.45166376	1.0	1.0	1131	tags=35%, list=25%, signal=45%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	88	-0.22243206	-0.9492924	0.54682887	1.0	1.0	552	tags=15%, list=12%, signal=16%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	125	-0.19726601	-0.89828414	0.683015	1.0	1.0	879	tags=20%, list=19%, signal=24%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	88	-0.2066139	-0.8877626	0.6911739	1.0	1.0	1141	tags=34%, list=25%, signal=45%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	70	-0.21244852	-0.8765578	0.6924969	1.0	1.0	682	tags=17%, list=15%, signal=20%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	58	-0.21944718	-0.8717171	0.692614	0.9498004	1.0	645	tags=16%, list=14%, signal=18%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	64	-0.21222098	-0.8556781	0.7224328	0.90736455	1.0	989	tags=27%, list=22%, signal=33%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	34	-0.24091612	-0.85118014	0.7034636	0.8468717	1.0	854	tags=26%, list=19%, signal=32%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	44	-0.2129892	-0.801035	0.79672134	0.87890786	1.0	807	tags=23%, list=18%, signal=27%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	18	-0.22764717	-0.6873691	0.87600976	0.9476578	1.0	1012	tags=28%, list=22%, signal=36%	
