NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	QDPR	quinoid dihydropteridine reductase [Source:HGNC Symbol;Acc:HGNC:9752]	65	0.5426183342933655	0.01874273	Yes	
row_1	HIBCH	3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908]	73	0.5350848436355591	0.05008795	Yes	
row_2	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	74	0.5336291790008545	0.082920544	Yes	
row_3	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	160	0.4973967373371124	0.09437541	Yes	
row_4	TKT	transketolase [Source:HGNC Symbol;Acc:HGNC:11834]	200	0.48401790857315063	0.115369804	Yes	
row_5	PRDX3	peroxiredoxin 3 [Source:HGNC Symbol;Acc:HGNC:9354]	211	0.479330837726593	0.14260882	Yes	
row_6	G3BP2	G3BP stress granule assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:30291]	222	0.47651445865631104	0.16967456	Yes	
row_7	APLP2	amyloid beta precursor like protein 2 [Source:HGNC Symbol;Acc:HGNC:598]	223	0.4758698046207428	0.19895339	Yes	
row_8	ACADM	acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]	266	0.46597301959991455	0.21816172	Yes	
row_9	GRPEL1	GrpE like 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:19696]	301	0.4565257430076599	0.23859099	Yes	
row_10	CMPK1	cytidine/uridine monophosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:18170]	326	0.44999125599861145	0.26087096	Yes	
row_11	NMT1	N-myristoyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:7857]	380	0.437092125415802	0.27582428	Yes	
row_12	DECR1	2,4-dienoyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:2753]	389	0.43408024311065674	0.30072972	Yes	
row_13	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	516	0.39902839064598083	0.29689598	Yes	
row_14	HADH	hydroxyacyl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4799]	546	0.39025336503982544	0.3143741	Yes	
row_15	AIFM1	apoptosis inducing factor mitochondria associated 1 [Source:HGNC Symbol;Acc:HGNC:8768]	644	0.3601970076560974	0.31468415	Yes	
row_16	PEX14	peroxisomal biogenesis factor 14 [Source:HGNC Symbol;Acc:HGNC:8856]	683	0.3505363464355469	0.3276911	Yes	
row_17	IDH3G	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:5386]	708	0.34022223949432373	0.3432173	Yes	
row_18	ACADL	acyl-CoA dehydrogenase long chain [Source:HGNC Symbol;Acc:HGNC:88]	737	0.3300445079803467	0.35721624	Yes	
row_19	ECHS1	enoyl-CoA hydratase, short chain 1 [Source:HGNC Symbol;Acc:HGNC:3151]	821	0.30495914816856384	0.35728154	Yes	
row_20	LAMA4	laminin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6484]	860	0.28993627429008484	0.36655995	Yes	
row_21	ALDH2	aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404]	885	0.28337958455085754	0.37858883	Yes	
row_22	DLD	dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]	963	0.2533705532550812	0.3768317	Yes	
row_23	FAH	fumarylacetoacetate hydrolase [Source:HGNC Symbol;Acc:HGNC:3579]	1032	0.22314289212226868	0.37524223	Yes	
row_24	AK2	adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]	1144	0.18341591954231262	0.36152163	Yes	
row_25	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]	1165	0.17981839179992676	0.3680798	Yes	
row_26	CS	citrate synthase [Source:HGNC Symbol;Acc:HGNC:2422]	1179	0.17233382165431976	0.3757544	Yes	
row_27	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	1198	0.16733425855636597	0.381995	Yes	
row_28	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	1254	0.14902685582637787	0.378774	Yes	
row_29	CHCHD10	coiled-coil-helix-coiled-coil-helix domain containing 10 [Source:HGNC Symbol;Acc:HGNC:15559]	1266	0.1452631801366806	0.38523358	Yes	
row_30	ANGPT1	angiopoietin 1 [Source:HGNC Symbol;Acc:HGNC:484]	1276	0.1428527534008026	0.39199537	Yes	
row_31	TANK	TRAF family member associated NFKB activator [Source:HGNC Symbol;Acc:HGNC:11562]	1403	0.11049630492925644	0.3704091	No	
row_32	PGM1	phosphoglucomutase 1 [Source:HGNC Symbol;Acc:HGNC:8905]	1632	0.05901658535003662	0.3226773	No	
row_33	ANGPTL4	angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039]	1711	0.04533156752586365	0.3078949	No	
row_34	MDH2	malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971]	1808	0.028966572135686874	0.28805062	No	
row_35	ADIPOQ	adiponectin, C1Q and collagen domain containing [Source:HGNC Symbol;Acc:HGNC:13633]	1909	0.013109416700899601	0.26632962	No	
row_36	ARAF	A-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:646]	2062	-0.010243751108646393	0.23271795	No	
row_37	ACADS	acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90]	2101	-0.016948599368333817	0.22520025	No	
row_38	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	2112	-0.018223360180854797	0.22406872	No	
row_39	ITSN1	intersectin 1 [Source:HGNC Symbol;Acc:HGNC:6183]	2138	-0.021461457014083862	0.21975727	No	
row_40	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	2144	-0.02208832837641239	0.21998993	No	
row_41	TST	thiosulfate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:12388]	2196	-0.028837010264396667	0.2102751	No	
row_42	ESRRA	estrogen related receptor alpha [Source:HGNC Symbol;Acc:HGNC:3471]	2252	-0.03565773367881775	0.20007885	No	
row_43	SPARCL1	SPARC like 1 [Source:HGNC Symbol;Acc:HGNC:11220]	2298	-0.04070332646369934	0.19244577	No	
row_44	COL15A1	collagen type XV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2192]	2305	-0.041793517768383026	0.19366555	No	
row_45	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:3357]	2316	-0.043468788266181946	0.1940873	No	
row_46	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688]	2441	-0.057611774653196335	0.16969775	No	
row_47	ATP1B3	ATPase Na+/K+ transporting subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:806]	2448	-0.05807142332196236	0.17191905	No	
row_48	VEGFB	vascular endothelial growth factor B [Source:HGNC Symbol;Acc:HGNC:12681]	2695	-0.08270193636417389	0.12158957	No	
row_49	STOM	stomatin [Source:HGNC Symbol;Acc:HGNC:3383]	2732	-0.08610639721155167	0.1187775	No	
row_50	MRAP	melanocortin 2 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:1304]	2869	-0.0981033444404602	0.09417597	No	
row_51	DDT	D-dopachrome tautomerase [Source:HGNC Symbol;Acc:HGNC:2732]	2932	-0.10521285235881805	0.08668229	No	
row_52	BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	3130	-0.12493333965539932	0.0499897	No	
row_53	TALDO1	transaldolase 1 [Source:HGNC Symbol;Acc:HGNC:11559]	3162	-0.12810258567333221	0.050887913	No	
row_54	UBC	ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468]	3189	-0.1302061825990677	0.053041928	No	
row_55	FABP4	fatty acid binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3559]	3297	-0.14247091114521027	0.037703205	No	
row_56	RMDN3	regulator of microtubule dynamics 3 [Source:HGNC Symbol;Acc:HGNC:25550]	3314	-0.14470724761486053	0.043002192	No	
row_57	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9 [Source:HGNC Symbol;Acc:HGNC:6968]	3331	-0.14732801914215088	0.048462424	No	
row_58	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	3332	-0.14738863706588745	0.0575308	No	
row_59	RETN	resistin [Source:HGNC Symbol;Acc:HGNC:20389]	3461	-0.16103319823741913	0.038603365	No	
row_60	PDCD4	programmed cell death 4 [Source:HGNC Symbol;Acc:HGNC:8763]	3466	-0.16212798655033112	0.047677506	No	
row_61	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	3472	-0.16276569664478302	0.05656561	No	
row_62	OMD	osteomodulin [Source:HGNC Symbol;Acc:HGNC:8134]	3531	-0.16915254294872284	0.053907048	No	
row_63	CDKN2C	cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789]	3687	-0.19068865478038788	0.03072177	No	
row_64	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6865]	3744	-0.19925469160079956	0.030365856	No	
row_65	LEP	leptin [Source:HGNC Symbol;Acc:HGNC:6553]	3753	-0.2009831815958023	0.040929537	No	
row_66	CMBL	carboxymethylenebutenolidase homolog [Source:HGNC Symbol;Acc:HGNC:25090]	3846	-0.21507808566093445	0.033437252	No	
row_67	ACLY	ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]	3871	-0.21905843913555145	0.041508634	No	
row_68	LIFR	LIF receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6597]	3997	-0.23782102763652802	0.02798155	No	
row_69	DNAJC15	DnaJ heat shock protein family (Hsp40) member C15 [Source:HGNC Symbol;Acc:HGNC:20325]	4033	-0.2445012480020523	0.035140313	No	
row_70	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	4096	-0.2550758719444275	0.036867253	No	
row_71	ITIH5	inter-alpha-trypsin inhibitor heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:21449]	4157	-0.26853489875793457	0.039872836	No	
row_72	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma [Source:HGNC Symbol;Acc:HGNC:12852]	4221	-0.2813962697982788	0.042993914	No	
row_73	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	4430	-0.3630291223526001	0.018472599	No	
