NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACAT2	acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]	55	0.5462169647216797	0.06871792	No	
row_1	FASN	fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]	166	0.4962140917778015	0.11774148	No	
row_2	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	233	0.4721825122833252	0.17302507	No	
row_3	ETHE1	ETHE1 persulfide dioxygenase [Source:HGNC Symbol;Acc:HGNC:23287]	818	0.3067459166049957	0.08812557	No	
row_4	GNAI1	G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]	912	0.27433329820632935	0.10804236	No	
row_5	PMVK	phosphomevalonate kinase [Source:HGNC Symbol;Acc:HGNC:9141]	1040	0.22028402984142303	0.1123533	No	
row_6	HSD17B7	hydroxysteroid 17-beta dehydrogenase 7 [Source:HGNC Symbol;Acc:HGNC:5215]	1188	0.17027650773525238	0.104783446	No	
row_7	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide [Source:HGNC Symbol;Acc:HGNC:252]	1242	0.15257218480110168	0.11557508	No	
row_8	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	1254	0.14902685582637787	0.13521807	No	
row_9	ANXA13	annexin A13 [Source:HGNC Symbol;Acc:HGNC:536]	1345	0.12377534061670303	0.1334787	No	
row_10	ALDOC	aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]	1405	0.11018428951501846	0.13664514	No	
row_11	MVK	mevalonate kinase [Source:HGNC Symbol;Acc:HGNC:7530]	1417	0.10662825405597687	0.15000093	No	
row_12	ANXA5	annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]	1439	0.10035116225481033	0.16019326	No	
row_13	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]	1532	0.07941886782646179	0.15142983	No	
row_14	GUSB	glucuronidase beta [Source:HGNC Symbol;Acc:HGNC:4696]	1560	0.07272723317146301	0.15618627	No	
row_15	CBS	cystathionine beta-synthase [Source:HGNC Symbol;Acc:HGNC:1550]	1604	0.06594947725534439	0.15636544	No	
row_16	LGMN	legumain [Source:HGNC Symbol;Acc:HGNC:9472]	2127	-0.01987667754292488	0.042769037	No	
row_17	CXCL16	C-X-C motif chemokine ligand 16 [Source:HGNC Symbol;Acc:HGNC:16642]	2227	-0.03250269219279289	0.025485648	No	
row_18	MVD	mevalonate diphosphate decarboxylase [Source:HGNC Symbol;Acc:HGNC:7529]	2368	-0.050177689641714096	0.0016694216	No	
row_19	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	2456	-0.05872907489538193	-0.009045738	No	
row_20	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	2525	-0.06652774661779404	-0.014362428	No	
row_21	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	2746	-0.08720424026250839	-0.05054919	No	
row_22	FABP5	fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]	2772	-0.09028206765651703	-0.042743042	No	
row_23	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	3124	-0.124374158680439	-0.10266555	No	
row_24	S100A11	S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]	3599	-0.17831023037433624	-0.18205146	Yes	
row_25	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	3671	-0.18848878145217896	-0.16995259	Yes	
row_26	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	3740	-0.19828008115291595	-0.15573199	Yes	
row_27	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:5006]	3780	-0.2044968456029892	-0.13411485	Yes	
row_28	ANTXR2	ANTXR cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:21732]	4011	-0.24011783301830292	-0.149859	Yes	
row_29	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	4041	-0.24590404331684113	-0.11986902	Yes	
row_30	ALCAM	activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]	4054	-0.2486330270767212	-0.08567888	Yes	
row_31	NSDHL	NAD(P) dependent steroid dehydrogenase-like [Source:HGNC Symbol;Acc:HGNC:13398]	4433	-0.36336416006088257	-0.116190165	Yes	
row_32	JAG1	jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]	4465	-0.38654375076293945	-0.06579153	Yes	
row_33	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	4511	-0.5129317045211792	2.2322807E-4	Yes	
