NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RALA	RAS like proto-oncogene A [Source:HGNC Symbol;Acc:HGNC:9839]	32	0.5631348490715027	0.038104974	Yes	
row_1	DUT	deoxyuridine triphosphatase [Source:HGNC Symbol;Acc:HGNC:3078]	78	0.5326675772666931	0.070846856	Yes	
row_2	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	82	0.531154453754425	0.112879895	Yes	
row_3	NUDT9	nudix hydrolase 9 [Source:HGNC Symbol;Acc:HGNC:8056]	89	0.5278183817863464	0.15397237	Yes	
row_4	GMPR2	guanosine monophosphate reductase 2 [Source:HGNC Symbol;Acc:HGNC:4377]	154	0.5008915662765503	0.17990126	Yes	
row_5	TSG101	tumor susceptibility 101 [Source:HGNC Symbol;Acc:HGNC:15971]	175	0.4932199716567993	0.21507438	Yes	
row_6	APRT	adenine phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:626]	189	0.48749011754989624	0.25135562	Yes	
row_7	RRM2B	ribonucleotide reductase regulatory TP53 inducible subunit M2B [Source:HGNC Symbol;Acc:HGNC:17296]	203	0.48383405804634094	0.2873429	Yes	
row_8	EIF1B	eukaryotic translation initiation factor 1B [Source:HGNC Symbol;Acc:HGNC:30792]	351	0.4441002905368805	0.29010418	Yes	
row_9	AK1	adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361]	375	0.43778321146965027	0.32014778	Yes	
row_10	GUK1	guanylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:4693]	482	0.4085765779018402	0.3292416	Yes	
row_11	NME4	NME/NM23 nucleoside diphosphate kinase 4 [Source:HGNC Symbol;Acc:HGNC:7852]	487	0.40795207023620605	0.36114493	Yes	
row_12	HPRT1	hypoxanthine phosphoribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5157]	545	0.39028477668762207	0.3797497	Yes	
row_13	NT5C	5', 3'-nucleotidase, cytosolic [Source:HGNC Symbol;Acc:HGNC:17144]	568	0.3845537602901459	0.4057377	Yes	
row_14	POLR2K	RNA polymerase II, I and III subunit K [Source:HGNC Symbol;Acc:HGNC:9198]	572	0.3837473690509796	0.43591908	Yes	
row_15	NT5C3A	5'-nucleotidase, cytosolic IIIA [Source:HGNC Symbol;Acc:HGNC:17820]	606	0.37279751896858215	0.4584966	Yes	
row_16	NME1	NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]	637	0.3637009263038635	0.48101512	Yes	
row_17	TARBP2	TARBP2 subunit of RISC loading complex [Source:HGNC Symbol;Acc:HGNC:11569]	646	0.3598491847515106	0.50815445	Yes	
