NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	6	0.6123282313346863	0.033117983	No	
row_1	SH3BGRL2	SH3 domain binding glutamate rich protein like 2 [Source:HGNC Symbol;Acc:HGNC:15567]	52	0.5463377833366394	0.053688902	No	
row_2	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	82	0.531154453754425	0.077028126	No	
row_3	MAPKAPK2	MAPK activated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:6887]	254	0.4682333767414093	0.06466882	No	
row_4	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	361	0.4422972500324249	0.06556841	No	
row_5	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	363	0.4414845108985901	0.09019941	No	
row_6	SELP	selectin P [Source:HGNC Symbol;Acc:HGNC:10721]	398	0.43117502331733704	0.10677712	No	
row_7	IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	578	0.3823074400424957	0.087768234	No	
row_8	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]	716	0.33729052543640137	0.07573557	No	
row_9	BCL2L1	BCL2 like 1 [Source:HGNC Symbol;Acc:HGNC:992]	766	0.319956511259079	0.08265446	No	
row_10	CST7	cystatin F [Source:HGNC Symbol;Acc:HGNC:2479]	829	0.30316388607025146	0.08568402	No	
row_11	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	969	0.2505587339401245	0.06831509	No	
row_12	PUS1	pseudouridine synthase 1 [Source:HGNC Symbol;Acc:HGNC:15508]	981	0.2457815706729889	0.079662696	No	
row_13	TWSG1	twisted gastrulation BMP signaling modulator 1 [Source:HGNC Symbol;Acc:HGNC:12429]	1016	0.2308729588985443	0.08496255	No	
row_14	FAH	fumarylacetoacetate hydrolase [Source:HGNC Symbol;Acc:HGNC:3579]	1032	0.22314289212226868	0.0941297	No	
row_15	GSTO1	glutathione S-transferase omega 1 [Source:HGNC Symbol;Acc:HGNC:13312]	1100	0.20175735652446747	0.09031739	No	
row_16	SELL	selectin L [Source:HGNC Symbol;Acc:HGNC:10720]	1175	0.1740410476922989	0.08335939	No	
row_17	IRF6	interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]	1219	0.15925873816013336	0.082589015	No	
row_18	SWAP70	switching B cell complex subunit SWAP70 [Source:HGNC Symbol;Acc:HGNC:17070]	1232	0.155230313539505	0.08861175	No	
row_19	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	1233	0.15436480939388275	0.097303145	No	
row_20	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	1338	0.12474336475133896	0.080776	No	
row_21	SYT11	synaptotagmin 11 [Source:HGNC Symbol;Acc:HGNC:19239]	1347	0.12330598384141922	0.08590706	No	
row_22	COCH	cochlin [Source:HGNC Symbol;Acc:HGNC:2180]	1355	0.12177270650863647	0.09117823	No	
row_23	MUC1	mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]	1369	0.11850258708000183	0.09490659	No	
row_24	IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	1384	0.11638064682483673	0.09828902	No	
row_25	BCL2	BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]	1478	0.09300442785024643	0.08246578	No	
row_26	PRNP	prion protein [Source:HGNC Symbol;Acc:HGNC:9449]	1495	0.08854583650827408	0.0838281	No	
row_27	ECM1	extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3153]	1517	0.08165522664785385	0.08367021	No	
row_28	FGL2	fibrinogen like 2 [Source:HGNC Symbol;Acc:HGNC:3696]	1557	0.07317548245191574	0.07895877	No	
row_29	UCK2	uridine-cytidine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12562]	1603	0.06597160547971725	0.07248303	No	
row_30	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	1622	0.06159180402755737	0.07187483	No	
row_31	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	1722	0.04343489930033684	0.051901918	No	
row_32	TRAF1	TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]	1746	0.039758458733558655	0.048932154	No	
row_33	IL1R2	interleukin 1 receptor type 2 [Source:HGNC Symbol;Acc:HGNC:5994]	1781	0.034749481827020645	0.04318942	No	
row_34	IGF2R	insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]	1784	0.03385866805911064	0.04464291	No	
row_35	SMPDL3A	sphingomyelin phosphodiesterase acid like 3A [Source:HGNC Symbol;Acc:HGNC:17389]	1941	0.008770601823925972	0.009810646	No	
row_36	CDCP1	CUB domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:24357]	1952	0.007336056791245937	0.007959204	No	
row_37	PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	1956	0.006652739830315113	0.0076544336	No	
row_38	CAPN3	calpain 3 [Source:HGNC Symbol;Acc:HGNC:1480]	1965	0.004968796391040087	0.006122604	No	
row_39	HOPX	HOP homeobox [Source:HGNC Symbol;Acc:HGNC:24961]	1983	0.0025869153905659914	0.0024186205	No	
row_40	CD81	CD81 molecule [Source:HGNC Symbol;Acc:HGNC:1701]	2106	-0.01779780723154545	-0.0242061	No	
row_41	SERPINC1	serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]	2302	-0.041312191635370255	-0.066037655	No	
row_42	TNFRSF18	TNF receptor superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11914]	2308	-0.04218504950404167	-0.064794704	No	
row_43	CSF2	colony stimulating factor 2 [Source:HGNC Symbol;Acc:HGNC:2434]	2346	-0.0476347990334034	-0.07049129	No	
row_44	TIAM1	TIAM Rac1 associated GEF 1 [Source:HGNC Symbol;Acc:HGNC:11805]	2452	-0.05829846113920212	-0.09098601	No	
row_45	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	2497	-0.06343119591474533	-0.097378336	No	
row_46	PTRH2	peptidyl-tRNA hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:24265]	2550	-0.0691288486123085	-0.10526145	No	
row_47	IL1RL1	interleukin 1 receptor like 1 [Source:HGNC Symbol;Acc:HGNC:5998]	2599	-0.07417864352464676	-0.11195444	No	
row_48	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	2656	-0.07955697178840637	-0.120156206	No	
row_49	AGER	advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320]	2690	-0.08248353749513626	-0.122984864	No	
row_50	IL2RB	interleukin 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6009]	2780	-0.09064186364412308	-0.13803533	No	
row_51	CTLA4	cytotoxic T-lymphocyte associated protein 4 [Source:HGNC Symbol;Acc:HGNC:2505]	2816	-0.09371096640825272	-0.14068472	No	
row_52	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	2875	-0.09890570491552353	-0.14824997	No	
row_53	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	2881	-0.09955571591854095	-0.1437768	No	
row_54	IGF1R	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	2894	-0.10152868181467056	-0.1407777	No	
row_55	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	3021	-0.11356838047504425	-0.16291593	No	
row_56	CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]	3036	-0.11493630707263947	-0.15961482	No	
row_57	BMPR2	bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]	3084	-0.12031339854001999	-0.16348378	No	
row_58	TNFRSF21	TNF receptor superfamily member 21 [Source:HGNC Symbol;Acc:HGNC:13469]	3139	-0.12571781873703003	-0.1686336	No	
