NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FOXO3	forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]	10	0.5983889102935791	0.038769662	Yes	
row_1	TAX1BP3	Tax1 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:30684]	101	0.5227967500686646	0.05433092	Yes	
row_2	HEXIM1	HEXIM P-TEFb complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24953]	139	0.5058914422988892	0.080675535	Yes	
row_3	DCXR	dicarbonyl and L-xylulose reductase [Source:HGNC Symbol;Acc:HGNC:18985]	230	0.4725364148616791	0.09279116	Yes	
row_4	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	264	0.46643775701522827	0.11733232	Yes	
row_5	MDM2	MDM2 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:6973]	281	0.46086493134498596	0.14532198	Yes	
row_6	MAPKAPK3	MAPK activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6888]	300	0.4569004476070404	0.1725892	Yes	
row_7	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	317	0.4522819519042969	0.19999044	Yes	
row_8	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	353	0.4439895451068878	0.22254199	Yes	
row_9	AK1	adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361]	375	0.43778321146965027	0.24782263	Yes	
row_10	LDHB	lactate dehydrogenase B [Source:HGNC Symbol;Acc:HGNC:6541]	388	0.4343000650405884	0.27489242	Yes	
row_11	ISCU	iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]	397	0.4320336878299713	0.30270815	Yes	
row_12	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	410	0.4270855486392975	0.32928336	Yes	
row_13	WWP1	WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:17004]	450	0.41823509335517883	0.34916797	Yes	
row_14	PDGFA	platelet derived growth factor subunit A [Source:HGNC Symbol;Acc:HGNC:8799]	477	0.409789502620697	0.37140286	Yes	
row_15	HRAS	HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]	501	0.40381917357444763	0.39390442	Yes	
row_16	DEF6	DEF6 guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:2760]	662	0.35453733801841736	0.38215768	No	
row_17	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	863	0.28909409046173096	0.35691136	No	
row_18	TPRKB	TP53RK binding protein [Source:HGNC Symbol;Acc:HGNC:24259]	973	0.24965131282806396	0.34946576	No	
row_19	SLC3A2	solute carrier family 3 member 2 [Source:HGNC Symbol;Acc:HGNC:11026]	1147	0.18299731612205505	0.32302973	No	
row_20	PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D [Source:HGNC Symbol;Acc:HGNC:9277]	1314	0.13219398260116577	0.29468814	No	
row_21	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	1353	0.122486412525177	0.29452285	No	
row_22	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	1429	0.10276113450527191	0.2846682	No	
row_23	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	1446	0.09954942762851715	0.28788763	No	
row_24	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	1465	0.09503436833620071	0.2903469	No	
row_25	S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	1542	0.0766630545258522	0.27847776	No	
row_26	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	1596	0.06679173558950424	0.27111438	No	
row_27	FAM162A	family with sequence similarity 162 member A [Source:HGNC Symbol;Acc:HGNC:17865]	1681	0.05036148056387901	0.2556395	No	
row_28	HINT1	histidine triad nucleotide binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4912]	1699	0.04698333516716957	0.25502992	No	
row_29	APAF1	apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:HGNC:576]	1807	0.02903789095580578	0.23291068	No	
row_30	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	1817	0.02741849608719349	0.23276243	No	
row_31	PMM1	phosphomannomutase 1 [Source:HGNC Symbol;Acc:HGNC:9114]	1844	0.023160161450505257	0.2284917	No	
row_32	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	1849	0.022224050015211105	0.22911397	No	
row_33	RB1	RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]	1908	0.013136674650013447	0.2169456	No	
row_34	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	2085	-0.014154348522424698	0.17825846	No	
row_35	CD81	CD81 molecule [Source:HGNC Symbol;Acc:HGNC:1701]	2106	-0.01779780723154545	0.17497207	No	
row_36	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	2165	-0.024498967453837395	0.16358267	No	
row_37	CLCA2	chloride channel accessory 2 [Source:HGNC Symbol;Acc:HGNC:2016]	2175	-0.02658901922404766	0.16337755	No	
row_38	EPHA2	EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]	2221	-0.03213106840848923	0.15544061	No	
row_39	S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	2223	-0.03225122019648552	0.15742628	No	
row_40	KLF4	KLF transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	2245	-0.03462884947657585	0.15506843	No	
row_41	VDR	vitamin D receptor [Source:HGNC Symbol;Acc:HGNC:12679]	2292	-0.04013831168413162	0.14745511	No	
row_42	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	2353	-0.04835965111851692	0.13725083	No	
row_43	CEBPA	CCAAT enhancer binding protein alpha [Source:HGNC Symbol;Acc:HGNC:1833]	2412	-0.055275142192840576	0.1279713	No	
row_44	ACVR1B	activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]	2421	-0.056120388209819794	0.13001606	No	
row_45	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	2545	-0.06878259778022766	0.1070163	No	
row_46	POLH	DNA polymerase eta [Source:HGNC Symbol;Acc:HGNC:9181]	2549	-0.06911366432905197	0.111078456	No	
row_47	GM2A	ganglioside GM2 activator [Source:HGNC Symbol;Acc:HGNC:4367]	2584	-0.07277336716651917	0.10840637	No	
row_48	INHBB	inhibin subunit beta B [Source:HGNC Symbol;Acc:HGNC:6067]	2658	-0.07980968058109283	0.097428925	No	
row_49	TRIAP1	TP53 regulated inhibitor of apoptosis 1 [Source:HGNC Symbol;Acc:HGNC:26937]	2725	-0.08542212843894958	0.08841353	No	
row_50	STOM	stomatin [Source:HGNC Symbol;Acc:HGNC:3383]	2732	-0.08610639721155167	0.09296464	No	
row_51	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	2745	-0.0871952623128891	0.09623845	No	
row_52	CDKN2B	cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]	2773	-0.09032723307609558	0.09634707	No	
row_53	TRAF4	TNF receptor associated factor 4 [Source:HGNC Symbol;Acc:HGNC:12034]	2822	-0.09400039166212082	0.091975644	No	
row_54	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	2831	-0.09464846551418304	0.09666172	No	
row_55	GPX2	glutathione peroxidase 2 [Source:HGNC Symbol;Acc:HGNC:4554]	2839	-0.09540101140737534	0.101624705	No	
row_56	KRT17	keratin 17 [Source:HGNC Symbol;Acc:HGNC:6427]	2852	-0.09666430205106735	0.10554767	No	
row_57	TPD52L1	TPD52 like 1 [Source:HGNC Symbol;Acc:HGNC:12006]	2860	-0.09738986939191818	0.110647	No	
row_58	TP63	tumor protein p63 [Source:HGNC Symbol;Acc:HGNC:15979]	2864	-0.09767621010541916	0.11666728	No	
row_59	JAG2	jagged canonical Notch ligand 2 [Source:HGNC Symbol;Acc:HGNC:6189]	2954	-0.10713420063257217	0.10395785	No	
row_60	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	3060	-0.11683705449104309	0.08830838	No	
row_61	ALOX15B	arachidonate 15-lipoxygenase type B [Source:HGNC Symbol;Acc:HGNC:434]	3361	-0.1501680314540863	0.031005226	No	
row_62	BAIAP2	BAR/IMD domain containing adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:947]	3465	-0.16208690404891968	0.018908542	No	
row_63	TCN2	transcobalamin 2 [Source:HGNC Symbol;Acc:HGNC:11653]	3600	-0.17839466035366058	9.4471866E-4	No	
row_64	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	3619	-0.18118581175804138	0.009310146	No	
row_65	VAMP8	vesicle associated membrane protein 8 [Source:HGNC Symbol;Acc:HGNC:12647]	3665	-0.18747498095035553	0.012022909	No	
row_66	SERPINB5	serpin family B member 5 [Source:HGNC Symbol;Acc:HGNC:8949]	3864	-0.2182404100894928	-0.017630175	No	
row_67	TNFSF9	TNF superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11939]	3899	-0.22289210557937622	-0.010010775	No	
row_68	KLK8	kallikrein related peptidase 8 [Source:HGNC Symbol;Acc:HGNC:6369]	3953	-0.2301214337348938	-0.0061769714	No	
row_69	CTSF	cathepsin F [Source:HGNC Symbol;Acc:HGNC:2531]	4029	-0.24337516725063324	-0.006391737	No	
row_70	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	4056	-0.24872174859046936	0.0048010433	No	
row_71	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	4152	-0.26749131083488464	0.00173304	No	
row_72	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	4176	-0.271854966878891	0.015187715	No	
row_73	PLXNB2	plexin B2 [Source:HGNC Symbol;Acc:HGNC:9104]	4494	-0.4305955171585083	-0.02672111	No	
row_74	NOTCH1	notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881]	4498	-0.4456488788127899	0.0031546499	No	
