NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	732	0.33180156350135803	-0.021675477	No	
row_1	PKLR	pyruvate kinase L/R [Source:HGNC Symbol;Acc:HGNC:9020]	1356	0.12103701382875443	-0.10877611	No	
row_2	PAK3	p21 (RAC1) activated kinase 3 [Source:HGNC Symbol;Acc:HGNC:8592]	1593	0.06704830378293991	-0.13275175	No	
row_3	GCK	glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]	1594	0.06701453030109406	-0.10423897	No	
row_4	PCSK2	proprotein convertase subtilisin/kexin type 2 [Source:HGNC Symbol;Acc:HGNC:8744]	1969	0.004637181758880615	-0.18546954	No	
row_5	SRP14	signal recognition particle 14 [Source:HGNC Symbol;Acc:HGNC:11299]	2069	-0.011488652788102627	-0.20260592	No	
row_6	GCG	glucagon [Source:HGNC Symbol;Acc:HGNC:4191]	2253	-0.03574083372950554	-0.2281111	No	
row_7	HNF1A	HNF1 homeobox A [Source:HGNC Symbol;Acc:HGNC:11621]	2264	-0.036928482353687286	-0.21462378	No	
row_8	SCGN	secretagogin, EF-hand calcium binding protein [Source:HGNC Symbol;Acc:HGNC:16941]	2283	-0.03883333504199982	-0.20210575	No	
row_9	VDR	vitamin D receptor [Source:HGNC Symbol;Acc:HGNC:12679]	2292	-0.04013831168413162	-0.1868078	No	
row_10	PCSK1	proprotein convertase subtilisin/kexin type 1 [Source:HGNC Symbol;Acc:HGNC:8743]	2626	-0.07652544975280762	-0.2283307	No	
row_11	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	3101	-0.12225157022476196	-0.28176665	No	
row_12	SST	somatostatin [Source:HGNC Symbol;Acc:HGNC:11329]	3494	-0.1644999086856842	-0.29898462	Yes	
row_13	ISL1	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	3712	-0.19441232085227966	-0.26454356	Yes	
row_14	PAX4	paired box 4 [Source:HGNC Symbol;Acc:HGNC:8618]	3959	-0.23133940994739532	-0.2208427	Yes	
row_15	INS	insulin [Source:HGNC Symbol;Acc:HGNC:6081]	3980	-0.2341824620962143	-0.12565412	Yes	
row_16	CHGA	chromogranin A [Source:HGNC Symbol;Acc:HGNC:1929]	4079	-0.25271695852279663	-0.039932247	Yes	
row_17	IAPP	islet amyloid polypeptide [Source:HGNC Symbol;Acc:HGNC:5329]	4345	-0.31973695755004883	0.037152335	Yes	
