NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACOT8	acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919]	102	0.5227160453796387	0.0274141	Yes	
row_1	FIS1	fission, mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:21689]	119	0.5131327509880066	0.073134	Yes	
row_2	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	160	0.4973967373371124	0.1119766	Yes	
row_3	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	233	0.4721825122833252	0.14124283	Yes	
row_4	CEL	carboxyl ester lipase [Source:HGNC Symbol;Acc:HGNC:1848]	244	0.47021937370300293	0.1841814	Yes	
row_5	MLYCD	malonyl-CoA decarboxylase [Source:HGNC Symbol;Acc:HGNC:7150]	344	0.44546863436698914	0.204845	Yes	
row_6	HRAS	HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]	501	0.40381917357444763	0.20876418	Yes	
row_7	CTBP1	C-terminal binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2494]	508	0.40102678537368774	0.24594964	Yes	
row_8	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	516	0.39902839064598083	0.28271955	Yes	
row_9	VPS4B	vacuolar protein sorting 4 homolog B [Source:HGNC Symbol;Acc:HGNC:10895]	518	0.3989480137825012	0.3208231	Yes	
row_10	GSTK1	glutathione S-transferase kappa 1 [Source:HGNC Symbol;Acc:HGNC:16906]	561	0.3868211507797241	0.34859553	Yes	
row_11	ECI2	enoyl-CoA delta isomerase 2 [Source:HGNC Symbol;Acc:HGNC:14601]	592	0.37766194343566895	0.37817082	Yes	
row_12	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]	600	0.3761924207210541	0.41274685	Yes	
row_13	DLG4	discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903]	664	0.35451337695121765	0.43272063	Yes	
row_14	PEX14	peroxisomal biogenesis factor 14 [Source:HGNC Symbol;Acc:HGNC:8856]	683	0.3505363464355469	0.46237266	Yes	
row_15	ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	760	0.32165196537971497	0.4762831	Yes	
row_16	IDE	insulin degrading enzyme [Source:HGNC Symbol;Acc:HGNC:5381]	775	0.3172365427017212	0.5036303	Yes	
row_17	ISOC1	isochorismatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24254]	816	0.3071090281009674	0.52419186	Yes	
row_18	BCL10	BCL10 immune signaling adaptor [Source:HGNC Symbol;Acc:HGNC:989]	1177	0.17333802580833435	0.46036163	No	
row_19	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	1254	0.14902685582637787	0.45768788	No	
row_20	SLC27A2	solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]	1349	0.12297584116458893	0.44848725	No	
row_21	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	1360	0.12039941549301147	0.45781845	No	
row_22	PRDX1	peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]	1491	0.089164137840271	0.43732122	No	
row_23	SULT2B1	sulfotransferase family 2B member 1 [Source:HGNC Symbol;Acc:HGNC:11459]	1588	0.06741993129253387	0.42233616	No	
