NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPN11	protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	3	0.6267107725143433	0.037703156	Yes	
row_1	HSP90B1	heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	7	0.6023359298706055	0.0739137	Yes	
row_2	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	40	0.5571030378341675	0.10083898	Yes	
row_3	CAB39	calcium binding protein 39 [Source:HGNC Symbol;Acc:HGNC:20292]	48	0.5495104789733887	0.13291603	Yes	
row_4	PTEN	phosphatase and tensin homolog [Source:HGNC Symbol;Acc:HGNC:9588]	56	0.5456748008728027	0.1647582	Yes	
row_5	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	92	0.5262282490730286	0.18911883	Yes	
row_6	DUSP3	dual specificity phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:3069]	98	0.5230814814567566	0.22002684	Yes	
row_7	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	103	0.522251546382904	0.25110868	Yes	
row_8	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	104	0.5221172571182251	0.28308097	Yes	
row_9	IRAK4	interleukin 1 receptor associated kinase 4 [Source:HGNC Symbol;Acc:HGNC:17967]	146	0.5039752125740051	0.3047309	Yes	
row_10	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta [Source:HGNC Symbol;Acc:HGNC:12849]	158	0.4981977045536041	0.3327671	Yes	
row_11	GRK2	G protein-coupled receptor kinase 2 [Source:HGNC Symbol;Acc:HGNC:289]	173	0.4943992495536804	0.3598967	Yes	
row_12	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	187	0.487817645072937	0.3868479	Yes	
row_13	RPS6KA3	ribosomal protein S6 kinase A3 [Source:HGNC Symbol;Acc:HGNC:10432]	232	0.4723559021949768	0.4058876	Yes	
row_14	SMAD2	SMAD family member 2 [Source:HGNC Symbol;Acc:HGNC:6768]	239	0.4714641869068146	0.4334101	Yes	
row_15	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	292	0.45867592096328735	0.44981474	Yes	
row_16	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	353	0.4439895451068878	0.4635227	Yes	
row_17	CFL1	cofilin 1 [Source:HGNC Symbol;Acc:HGNC:1874]	370	0.43949079513549805	0.4868406	Yes	
row_18	PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1 [Source:HGNC Symbol;Acc:HGNC:8988]	492	0.4070265293121338	0.4845803	Yes	
row_19	HRAS	HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]	501	0.40381917357444763	0.50751114	Yes	
row_20	PAK4	p21 (RAC1) activated kinase 4 [Source:HGNC Symbol;Acc:HGNC:16059]	533	0.39431455731391907	0.5246926	Yes	
row_21	RALB	RAS like proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:9840]	602	0.37435415387153625	0.53233904	Yes	
row_22	PLCB1	phospholipase C beta 1 [Source:HGNC Symbol;Acc:HGNC:15917]	733	0.33088046312332153	0.52339387	Yes	
row_23	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	738	0.3295745253562927	0.542677	Yes	
row_24	FGF6	fibroblast growth factor 6 [Source:HGNC Symbol;Acc:HGNC:3684]	785	0.31475213170051575	0.5516163	Yes	
row_25	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	916	0.2718844413757324	0.5390585	Yes	
row_26	MAP2K6	mitogen-activated protein kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6846]	930	0.26838231086730957	0.5525724	Yes	
row_27	VAV3	vav guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:12659]	933	0.2678225338459015	0.5685234	Yes	
row_28	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:HGNC Symbol;Acc:HGNC:16500]	1073	0.2089603692293167	0.5500903	No	
row_29	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	1077	0.20829656720161438	0.5621715	No	
row_30	ARPC3	actin related protein 2/3 complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:706]	1176	0.17376470565795898	0.55079466	No	
row_31	MAPK8	mitogen-activated protein kinase 8 [Source:HGNC Symbol;Acc:HGNC:6881]	1272	0.1439165621995926	0.538264	No	
row_32	RPS6KA1	ribosomal protein S6 kinase A1 [Source:HGNC Symbol;Acc:HGNC:10430]	1280	0.1419844776391983	0.54538584	No	
row_33	PLCG1	phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065]	1315	0.13195057213306427	0.5458272	No	
row_34	NCK1	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]	1322	0.12953849136829376	0.5524116	No	
