NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	USO1	USO1 vesicle transport factor [Source:HGNC Symbol;Acc:HGNC:30904]	58	0.54530930519104	0.037676584	Yes	
row_1	PPT1	palmitoyl-protein thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:9325]	93	0.5260194540023804	0.07893052	Yes	
row_2	NAPA	NSF attachment protein alpha [Source:HGNC Symbol;Acc:HGNC:7641]	97	0.5241342186927795	0.12694447	Yes	
row_3	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	104	0.5221172571182251	0.17409994	Yes	
row_4	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	132	0.5070984959602356	0.21516237	Yes	
row_5	TSG101	tumor susceptibility 101 [Source:HGNC Symbol;Acc:HGNC:15971]	175	0.4932199716567993	0.25157997	Yes	
row_6	RAB2A	RAB2A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9763]	226	0.4747365117073059	0.28449097	Yes	
row_7	RPS6KA3	ribosomal protein S6 kinase A3 [Source:HGNC Symbol;Acc:HGNC:10432]	232	0.4723559021949768	0.32724798	Yes	
row_8	RAB22A	RAB22A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9764]	360	0.4423113167285919	0.3399212	Yes	
row_9	RAB5A	RAB5A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9783]	386	0.43523329496383667	0.37475574	Yes	
row_10	SH3GL2	SH3 domain containing GRB2 like 2, endophilin A1 [Source:HGNC Symbol;Acc:HGNC:10831]	422	0.42486006021499634	0.4063896	Yes	
row_11	ARFIP1	ADP ribosylation factor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21496]	458	0.41641902923583984	0.4372394	Yes	
row_12	VPS4B	vacuolar protein sorting 4 homolog B [Source:HGNC Symbol;Acc:HGNC:10895]	518	0.3989480137825012	0.46109727	Yes	
row_13	NAPG	NSF attachment protein gamma [Source:HGNC Symbol;Acc:HGNC:7642]	552	0.3883720934391022	0.4897893	Yes	
row_14	STX12	syntaxin 12 [Source:HGNC Symbol;Acc:HGNC:11430]	558	0.38785049319267273	0.5246969	Yes	
row_15	STX7	syntaxin 7 [Source:HGNC Symbol;Acc:HGNC:11442]	663	0.3545284867286682	0.53436166	Yes	
row_16	CLTA	clathrin light chain A [Source:HGNC Symbol;Acc:HGNC:2090]	697	0.3444250226020813	0.5589716	Yes	
row_17	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	808	0.308897465467453	0.5630556	Yes	
row_18	GOSR2	golgi SNAP receptor complex member 2 [Source:HGNC Symbol;Acc:HGNC:4431]	985	0.24268092215061188	0.54622376	No	
row_19	COPE	COPI coat complex subunit epsilon [Source:HGNC Symbol;Acc:HGNC:2234]	1473	0.09363579005002975	0.44597274	No	
row_20	TMED2	transmembrane p24 trafficking protein 2 [Source:HGNC Symbol;Acc:HGNC:16996]	1703	0.046620629727840424	0.39907277	No	
row_21	IGF2R	insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]	1784	0.03385866805911064	0.38432068	No	
row_22	VAMP3	vesicle associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:12644]	1934	0.009636696428060532	0.35188246	No	
row_23	TMED10	transmembrane p24 trafficking protein 10 [Source:HGNC Symbol;Acc:HGNC:16998]	1960	0.005923831835389137	0.34683987	No	
row_24	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	2112	-0.018223360180854797	0.31475183	No	
row_25	VAMP7	vesicle associated membrane protein 7 [Source:HGNC Symbol;Acc:HGNC:11486]	2122	-0.01948828063905239	0.3145486	No	
row_26	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]	2167	-0.024643009528517723	0.3069942	No	
row_27	GNAS	GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]	2209	-0.0306658074259758	0.3006704	No	
row_28	TOM1L1	target of myb1 like 1 membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:11983]	2371	-0.05046432092785835	0.26933995	No	
row_29	RAB14	RAB14, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16524]	2372	-0.05046588554978371	0.27402756	No	
row_30	CLN5	CLN5 intracellular trafficking protein [Source:HGNC Symbol;Acc:HGNC:2076]	2618	-0.07595816254615784	0.22627322	No	
row_31	CD63	CD63 molecule [Source:HGNC Symbol;Acc:HGNC:1692]	2683	-0.0822538509964943	0.21959583	No	
row_32	OCRL	OCRL inositol polyphosphate-5-phosphatase [Source:HGNC Symbol;Acc:HGNC:8108]	2854	-0.09698913991451263	0.19057351	No	
row_33	PAM	peptidylglycine alpha-amidating monooxygenase [Source:HGNC Symbol;Acc:HGNC:8596]	2966	-0.10853252559900284	0.17582253	No	
row_34	VAMP4	vesicle associated membrane protein 4 [Source:HGNC Symbol;Acc:HGNC:12645]	3002	-0.11153072118759155	0.17835227	No	
row_35	BNIP3	BCL2 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:1084]	3205	-0.13166189193725586	0.14539175	No	
row_36	LMAN1	lectin, mannose binding 1 [Source:HGNC Symbol;Acc:HGNC:6631]	3380	-0.1532432585954666	0.12069984	No	
row_37	ADAM10	ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]	3654	-0.1855495423078537	0.07686109	No	
row_38	YIPF6	Yip1 domain family member 6 [Source:HGNC Symbol;Acc:HGNC:28304]	3759	-0.20134201645851135	0.072296865	No	
row_39	CTSC	cathepsin C [Source:HGNC Symbol;Acc:HGNC:2528]	3854	-0.21632660925388336	0.071361646	No	
row_40	ARF1	ADP ribosylation factor 1 [Source:HGNC Symbol;Acc:HGNC:652]	3909	-0.22472776472568512	0.08015532	No	
row_41	CAV2	caveolin 2 [Source:HGNC Symbol;Acc:HGNC:1528]	4137	-0.2655618190765381	0.054039482	No	
row_42	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	4341	-0.3189840018749237	0.03825498	No	
