NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SORD	sorbitol dehydrogenase [Source:HGNC Symbol;Acc:HGNC:11184]	28	0.46581342816352844	0.069328494	Yes	
row_1	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]	94	0.36439085006713867	0.11391851	Yes	
row_2	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	200	0.30066511034965515	0.13921635	Yes	
row_3	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9 [Source:HGNC Symbol;Acc:HGNC:6968]	252	0.2822286784648895	0.17360547	Yes	
row_4	UAP1	UDP-N-acetylglucosamine pyrophosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12457]	253	0.28141307830810547	0.21927421	Yes	
row_5	VAPA	VAMP associated protein A [Source:HGNC Symbol;Acc:HGNC:12648]	278	0.2742643654346466	0.25841248	Yes	
row_6	PMEPA1	prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]	491	0.2264784872531891	0.24772833	Yes	
row_7	ALDH1A3	aldehyde dehydrogenase 1 family member A3 [Source:HGNC Symbol;Acc:HGNC:409]	579	0.21281832456588745	0.2627978	Yes	
row_8	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	608	0.20852325856685638	0.29037234	Yes	
row_9	ADRM1	ADRM1 26S proteasome ubiquitin receptor [Source:HGNC Symbol;Acc:HGNC:15759]	791	0.18147900700569153	0.2790984	Yes	
row_10	DBI	diazepam binding inhibitor, acyl-CoA binding protein [Source:HGNC Symbol;Acc:HGNC:2690]	849	0.17561091482639313	0.29484263	Yes	
row_11	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	909	0.16847234964370728	0.30898088	Yes	
row_12	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	943	0.16520622372627258	0.32840693	Yes	
row_13	TNFAIP8	TNF alpha induced protein 8 [Source:HGNC Symbol;Acc:HGNC:17260]	951	0.1640721559524536	0.3534668	Yes	
row_14	HPGD	15-hydroxyprostaglandin dehydrogenase [Source:HGNC Symbol;Acc:HGNC:5154]	1079	0.1500171422958374	0.34939414	Yes	
row_15	RPS6KA3	ribosomal protein S6 kinase A3 [Source:HGNC Symbol;Acc:HGNC:10432]	1092	0.14833690226078033	0.37078163	Yes	
row_16	ACTN1	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]	1278	0.12653709948062897	0.34992024	No	
row_17	PTK2B	protein tyrosine kinase 2 beta [Source:HGNC Symbol;Acc:HGNC:9612]	1628	0.08606506884098053	0.28579363	No	
row_18	KLK3	kallikrein related peptidase 3 [Source:HGNC Symbol;Acc:HGNC:6364]	1743	0.07187262922525406	0.27194834	No	
row_19	RAB4A	RAB4A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9781]	1749	0.07116924971342087	0.28237912	No	
row_20	XRCC6	X-ray repair cross complementing 6 [Source:HGNC Symbol;Acc:HGNC:4055]	1828	0.062337543815374374	0.2750419	No	
row_21	HOMER2	homer scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:17513]	1977	0.0461479015648365	0.24941392	No	
row_22	UBE2I	ubiquitin conjugating enzyme E2 I [Source:HGNC Symbol;Acc:HGNC:12485]	1987	0.0445159375667572	0.25462425	No	
row_23	PA2G4	proliferation-associated 2G4 [Source:HGNC Symbol;Acc:HGNC:8550]	1991	0.043508876115083694	0.26101375	No	
row_24	SRP19	signal recognition particle 19 [Source:HGNC Symbol;Acc:HGNC:11300]	1999	0.04248784855008125	0.2663425	No	
row_25	HSD17B14	hydroxysteroid 17-beta dehydrogenase 14 [Source:HGNC Symbol;Acc:HGNC:23238]	2123	0.029888905584812164	0.24367002	No	
row_26	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	2415	-0.003347274847328663	0.179098	No	
row_27	ELL2	elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]	2514	-0.015768518671393394	0.15972812	No	
row_28	KRT19	keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]	2550	-0.021518291905522346	0.15538846	No	
row_29	GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]	2665	-0.03545282036066055	0.1356328	No	
row_30	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	2774	-0.04792184382677078	0.11924326	No	
row_31	AZGP1	alpha-2-glycoprotein 1, zinc-binding [Source:HGNC Symbol;Acc:HGNC:910]	2869	-0.05837186053395271	0.10768226	No	
row_32	SPDEF	SAM pointed domain containing ETS transcription factor [Source:HGNC Symbol;Acc:HGNC:17257]	2884	-0.06058896705508232	0.11438216	No	
row_33	MYL12A	myosin light chain 12A [Source:HGNC Symbol;Acc:HGNC:16701]	2915	-0.06426233798265457	0.118097976	No	
row_34	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1 [Source:HGNC Symbol;Acc:HGNC:217]	2975	-0.07021577656269073	0.116290785	No	
row_35	INSIG1	insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]	3066	-0.08135144412517548	0.10935406	No	
row_36	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	3219	-0.09825322031974792	0.09128686	No	
row_37	LIFR	LIF receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6597]	3398	-0.11830369383096695	0.07065567	No	
row_38	LMAN1	lectin, mannose binding 1 [Source:HGNC Symbol;Acc:HGNC:6631]	3496	-0.13050849735736847	0.07012998	No	
row_39	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:5006]	3585	-0.14054635167121887	0.07324714	No	
row_40	SMS	spermine synthase [Source:HGNC Symbol;Acc:HGNC:11123]	3600	-0.1436692178249359	0.0934296	No	
row_41	GPD1L	glycerol-3-phosphate dehydrogenase 1 like [Source:HGNC Symbol;Acc:HGNC:28956]	4121	-0.21740995347499847	0.012354545	No	
row_42	BMPR1B	bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]	4147	-0.22260639071464539	0.042885818	No	
row_43	UBE2J1	ubiquitin conjugating enzyme E2 J1 [Source:HGNC Symbol;Acc:HGNC:17598]	4201	-0.23763445019721985	0.06959052	No	
