NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	164	0.31551480293273926	0.04189177	No	
row_1	PDGFA	platelet derived growth factor subunit A [Source:HGNC Symbol;Acc:HGNC:8799]	567	0.2137816995382309	0.00543456	No	
row_2	LRPAP1	LDL receptor related protein associated protein 1 [Source:HGNC Symbol;Acc:HGNC:6701]	650	0.19948573410511017	0.036755826	No	
row_3	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	737	0.1887035369873047	0.06450453	No	
row_4	PF4	platelet factor 4 [Source:HGNC Symbol;Acc:HGNC:8861]	836	0.17674775421619415	0.08660554	No	
row_5	PGLYRP1	peptidoglycan recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:8904]	1271	0.12706317007541656	0.021453243	No	
row_6	CXCL6	C-X-C motif chemokine ligand 6 [Source:HGNC Symbol;Acc:HGNC:10643]	1357	0.1166294664144516	0.031504285	No	
row_7	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	1480	0.10339699685573578	0.030017309	No	
row_8	PRG2	proteoglycan 2, pro eosinophil major basic protein [Source:HGNC Symbol;Acc:HGNC:9362]	1795	0.06724829971790314	-0.023257542	No	
row_9	FSTL1	follistatin like 1 [Source:HGNC Symbol;Acc:HGNC:3972]	1954	0.048549994826316833	-0.046406705	No	
row_10	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	2001	0.04174984619021416	-0.0462801	No	
row_11	JAG2	jagged canonical Notch ligand 2 [Source:HGNC Symbol;Acc:HGNC:6189]	2204	0.02140861377120018	-0.08598602	No	
row_12	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	2263	0.013794487342238426	-0.095485255	No	
row_13	VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	2666	-0.035490427166223526	-0.176273	No	
row_14	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	3119	-0.08767634630203247	-0.25523096	No	
row_15	SERPINA5	serpin family A member 5 [Source:HGNC Symbol;Acc:HGNC:8723]	3295	-0.10717599093914032	-0.26759288	No	
row_16	STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	3483	-0.12833286821842194	-0.2773693	No	
row_17	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	3687	-0.15327931940555573	-0.28450963	Yes	
row_18	TNFRSF21	TNF receptor superfamily member 21 [Source:HGNC Symbol;Acc:HGNC:13469]	3778	-0.1624591201543808	-0.26417804	Yes	
row_19	PTK2	protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:9611]	3843	-0.1700861006975174	-0.23615426	Yes	
row_20	POSTN	periostin [Source:HGNC Symbol;Acc:HGNC:16953]	3926	-0.1796598583459854	-0.20976251	Yes	
row_21	APOH	apolipoprotein H [Source:HGNC Symbol;Acc:HGNC:616]	3984	-0.18894271552562714	-0.17548978	Yes	
row_22	S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	4061	-0.2022961676120758	-0.14213224	Yes	
row_23	COL3A1	collagen type III alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2201]	4066	-0.20411035418510437	-0.092273675	Yes	
row_24	JAG1	jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]	4105	-0.21400099992752075	-0.047535025	Yes	
row_25	FGFR1	fibroblast growth factor receptor 1 [Source:HGNC Symbol;Acc:HGNC:3688]	4109	-0.21492032706737518	0.0052342573	Yes	
row_26	LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	4416	-0.339356005191803	0.021399897	Yes	
