NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VWF	von Willebrand factor [Source:HGNC Symbol;Acc:HGNC:12726]	0	0.7243849635124207	0.045350436	No	
row_1	SHC1	SHC adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:10840]	197	0.30130642652511597	0.019779488	No	
row_2	MADCAM1	mucosal vascular addressin cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:6765]	203	0.30007365345954895	0.0374322	No	
row_3	HRAS	HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]	299	0.2700619101524353	0.032802477	No	
row_4	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	323	0.26418986916542053	0.044127963	No	
row_5	JAM3	junctional adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:15532]	353	0.25565585494041443	0.05355894	No	
row_6	VCL	vinculin [Source:HGNC Symbol;Acc:HGNC:12665]	418	0.2400243580341339	0.054076586	No	
row_7	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	456	0.2325962781906128	0.060250256	No	
row_8	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]	459	0.2319660633802414	0.07431918	No	
row_9	ZYX	zyxin [Source:HGNC Symbol;Acc:HGNC:13200]	539	0.21753065288066864	0.07002801	No	
row_10	AMIGO2	adhesion molecule with Ig like domain 2 [Source:HGNC Symbol;Acc:HGNC:24073]	552	0.2159021943807602	0.08082419	No	
row_11	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	608	0.20852325856685638	0.08141005	No	
row_12	ADAM9	ADAM metallopeptidase domain 9 [Source:HGNC Symbol;Acc:HGNC:216]	633	0.2033640295267105	0.0887008	No	
row_13	PTEN	phosphatase and tensin homolog [Source:HGNC Symbol;Acc:HGNC:9588]	656	0.19913853704929352	0.096180424	No	
