NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SRSF6	serine and arginine rich splicing factor 6 [Source:HGNC Symbol;Acc:HGNC:10788]	40	0.43408656120300293	0.042236697	Yes	
row_1	NUDT9	nudix hydrolase 9 [Source:HGNC Symbol;Acc:HGNC:8056]	71	0.38954904675483704	0.081461266	Yes	
row_2	TARBP2	TARBP2 subunit of RISC loading complex [Source:HGNC Symbol;Acc:HGNC:11569]	99	0.3597176969051361	0.117839515	Yes	
row_3	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	129	0.342636376619339	0.15175477	Yes	
row_4	RRM2B	ribonucleotide reductase regulatory TP53 inducible subunit M2B [Source:HGNC Symbol;Acc:HGNC:17296]	234	0.29132869839668274	0.16280957	Yes	
row_5	DUT	deoxyuridine triphosphatase [Source:HGNC Symbol;Acc:HGNC:3078]	390	0.2457219958305359	0.15705514	Yes	
row_6	NME1	NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]	444	0.23487907648086548	0.17288147	Yes	
row_7	HPRT1	hypoxanthine phosphoribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5157]	540	0.2174474000930786	0.17723888	Yes	
row_8	TSG101	tumor susceptibility 101 [Source:HGNC Symbol;Acc:HGNC:15971]	652	0.19942638278007507	0.17588484	Yes	
row_9	SDCBP	syndecan binding protein [Source:HGNC Symbol;Acc:HGNC:10662]	717	0.19064661860466003	0.18402861	Yes	
row_10	EIF1B	eukaryotic translation initiation factor 1B [Source:HGNC Symbol;Acc:HGNC:30792]	752	0.18672505021095276	0.19843327	Yes	
row_11	CETN2	centrin 2 [Source:HGNC Symbol;Acc:HGNC:1867]	774	0.18376532196998596	0.2154023	Yes	
row_12	ADRM1	ADRM1 26S proteasome ubiquitin receptor [Source:HGNC Symbol;Acc:HGNC:15759]	791	0.18147900700569153	0.23322223	Yes	
row_13	GMPR2	guanosine monophosphate reductase 2 [Source:HGNC Symbol;Acc:HGNC:4377]	868	0.17273205518722534	0.23656358	Yes	
row_14	MPG	N-methylpurine DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:7211]	871	0.17242781817913055	0.2564535	Yes	
row_15	RALA	RAS like proto-oncogene A [Source:HGNC Symbol;Acc:HGNC:9839]	888	0.17046129703521729	0.2729739	Yes	
row_16	FEN1	flap structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3650]	923	0.16700397431850433	0.28505242	Yes	
row_17	POLH	DNA polymerase eta [Source:HGNC Symbol;Acc:HGNC:9181]	932	0.16630005836486816	0.3028749	Yes	
row_18	APRT	adenine phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:626]	1062	0.1516520231962204	0.2918517	Yes	
row_19	ITPA	inosine triphosphatase [Source:HGNC Symbol;Acc:HGNC:6176]	1144	0.14233730733394623	0.29048735	Yes	
