NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	18	0.500213086605072	0.02841203	Yes	
row_1	ALDOB	aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]	45	0.4269920289516449	0.05025249	Yes	
row_2	HDLBP	high density lipoprotein binding protein [Source:HGNC Symbol;Acc:HGNC:4857]	53	0.41614702343940735	0.07569877	Yes	
row_3	PYGL	glycogen phosphorylase L [Source:HGNC Symbol;Acc:HGNC:9725]	59	0.40885427594184875	0.10112501	Yes	
row_4	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	61	0.4046665132045746	0.12718664	Yes	
row_5	ANG	angiogenin [Source:HGNC Symbol;Acc:HGNC:483]	73	0.3842589557170868	0.14965393	Yes	
row_6	AKR1A1	aldo-keto reductase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:380]	163	0.31635141372680664	0.1500146	Yes	
row_7	FUT8	fucosyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:4019]	276	0.2744130790233612	0.14243305	Yes	
row_8	LDHA	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]	294	0.27081412076950073	0.1561694	Yes	
row_9	PKP2	plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024]	309	0.26818960905075073	0.17041586	Yes	
row_10	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	332	0.26148903369903564	0.18241213	Yes	
row_11	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	399	0.24382492899894714	0.18327904	Yes	
row_12	ANGPTL4	angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039]	436	0.23582112789154053	0.19043179	Yes	
