NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	18	0.500213086605072	0.04196779	Yes	
row_1	HTRA2	HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:14348]	72	0.38545292615890503	0.0655002	Yes	
row_2	FTCD	formimidoyltransferase cyclodeaminase [Source:HGNC Symbol;Acc:HGNC:3974]	76	0.3820587694644928	0.09997401	Yes	
row_3	NFE2L1	NFE2 like bZIP transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7781]	120	0.34630611538887024	0.12215568	Yes	
row_4	GMPS	guanine monophosphate synthase [Source:HGNC Symbol;Acc:HGNC:4378]	127	0.3428161144256592	0.15234399	Yes	
row_5	FOXO3	forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]	134	0.340541809797287	0.18232305	Yes	
row_6	HDGF	heparin binding growth factor [Source:HGNC Symbol;Acc:HGNC:4856]	146	0.3300970494747162	0.21021585	Yes	
row_7	TNRC6B	trinucleotide repeat containing adaptor 6B [Source:HGNC Symbol;Acc:HGNC:29190]	217	0.2962690591812134	0.2217172	Yes	
row_8	MARK3	microtubule affinity regulating kinase 3 [Source:HGNC Symbol;Acc:HGNC:6897]	396	0.24412031471729279	0.204113	Yes	
row_9	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	460	0.2318369746208191	0.21126217	Yes	
row_10	UROS	uroporphyrinogen III synthase [Source:HGNC Symbol;Acc:HGNC:12592]	470	0.2305595576763153	0.23044775	Yes	
row_11	FOXJ2	forkhead box J2 [Source:HGNC Symbol;Acc:HGNC:24818]	500	0.22523890435695648	0.24464239	Yes	
row_12	ACP5	acid phosphatase 5, tartrate resistant [Source:HGNC Symbol;Acc:HGNC:124]	557	0.21478934586048126	0.2517987	Yes	
row_13	GCLM	glutamate-cysteine ligase modifier subunit [Source:HGNC Symbol;Acc:HGNC:4312]	582	0.2122204303741455	0.26592103	Yes	
row_14	TCEA1	transcription elongation factor A1 [Source:HGNC Symbol;Acc:HGNC:11612]	603	0.2091354876756668	0.28065982	Yes	
row_15	PSMD9	proteasome 26S subunit, non-ATPase 9 [Source:HGNC Symbol;Acc:HGNC:9567]	614	0.20667554438114166	0.29742303	Yes	
row_16	SDCBP	syndecan binding protein [Source:HGNC Symbol;Acc:HGNC:10662]	717	0.19064661860466003	0.29200485	Yes	
row_17	HEBP1	heme binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17176]	750	0.18693697452545166	0.30200055	Yes	
row_18	PGLS	6-phosphogluconolactonase [Source:HGNC Symbol;Acc:HGNC:8903]	766	0.18519404530525208	0.31566212	Yes	
row_19	ALDH6A1	aldehyde dehydrogenase 6 family member A1 [Source:HGNC Symbol;Acc:HGNC:7179]	845	0.17581161856651306	0.3142809	Yes	
row_20	MXI1	MAX interactor 1, dimerization protein [Source:HGNC Symbol;Acc:HGNC:7534]	963	0.16296525299549103	0.30293998	Yes	
row_21	UROD	uroporphyrinogen decarboxylase [Source:HGNC Symbol;Acc:HGNC:12591]	1022	0.15648745000362396	0.30428243	Yes	
row_22	BLVRA	biliverdin reductase A [Source:HGNC Symbol;Acc:HGNC:1062]	1040	0.1545720100402832	0.31467667	Yes	
row_23	CPOX	coproporphyrinogen oxidase [Source:HGNC Symbol;Acc:HGNC:2321]	1053	0.15296484529972076	0.3260484	Yes	
row_24	USP15	ubiquitin specific peptidase 15 [Source:HGNC Symbol;Acc:HGNC:12613]	1204	0.13527299463748932	0.3047324	No	
row_25	RAD23A	RAD23 homolog A, nucleotide excision repair protein [Source:HGNC Symbol;Acc:HGNC:9812]	1242	0.13082483410835266	0.30844045	No	
row_26	P4HA2	prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]	1284	0.12574928998947144	0.31078127	No	
row_27	DCUN1D1	defective in cullin neddylation 1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18184]	1331	0.1205320954322815	0.31151673	No	
row_28	SNCA	synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]	1373	0.11480845510959625	0.312851	No	
row_29	EPB41	erythrocyte membrane protein band 4.1 [Source:HGNC Symbol;Acc:HGNC:3377]	1427	0.10923271626234055	0.3109714	No	
row_30	CTSE	cathepsin E [Source:HGNC Symbol;Acc:HGNC:2530]	1550	0.09550614655017853	0.29229897	No	
row_31	BSG	basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]	1711	0.07581062614917755	0.26326177	No	
row_32	NEK7	NIMA related kinase 7 [Source:HGNC Symbol;Acc:HGNC:13386]	1727	0.07344760745763779	0.26664278	No	
row_33	LRP10	LDL receptor related protein 10 [Source:HGNC Symbol;Acc:HGNC:14553]	1805	0.06552702188491821	0.25534058	No	
row_34	CLIC2	chloride intracellular channel 2 [Source:HGNC Symbol;Acc:HGNC:2063]	1867	0.05700517073273659	0.24685553	No	
row_35	ARL2BP	ADP ribosylation factor like GTPase 2 binding protein [Source:HGNC Symbol;Acc:HGNC:17146]	1944	0.04941591992974281	0.23429619	No	
row_36	HAGH	hydroxyacylglutathione hydrolase [Source:HGNC Symbol;Acc:HGNC:4805]	2006	0.041437264531850815	0.2243789	No	
row_37	CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	2040	0.037743523716926575	0.22042386	No	
row_38	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	2044	0.036997973918914795	0.22315241	No	
row_39	TOP1	DNA topoisomerase I [Source:HGNC Symbol;Acc:HGNC:11986]	2378	8.543490548618138E-4	0.14828166	No	
row_40	HBZ	hemoglobin subunit zeta [Source:HGNC Symbol;Acc:HGNC:4835]	2510	-0.015028147958219051	0.12017965	No	
row_41	ELL2	elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]	2514	-0.015768518671393394	0.12095512	No	
row_42	HMBS	hydroxymethylbilane synthase [Source:HGNC Symbol;Acc:HGNC:4982]	2635	-0.031245525926351547	0.0968209	No	
row_43	HTATIP2	HIV-1 Tat interactive protein 2 [Source:HGNC Symbol;Acc:HGNC:16637]	2773	-0.047919437289237976	0.07039442	No	
row_44	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group) [Source:HGNC Symbol;Acc:HGNC:5347]	2808	-0.05151594057679176	0.06748135	No	
row_45	IGSF3	immunoglobulin superfamily member 3 [Source:HGNC Symbol;Acc:HGNC:5950]	2829	-0.05478723347187042	0.068020254	No	
row_46	KEL	Kell metallo-endopeptidase (Kell blood group) [Source:HGNC Symbol;Acc:HGNC:6308]	2841	-0.05604838579893112	0.07070085	No	
row_47	EPOR	erythropoietin receptor [Source:HGNC Symbol;Acc:HGNC:3416]	2933	-0.06601902097463608	0.056292873	No	
row_48	MINPP1	multiple inositol-polyphosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:7102]	3101	-0.08563650399446487	0.026584132	No	
row_49	GLRX5	glutaredoxin 5 [Source:HGNC Symbol;Acc:HGNC:20134]	3108	-0.08672112971544266	0.03321195	No	
row_50	ERMAP	erythroblast membrane associated protein (Scianna blood group) [Source:HGNC Symbol;Acc:HGNC:15743]	3133	-0.08889759331941605	0.035988685	No	
row_51	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	3148	-0.0903126671910286	0.041146338	No	
row_52	RAP1GAP	RAP1 GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:9858]	3183	-0.09488585591316223	0.042223256	No	
row_53	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	3266	-0.10346294939517975	0.033285744	No	
