NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLSTN3	calsyntenin 3 [Source:HGNC Symbol;Acc:HGNC:18371]	89	0.36730054020881653	0.013708756	No	
row_1	ITIH3	inter-alpha-trypsin inhibitor heavy chain 3 [Source:HGNC Symbol;Acc:HGNC:6168]	124	0.3449111878871918	0.0377499	No	
row_2	MX1	MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]	206	0.2997666597366333	0.047053877	No	
row_3	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	352	0.2557443082332611	0.03789413	No	
row_4	GP1BA	glycoprotein Ib platelet subunit alpha [Source:HGNC Symbol;Acc:HGNC:4439]	389	0.2460147589445114	0.05239523	No	
row_5	FGF16	fibroblast growth factor 16 [Source:HGNC Symbol;Acc:HGNC:3672]	395	0.2441910058259964	0.07371226	No	
row_6	YBX2	Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]	596	0.21064749360084534	0.04801752	No	
row_7	LGALS7	galectin 7 [Source:HGNC Symbol;Acc:HGNC:6568]	687	0.19436940550804138	0.04560703	No	
row_8	SERPINA10	serpin family A member 10 [Source:HGNC Symbol;Acc:HGNC:15996]	690	0.1941901445388794	0.06300435	No	
row_9	KRT1	keratin 1 [Source:HGNC Symbol;Acc:HGNC:6412]	850	0.17544525861740112	0.043310516	No	
row_10	C5	complement C5 [Source:HGNC Symbol;Acc:HGNC:1331]	899	0.16932342946529388	0.048059657	No	
row_11	OXT	oxytocin/neurophysin I prepropeptide [Source:HGNC Symbol;Acc:HGNC:8528]	974	0.16190305352210999	0.046269625	No	
row_12	PDK2	pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]	1033	0.15544211864471436	0.047490187	No	
row_13	CPB1	carboxypeptidase B1 [Source:HGNC Symbol;Acc:HGNC:2299]	1085	0.14935752749443054	0.049728453	No	
row_14	GDNF	glial cell derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:4232]	1124	0.14485451579093933	0.054481436	No	
row_15	HNF1A	HNF1 homeobox A [Source:HGNC Symbol;Acc:HGNC:11621]	1146	0.1421816349029541	0.062818445	No	
row_16	FSHB	follicle stimulating hormone subunit beta [Source:HGNC Symbol;Acc:HGNC:3964]	1201	0.13561438024044037	0.063117765	No	
row_17	EDN2	endothelin 2 [Source:HGNC Symbol;Acc:HGNC:3177]	1246	0.13036660850048065	0.065187514	No	
row_18	IFNG	interferon gamma [Source:HGNC Symbol;Acc:HGNC:5438]	1313	0.12314089387655258	0.06163709	No	
row_19	CLPS	colipase [Source:HGNC Symbol;Acc:HGNC:2085]	1350	0.11764702945947647	0.06434	No	
row_20	CD40LG	CD40 ligand [Source:HGNC Symbol;Acc:HGNC:11935]	1385	0.11385757476091385	0.06714519	No	
row_21	SLC6A14	solute carrier family 6 member 14 [Source:HGNC Symbol;Acc:HGNC:11047]	1411	0.11090394854545593	0.071706384	No	
row_22	TGM1	transglutaminase 1 [Source:HGNC Symbol;Acc:HGNC:11777]	1522	0.09886673092842102	0.056012798	No	
row_23	IL5	interleukin 5 [Source:HGNC Symbol;Acc:HGNC:6016]	1699	0.0773220881819725	0.023470845	No	
row_24	ARPP21	cAMP regulated phosphoprotein 21 [Source:HGNC Symbol;Acc:HGNC:16968]	1777	0.0689794197678566	0.012464443	No	
row_25	SKIL	SKI like proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10897]	1789	0.06784676015377045	0.016222153	No	
row_26	PNMT	phenylethanolamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:9160]	1808	0.06513262540102005	0.018153476	No	
row_27	AKR1B10	aldo-keto reductase family 1 member B10 [Source:HGNC Symbol;Acc:HGNC:382]	1834	0.061853908002376556	0.018206524	No	
row_28	IDUA	alpha-L-iduronidase [Source:HGNC Symbol;Acc:HGNC:5391]	1857	0.05804275721311569	0.01858512	No	
row_29	FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	1973	0.04643239080905914	-0.00305405	No	
row_30	TG	thyroglobulin [Source:HGNC Symbol;Acc:HGNC:11764]	2098	0.0316481851041317	-0.028079508	No	
row_31	TENM2	teneurin transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:29943]	2230	0.017961831763386726	-0.0559398	No	
row_32	INSL5	insulin like 5 [Source:HGNC Symbol;Acc:HGNC:6088]	2254	0.015123454853892326	-0.059731163	No	
row_33	IGFBP2	insulin like growth factor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:5471]	2467	-0.009541691280901432	-0.1066127	No	
row_34	P2RX6	purinergic receptor P2X 6 [Source:HGNC Symbol;Acc:HGNC:8538]	2483	-0.011431473307311535	-0.108941175	No	
row_35	IL12B	interleukin 12B [Source:HGNC Symbol;Acc:HGNC:5970]	2503	-0.01425603311508894	-0.111911155	No	
row_36	CD80	CD80 molecule [Source:HGNC Symbol;Acc:HGNC:1700]	2558	-0.022572088986635208	-0.12200148	No	
row_37	CHST2	carbohydrate sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:1970]	2620	-0.029277587309479713	-0.13305242	No	
row_38	PRKN	parkin RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:8607]	2791	-0.049824945628643036	-0.16676997	No	
row_39	COL2A1	collagen type II alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2200]	2803	-0.05117645859718323	-0.16454442	No	
row_40	BRDT	bromodomain testis associated [Source:HGNC Symbol;Acc:HGNC:1105]	2822	-0.05414513871073723	-0.16362295	No	
row_41	CALCB	calcitonin related polypeptide beta [Source:HGNC Symbol;Acc:HGNC:1438]	2909	-0.06346899271011353	-0.17716329	No	
row_42	EFHD1	EF-hand domain family member D1 [Source:HGNC Symbol;Acc:HGNC:29556]	3131	-0.08869665116071701	-0.21879724	Yes	
row_43	PDCD1	programmed cell death 1 [Source:HGNC Symbol;Acc:HGNC:8760]	3137	-0.08924543857574463	-0.21172114	Yes	
row_44	SPHK2	sphingosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:18859]	3194	-0.09616221487522125	-0.21549839	Yes	
row_45	SLC5A5	solute carrier family 5 member 5 [Source:HGNC Symbol;Acc:HGNC:11040]	3203	-0.09694840759038925	-0.20839015	Yes	
row_46	GRID2	glutamate ionotropic receptor delta type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4576]	3214	-0.09789878875017166	-0.20164509	Yes	
row_47	TFF2	trefoil factor 2 [Source:HGNC Symbol;Acc:HGNC:11756]	3250	-0.10183385014533997	-0.20017028	Yes	
row_48	EDN1	endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]	3307	-0.10832400619983673	-0.20282976	Yes	
row_49	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	3383	-0.11662118136882782	-0.20900689	Yes	
row_50	LYPD3	LY6/PLAUR domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24880]	3432	-0.12213088572025299	-0.20859517	Yes	
row_51	KLK7	kallikrein related peptidase 7 [Source:HGNC Symbol;Acc:HGNC:6368]	3455	-0.12438271194696426	-0.20211932	Yes	
row_52	PCDHB1	protocadherin beta 1 [Source:HGNC Symbol;Acc:HGNC:8680]	3583	-0.14033076167106628	-0.21783167	Yes	
row_53	SNN	stannin [Source:HGNC Symbol;Acc:HGNC:11149]	3605	-0.14410491287708282	-0.2093179	Yes	
row_54	DLK2	delta like non-canonical Notch ligand 2 [Source:HGNC Symbol;Acc:HGNC:21113]	3616	-0.145529642701149	-0.19819513	Yes	
row_55	TCL1A	TCL1 family AKT coactivator A [Source:HGNC Symbol;Acc:HGNC:11648]	3716	-0.15570318698883057	-0.20618689	Yes	
row_56	CPA2	carboxypeptidase A2 [Source:HGNC Symbol;Acc:HGNC:2297]	3731	-0.15768833458423615	-0.19484773	Yes	
row_57	EDAR	ectodysplasin A receptor [Source:HGNC Symbol;Acc:HGNC:2895]	3797	-0.16468992829322815	-0.19435415	Yes	
row_58	TNNI3	troponin I3, cardiac type [Source:HGNC Symbol;Acc:HGNC:11947]	3818	-0.16724643111228943	-0.18348818	Yes	
row_59	FGF22	fibroblast growth factor 22 [Source:HGNC Symbol;Acc:HGNC:3679]	3835	-0.16895951330661774	-0.17156364	Yes	
row_60	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	3916	-0.1787429302930832	-0.17315759	Yes	
row_61	BARD1	BRCA1 associated RING domain 1 [Source:HGNC Symbol;Acc:HGNC:952]	3919	-0.17911303043365479	-0.157146	Yes	
row_62	CAMK1D	calcium/calmodulin dependent protein kinase ID [Source:HGNC Symbol;Acc:HGNC:19341]	3927	-0.17982903122901917	-0.14219499	Yes	
row_63	KCNN1	potassium calcium-activated channel subfamily N member 1 [Source:HGNC Symbol;Acc:HGNC:6290]	3975	-0.18702368438243866	-0.13559374	Yes	
row_64	NTF3	neurotrophin 3 [Source:HGNC Symbol;Acc:HGNC:8023]	4067	-0.20485684275627136	-0.13726562	Yes	
row_65	SLC30A3	solute carrier family 30 member 3 [Source:HGNC Symbol;Acc:HGNC:11014]	4127	-0.2179146707057953	-0.13052852	Yes	
row_66	BMPR1B	bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]	4147	-0.22260639071464539	-0.11434919	Yes	
row_67	CD207	CD207 molecule [Source:HGNC Symbol;Acc:HGNC:17935]	4227	-0.24394789338111877	-0.10972492	Yes	
row_68	PAX4	paired box 4 [Source:HGNC Symbol;Acc:HGNC:8618]	4249	-0.2509826123714447	-0.09138809	Yes	
row_69	KLK8	kallikrein related peptidase 8 [Source:HGNC Symbol;Acc:HGNC:6369]	4267	-0.2598344087600708	-0.0713366	Yes	
row_70	KRT5	keratin 5 [Source:HGNC Symbol;Acc:HGNC:6442]	4291	-0.2679752707481384	-0.051888537	Yes	
row_71	PTPRJ	protein tyrosine phosphatase receptor type J [Source:HGNC Symbol;Acc:HGNC:9673]	4428	-0.34661853313446045	-0.050668616	Yes	
row_72	EPHA5	EPH receptor A5 [Source:HGNC Symbol;Acc:HGNC:3389]	4431	-0.35006704926490784	-0.018944768	Yes	
row_73	CNTFR	ciliary neurotrophic factor receptor [Source:HGNC Symbol;Acc:HGNC:2170]	4463	-0.40221062302589417	0.011038553	Yes	
