NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSAT1	phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]	10	0.5276411175727844	0.030397594	Yes	
row_1	SORD	sorbitol dehydrogenase [Source:HGNC Symbol;Acc:HGNC:11184]	28	0.46581342816352844	0.05538362	Yes	
row_2	DHFR	dihydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:2861]	34	0.4478747546672821	0.0819754	Yes	
row_3	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]	94	0.36439085006713867	0.091176786	Yes	
row_4	QDPR	quinoid dihydropteridine reductase [Source:HGNC Symbol;Acc:HGNC:9752]	95	0.36370715498924255	0.11369032	Yes	
row_5	WARS1	tryptophanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12729]	113	0.3503979742527008	0.1315321	Yes	
row_6	GMPS	guanine monophosphate synthase [Source:HGNC Symbol;Acc:HGNC:4378]	127	0.3428161144256592	0.14980997	Yes	
row_7	TXNRD1	thioredoxin reductase 1 [Source:HGNC Symbol;Acc:HGNC:12437]	170	0.3127277195453644	0.1596613	Yes	
row_8	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	200	0.30066511034965515	0.17170845	Yes	
row_9	RPN1	ribophorin I [Source:HGNC Symbol;Acc:HGNC:10381]	207	0.299309641122818	0.18887769	Yes	
row_10	HSP90B1	heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	210	0.29899507761001587	0.20693283	Yes	
row_11	SERPINH1	serpin family H member 1 [Source:HGNC Symbol;Acc:HGNC:1546]	244	0.2862016558647156	0.21717931	Yes	
row_12	LDHA	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]	294	0.27081412076950073	0.22285175	Yes	
row_13	PPA1	inorganic pyrophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:9226]	297	0.2706223428249359	0.23915063	Yes	
row_14	USO1	USO1 vesicle transport factor [Source:HGNC Symbol;Acc:HGNC:30904]	298	0.2704474627971649	0.25589135	Yes	
row_15	LGMN	legumain [Source:HGNC Symbol;Acc:HGNC:9472]	316	0.2659856975078583	0.26850802	Yes	
row_16	PGM1	phosphoglucomutase 1 [Source:HGNC Symbol;Acc:HGNC:8905]	338	0.2601277232170105	0.27985668	Yes	
row_17	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	345	0.2579457759857178	0.29446548	Yes	
row_18	CACYBP	calcyclin binding protein [Source:HGNC Symbol;Acc:HGNC:30423]	354	0.25522977113723755	0.30845347	Yes	
row_19	STIP1	stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387]	391	0.2453778088092804	0.3154939	Yes	
row_20	HSPE1	heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269]	398	0.24392351508140564	0.32923472	Yes	
row_21	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	399	0.24382492899894714	0.34432754	Yes	
row_22	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	460	0.2318369746208191	0.34509745	Yes	
