NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCSK2	proprotein convertase subtilisin/kexin type 2 [Source:HGNC Symbol;Acc:HGNC:8744]	21	0.49781638383865356	0.20264773	Yes	
row_1	PKLR	pyruvate kinase L/R [Source:HGNC Symbol;Acc:HGNC:9020]	538	0.21787506341934204	0.17858931	No	
row_2	GCK	glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]	827	0.17768022418022156	0.18851447	No	
row_3	HNF1A	HNF1 homeobox A [Source:HGNC Symbol;Acc:HGNC:11621]	1146	0.1421816349029541	0.17698187	No	
row_4	SRP14	signal recognition particle 14 [Source:HGNC Symbol;Acc:HGNC:11299]	1597	0.0898335725069046	0.11428253	No	
row_5	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	1998	0.042654503136873245	0.04305858	No	
row_6	VDR	vitamin D receptor [Source:HGNC Symbol;Acc:HGNC:12679]	2223	0.019009247422218323	0.001141986	No	
row_7	ISL1	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	2250	0.015544849447906017	0.0018315575	No	
row_8	PCSK1	proprotein convertase subtilisin/kexin type 1 [Source:HGNC Symbol;Acc:HGNC:8743]	2274	0.012655754573643208	0.0019853504	No	
row_9	IAPP	islet amyloid polypeptide [Source:HGNC Symbol;Acc:HGNC:5329]	2585	-0.02496589533984661	-0.05658292	No	
row_10	GCG	glucagon [Source:HGNC Symbol;Acc:HGNC:4191]	2638	-0.031588368117809296	-0.054996103	No	
row_11	INS	insulin [Source:HGNC Symbol;Acc:HGNC:6081]	2648	-0.03361356630921364	-0.042999692	No	
row_12	SST	somatostatin [Source:HGNC Symbol;Acc:HGNC:11329]	3200	-0.09685315191745758	-0.12524506	No	
row_13	SCGN	secretagogin, EF-hand calcium binding protein [Source:HGNC Symbol;Acc:HGNC:16941]	3490	-0.12887395918369293	-0.13586815	No	
row_14	PAK3	p21 (RAC1) activated kinase 3 [Source:HGNC Symbol;Acc:HGNC:8592]	3894	-0.17652885615825653	-0.15200646	No	
row_15	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	3896	-0.17689165472984314	-0.078561	No	
row_16	PAX4	paired box 4 [Source:HGNC Symbol;Acc:HGNC:8618]	4249	-0.2509826123714447	-0.052346535	No	
row_17	CHGA	chromogranin A [Source:HGNC Symbol;Acc:HGNC:1929]	4283	-0.26565346121788025	0.05094547	No	
