NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	USO1	USO1 vesicle transport factor [Source:HGNC Symbol;Acc:HGNC:30904]	298	0.2704474627971649	-0.024232304	Yes	
row_1	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	333	0.2610538899898529	0.009121905	Yes	
row_2	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	345	0.2579457759857178	0.047133848	Yes	
row_3	SH3GL2	SH3 domain containing GRB2 like 2, endophilin A1 [Source:HGNC Symbol;Acc:HGNC:10831]	379	0.24771040678024292	0.07861812	Yes	
row_4	STX12	syntaxin 12 [Source:HGNC Symbol;Acc:HGNC:11430]	461	0.2317923605442047	0.096866526	Yes	
row_5	PPT1	palmitoyl-protein thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:9325]	487	0.22751836478710175	0.12697229	Yes	
row_6	STX7	syntaxin 7 [Source:HGNC Symbol;Acc:HGNC:11442]	524	0.22020111978054047	0.1534691	Yes	
row_7	ARFIP1	ADP ribosylation factor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21496]	577	0.21289664506912231	0.17524038	Yes	
row_8	NAPA	NSF attachment protein alpha [Source:HGNC Symbol;Acc:HGNC:7641]	620	0.20579726994037628	0.19813488	Yes	
row_9	TSG101	tumor susceptibility 101 [Source:HGNC Symbol;Acc:HGNC:15971]	652	0.19942638278007507	0.22249061	Yes	
row_10	RAB5A	RAB5A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9783]	741	0.1880357414484024	0.23230742	Yes	
row_11	CLTA	clathrin light chain A [Source:HGNC Symbol;Acc:HGNC:2090]	749	0.187210351228714	0.26011553	Yes	
row_12	VAMP3	vesicle associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:12644]	763	0.18583813309669495	0.28636605	Yes	
row_13	RAB2A	RAB2A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9763]	901	0.16926686465740204	0.28227597	Yes	
row_14	IGF2R	insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]	1052	0.15306173264980316	0.27273497	Yes	
row_15	CLN5	CLN5 intracellular trafficking protein [Source:HGNC Symbol;Acc:HGNC:2076]	1059	0.15183906257152557	0.2952169	Yes	
row_16	NAPG	NSF attachment protein gamma [Source:HGNC Symbol;Acc:HGNC:7642]	1065	0.15151163935661316	0.31787115	Yes	
row_17	RPS6KA3	ribosomal protein S6 kinase A3 [Source:HGNC Symbol;Acc:HGNC:10432]	1092	0.14833690226078033	0.3353293	Yes	
row_18	RAB22A	RAB22A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9764]	1368	0.11575664579868317	0.29197073	No	
row_19	VPS4B	vacuolar protein sorting 4 homolog B [Source:HGNC Symbol;Acc:HGNC:10895]	1455	0.10604885965585709	0.2893709	No	
row_20	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	1513	0.10009348392486572	0.2923243	No	
row_21	GNAS	GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]	1517	0.09959886968135834	0.30728066	No	
row_22	TMED10	transmembrane p24 trafficking protein 10 [Source:HGNC Symbol;Acc:HGNC:16998]	1572	0.09330932796001434	0.30984074	No	
row_23	ADAM10	ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]	1606	0.08823613077402115	0.31630284	No	
row_24	BNIP3	BCL2 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:1084]	2082	0.0337386354804039	0.21533258	No	
row_25	CD63	CD63 molecule [Source:HGNC Symbol;Acc:HGNC:1692]	2128	0.029646776616573334	0.20991717	No	
row_26	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	2146	0.0277616735547781	0.21046996	No	
row_27	YIPF6	Yip1 domain family member 6 [Source:HGNC Symbol;Acc:HGNC:28304]	2239	0.016649987548589706	0.19250077	No	
row_28	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]	2317	0.007472652476280928	0.1764473	No	
row_29	OCRL	OCRL inositol polyphosphate-5-phosphatase [Source:HGNC Symbol;Acc:HGNC:8108]	2457	-0.007928073406219482	0.14659506	No	
row_30	ARF1	ADP ribosylation factor 1 [Source:HGNC Symbol;Acc:HGNC:652]	2741	-0.0441102460026741	0.09020518	No	
row_31	TOM1L1	target of myb1 like 1 membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:11983]	3180	-0.09459377825260162	0.0070607667	No	
row_32	TMED2	transmembrane p24 trafficking protein 2 [Source:HGNC Symbol;Acc:HGNC:16996]	3217	-0.09822539985179901	0.01441906	No	
row_33	COPE	COPI coat complex subunit epsilon [Source:HGNC Symbol;Acc:HGNC:2234]	3224	-0.09912218898534775	0.028629474	No	
row_34	VAMP4	vesicle associated membrane protein 4 [Source:HGNC Symbol;Acc:HGNC:12645]	3351	-0.11324461549520493	0.01821012	No	
row_35	RAB14	RAB14, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16524]	3375	-0.11549076437950134	0.031185701	No	
row_36	CAV2	caveolin 2 [Source:HGNC Symbol;Acc:HGNC:1528]	3408	-0.11958835273981094	0.04279079	No	
row_37	LMAN1	lectin, mannose binding 1 [Source:HGNC Symbol;Acc:HGNC:6631]	3496	-0.13050849735736847	0.04380504	No	
row_38	GOSR2	golgi SNAP receptor complex member 2 [Source:HGNC Symbol;Acc:HGNC:4431]	3523	-0.1329023838043213	0.05884144	No	
row_39	VAMP7	vesicle associated membrane protein 7 [Source:HGNC Symbol;Acc:HGNC:11486]	4031	-0.19796377420425415	-0.023520019	No	
row_40	CTSC	cathepsin C [Source:HGNC Symbol;Acc:HGNC:2528]	4223	-0.24334610998630524	-0.02806728	No	
row_41	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	4242	-0.2485349476337433	0.0069020726	No	
row_42	PAM	peptidylglycine alpha-amidating monooxygenase [Source:HGNC Symbol;Acc:HGNC:8596]	4418	-0.3395499885082245	0.021029033	No	
