NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSAT1	phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]	10	0.5276411175727844	0.07963177	Yes	
row_1	DNAJA4	DnaJ heat shock protein family (Hsp40) member A4 [Source:HGNC Symbol;Acc:HGNC:14885]	48	0.42381981015205383	0.13711724	Yes	
row_2	SHC1	SHC adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:10840]	197	0.30130642652511597	0.15077262	Yes	
row_3	HSP90B1	heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	210	0.29899507761001587	0.19448082	Yes	
row_4	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9 [Source:HGNC Symbol;Acc:HGNC:6968]	252	0.2822286784648895	0.22910279	Yes	
row_5	ARFGAP1	ADP ribosylation factor GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:15852]	319	0.2649839222431183	0.25545874	Yes	
row_6	LSM1	LSM1 homolog, mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:20472]	440	0.23527157306671143	0.26512945	Yes	
row_7	HSPA9	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]	465	0.23151898384094238	0.29568484	Yes	
row_8	PDIA6	protein disulfide isomerase family A member 6 [Source:HGNC Symbol;Acc:HGNC:30168]	543	0.21707746386528015	0.31214795	Yes	
row_9	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	737	0.1887035369873047	0.29826945	Yes	
row_10	EIF4A1	eukaryotic translation initiation factor 4A1 [Source:HGNC Symbol;Acc:HGNC:3282]	829	0.17757675051689148	0.30547312	Yes	
row_11	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]	869	0.1726788729429245	0.32354477	Yes	
row_12	FKBP14	FKBP prolyl isomerase 14 [Source:HGNC Symbol;Acc:HGNC:18625]	910	0.1684059053659439	0.3407298	Yes	
row_13	ERN1	endoplasmic reticulum to nucleus signaling 1 [Source:HGNC Symbol;Acc:HGNC:3449]	915	0.16782325506210327	0.3658745	Yes	
row_14	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	1045	0.15413324534893036	0.3609434	Yes	
row_15	EIF4A2	eukaryotic translation initiation factor 4A2 [Source:HGNC Symbol;Acc:HGNC:3284]	1139	0.14278601109981537	0.36230177	Yes	
row_16	EDC4	enhancer of mRNA decapping 4 [Source:HGNC Symbol;Acc:HGNC:17157]	1251	0.1301182061433792	0.3576696	Yes	
row_17	CALR	calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]	1305	0.12394965440034866	0.3650499	Yes	
row_18	SLC30A5	solute carrier family 30 member 5 [Source:HGNC Symbol;Acc:HGNC:19089]	1316	0.1229521706700325	0.3818908	Yes	
row_19	SSR1	signal sequence receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:11323]	1377	0.11444075405597687	0.38623044	Yes	
row_20	ATF6	activating transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:791]	1893	0.05447101220488548	0.27952105	No	
row_21	EXOSC1	exosome component 1 [Source:HGNC Symbol;Acc:HGNC:17286]	1896	0.054331932216882706	0.28750387	No	
row_22	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	1952	0.04866521432995796	0.28275594	No	
row_23	EIF4E	eukaryotic translation initiation factor 4E [Source:HGNC Symbol;Acc:HGNC:3287]	2141	0.028725797310471535	0.24517363	No	
row_24	NPM1	nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910]	2382	3.7987608811818063E-4	0.19156532	No	
row_25	IGFBP1	insulin like growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5469]	2513	-0.01549840159714222	0.16490026	No	
row_26	PDIA5	protein disulfide isomerase family A member 5 [Source:HGNC Symbol;Acc:HGNC:24811]	2517	-0.01603822223842144	0.16671787	No	
row_27	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3288]	2552	-0.021920986473560333	0.16251624	No	
