NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBP1	fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]	13	0.5207154154777527	0.024892898	Yes	
row_1	PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	18	0.500213086605072	0.0507313	Yes	
row_2	ASL	argininosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:746]	22	0.4940315783023834	0.076466046	Yes	
row_3	FAH	fumarylacetoacetate hydrolase [Source:HGNC Symbol;Acc:HGNC:3579]	37	0.436583012342453	0.09663362	Yes	
row_4	ALDH2	aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404]	38	0.4359813928604126	0.11994507	Yes	
row_5	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]	43	0.43224334716796875	0.14214921	Yes	
row_6	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide [Source:HGNC Symbol;Acc:HGNC:251]	51	0.4198550581932068	0.16301037	Yes	
row_7	CBR1	carbonyl reductase 1 [Source:HGNC Symbol;Acc:HGNC:1548]	60	0.40496519207954407	0.18284854	Yes	
row_8	LEAP2	liver enriched antimicrobial peptide 2 [Source:HGNC Symbol;Acc:HGNC:29571]	79	0.37703225016593933	0.19892456	Yes	
row_9	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	80	0.3753466308116913	0.21899393	Yes	
row_10	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	82	0.3739759922027588	0.23876315	Yes	
row_11	F11	coagulation factor XI [Source:HGNC Symbol;Acc:HGNC:3529]	84	0.37139439582824707	0.25839433	Yes	
row_12	DCXR	dicarbonyl and L-xylulose reductase [Source:HGNC Symbol;Acc:HGNC:18985]	101	0.3590414226055145	0.27396214	Yes	
row_13	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	109	0.3535773456096649	0.2912795	Yes	
