NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
PGLYRP3	1	PGLYRP3	
PGLYRP2	1	PGLYRP2	
TFRC	1	TFRC	
SCT	1	SCT	
ITSN1	1	ITSN1	
SPINT3	1	SPINT3	
SPINT2	1	SPINT2	
ALKBH3	1	ALKBH3	
ALKBH2	1	ALKBH2	
CRHBP	1	CRHBP	
HTR6	1	HTR6	
HTR7	1	HTR7	
CAPNS1	1	CAPNS1	
DPYSL5	1	DPYSL5	
DPYSL2	1	DPYSL2	
DPYSL3	1	DPYSL3	
CKMT1B	1	CKMT1A	
SMCO2	1	SMCO2	
PGLYRP1	1	PGLYRP1	
PRKACA	1	PRKACA	
VSTM4	1	VSTM4	
GSTK1	1	GSTK1	
ZNF18	1	ZNF18	
CXADR	1	CXADR	
UNC5A	1	UNC5A	
UNC5B	1	UNC5B	
CACNA2D3	1	CACNA2D3	
ZNF10	1	ZNF10	
UNC5C	1	UNC5C	
UNC5D	1	UNC5D	
SIGIRR	1	SIGIRR	
MTHFD1	1	MTHFD1	
SCO1	1	SCO1	
SPINT1	1	SPINT1	
EWSR1	1	EWSR1	
MTHFD2	1	MTHFD2	
OPTC	1	OPTC	
SCO2	1	SCO2	
TFR2	1	TFR2	
DDIT3	1	DDIT3	
DDIT4	1	DDIT4	
JTB	1	JTB	
PLBD1	1	PLBD1	
TXNIP	1	TXNIP	
VOPP1	1	VOPP1	
PLBD2	1	PLBD2	
SF1	1	SF1	
SET	1	SET	
COL13A1	1	COL13A1	
SAR1A	1	SAR1A	
SHMT2	1	SHMT2	
FAXDC2	1	FAXDC2	
SHMT1	1	SHMT1	
LYPD1	1	LYPD1	
LYPD3	1	LYPD3	
ZNF23	1	ZNF23	
TEX29	1	TEX29	
PRPSAP1	1	PRPSAP1	
ADAMTS15	1	ADAMTS15	
ADAMTS13	1	ADAMTS13	
PRPSAP2	1	PRPSAP2	
RDH16	1	RDH16	
SFN	1	SFN	
LTA4H	1	LTA4H	
GSTM4	1	GSTM4	
HEXIM1	1	HEXIM1	
JAG2	1	JAG2	
GSTM3	1	GSTM3	
HEXIM2	1	HEXIM2	
CREBBP	1	CREBBP	
JUN	1	JUN	
GSTM1	1	GSTM1	
JAG1	1	JAG1	
JUP	1	JUP	
EIF2AK4	1	EIF2AK4	
ZNF34	1	ZNF34	
L1CAM	1	L1CAM	
DHFR	1	DHFR	
AGO3	1	AGO3	
AGO1	1	AGO1	
NMT1	1	NMT1	
NMT2	1	NMT2	
NANOG	1	NANOG	
SFXN5	1	SFXN5	
LGMN	1	LGMN	
IL18BP	1	IL18BP	
MMP20	1	MMP20	
CASP14	1	CASP14	
SHH	1	SHH	
CASP10	1	CASP10	
ZNF41	1	ZNF41	
NEFL	1	NEFL	
JAK2	1	JAK2	
DUSP4	1	DUSP4	
CHST9	1	CHST9	
CHST6	1	CHST6	
MYBPC1	1	MYBPC1	
DUSP3	1	DUSP3	
GSTO1	1	GSTO1	
MAMDC2	1	MAMDC2	
BGN	1	BGN	
DUSP6	1	DUSP6	
MMP10	1	MMP10	
MMP12	1	MMP12	
TMEFF1	1	TMEFF1	
MMP14	1	MMP14	
MMP13	1	MMP13	
MMP16	1	MMP16	
PLSCR3	1	PLSCR3	
SDHAF2	1	SDHAF2	
PTRH2	1	PTRH2	
MMP17	1	MMP17	
CHST1	1	CHST1	
MMP19	1	MMP19	
CHST4	1	CHST4	
CRYAA	1	CRYAA	
RAPGEF5	1	RAPGEF5	
CHST5	1	CHST5	
PAFAH1B3	1	PAFAH1B3	
CHST2	1	CHST2	
PAFAH1B2	1	PAFAH1B2	
CHST3	1	CHST3	
APCS	1	APCS	
ECHS1	1	ECHS1	
TP53I13	1	TP53I13	
GSTP1	1	GSTP1	
ADAM22	1	ADAM22	
ADAM29	1	ADAM29	
RIDA	1	HRSP12	
ADAM23	1	ADAM23	
AGR2	1	AGR2	
STX6	1	STX6	
AGR3	1	AGR3	
STX4	1	STX4	
STX3	1	STX3	
BID	1	BID	
STX2	1	STX2	
TP53I11	1	TP53I11	
JAM2	1	JAM2	
JAM3	1	JAM3	
SPDEF	1	SPDEF	
ATAD1	1	ATAD1	
EGLN1	1	EGLN1	
MBD4	1	MBD4	
RIC3	1	RIC3	
PKLR	1	PKLR	
MBD1	1	MBD1	
ATAD2	1	ATAD2	
ADAM32	1	ADAM32	
BMP8B	1	BMP8B	
KIR3DL1	1	KIR3DL1	
ADAM30	1	ADAM30	
KIAA2013	1	KIAA2013	
KIR3DL2	1	KIR3DL2	
KIR3DL3	1	KIR3DL3	
DCBLD1	1	DCBLD1	
TARBP2	1	TARBP2	
SNX17	1	SNX17	
APEX1	1	APEX1	
AGRP	1	AGRP	
PKN1	1	PKN1	
AGRN	1	AGRN	
LGR5	1	LGR5	
LGR4	1	LGR4	
KCNG4	1	KCNG4	
TMEM167B	1	TMEM167B	
TMEM167A	1	TMEM167A	
PDCD6	1	PDCD6	
PDCD5	1	PDCD5	
LY75	1	LY75	
IL1RAP	1	IL1RAP	
POTEM	1	POTEM	
EFEMP1	1	EFEMP1	
POFUT1	1	POFUT1	
UROD	1	UROD	
TNFRSF8	1	TNFRSF8	
POTEG	1	POTEG	
TNFRSF4	1	TNFRSF4	
PIAS4	1	PIAS4	
PIAS3	1	PIAS3	
IFNA14	1	IFNA14	
IFNA16	1	IFNA16	
STX8	1	STX8	
STX7	1	STX7	
SDCBP2	1	SDCBP2	
MINPP1	1	MINPP1	
MSH2	1	MSH2	
PKP2	1	PKP2	
SMS	1	SMS	
SRSF6	1	SRSF6	
SRSF7	1	SRSF7	
ARL8B	1	ARL8B	
IFNA10	1	IFNA10	
BLK	1	BLK	
KCNE3	1	KCNE3	
UQCRB	1	UQCRB	
KCNE5	1	KCNE5	
KMT2C	1	KMT2C	
GSTT1	1	GSTT1	
UAP1	1	UAP1	
SNN	1	SNN	
TNFRSF17	1	TNFRSF17	
TNFRSF14	1	TNFRSF14	
KDSR	1	KDSR	
