NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	18	-0.5660295	-1.829653	0.0045871558	0.016664397	0.025	854	tags=44%, list=19%, signal=55%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	14	-0.49673265	-1.480077	0.067307696	0.16307412	0.405	409	tags=29%, list=9%, signal=31%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	136	-0.2748485	-1.4530928	0.019543974	0.13194644	0.473	757	tags=26%, list=17%, signal=31%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	98	-0.27257746	-1.351282	0.04509284	0.20210771	0.733	879	tags=31%, list=19%, signal=37%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	102	-0.27138445	-1.3436376	0.028735632	0.16875902	0.749	883	tags=31%, list=20%, signal=38%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	27	-0.3226212	-1.1866522	0.2086331	0.36462224	0.971	827	tags=37%, list=18%, signal=45%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	74	-0.23072937	-1.066768	0.31903484	0.5706729	0.998	931	tags=30%, list=21%, signal=37%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	16	-0.32803032	-1.0445747	0.4050926	0.5559604	1.0	452	tags=25%, list=10%, signal=28%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	43	-0.24471653	-1.0182155	0.40503433	0.55359906	1.0	696	tags=26%, list=15%, signal=30%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	89	-0.19824266	-0.9590209	0.5044776	0.6381921	1.0	583	tags=18%, list=13%, signal=20%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	62	-0.1733044	-0.7957075	0.8408488	0.9134102	1.0	858	tags=24%, list=19%, signal=29%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	18	-0.22552331	-0.724431	0.83495146	0.9232627	1.0	620	tags=22%, list=14%, signal=26%	
