NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	0	0.7193431854248047	0.03900517	Yes	
row_1	F8	coagulation factor VIII [Source:HGNC Symbol;Acc:HGNC:3546]	7	0.5063309073448181	0.065107845	Yes	
row_2	ANG	angiogenin [Source:HGNC Symbol;Acc:HGNC:483]	25	0.41426214575767517	0.083739094	Yes	
row_3	HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	28	0.4101375937461853	0.10552736	Yes	
row_4	C2	complement C2 [Source:HGNC Symbol;Acc:HGNC:1248]	46	0.36407333612442017	0.12143721	Yes	
row_5	F5	coagulation factor V [Source:HGNC Symbol;Acc:HGNC:3542]	47	0.35973405838012695	0.14094318	Yes	
row_6	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	81	0.3135819733142853	0.15050918	Yes	
row_7	C9	complement C9 [Source:HGNC Symbol;Acc:HGNC:1358]	91	0.30234888195991516	0.16487513	Yes	
row_8	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	111	0.2856900990009308	0.17608403	Yes	
row_9	KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	128	0.2700394093990326	0.18712042	Yes	
row_10	RAF1	Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]	181	0.24039718508720398	0.18843593	Yes	
row_11	RHOG	ras homolog family member G [Source:HGNC Symbol;Acc:HGNC:672]	260	0.21201092004776	0.18235241	Yes	
row_12	C1S	complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]	268	0.20970703661441803	0.19214578	Yes	
row_13	LGMN	legumain [Source:HGNC Symbol;Acc:HGNC:9472]	284	0.2056981325149536	0.19991876	Yes	
row_14	SERPINA1	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	289	0.20492105185985565	0.21012874	Yes	
row_15	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G [Source:HGNC Symbol;Acc:HGNC:17357]	293	0.2043408900499344	0.22053266	Yes	
row_16	S100A13	S100 calcium binding protein A13 [Source:HGNC Symbol;Acc:HGNC:10490]	317	0.19979718327522278	0.22618264	Yes	
row_17	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	333	0.19680139422416687	0.2334732	Yes	
row_18	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	336	0.19639688730239868	0.24367173	Yes	
row_19	GP1BA	glycoprotein Ib platelet subunit alpha [Source:HGNC Symbol;Acc:HGNC:4439]	379	0.187843918800354	0.2443914	Yes	
row_20	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	419	0.18292775750160217	0.24552062	Yes	
row_21	ATOX1	antioxidant 1 copper chaperone [Source:HGNC Symbol;Acc:HGNC:798]	495	0.17160983383655548	0.23792256	Yes	
row_22	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	502	0.1711665838956833	0.24585152	Yes	
row_23	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	507	0.17063234746456146	0.25420225	Yes	
row_24	MMP13	matrix metallopeptidase 13 [Source:HGNC Symbol;Acc:HGNC:7159]	690	0.14991873502731323	0.22131264	No	
row_25	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	711	0.14796604216098785	0.2248283	No	
row_26	ADAM9	ADAM metallopeptidase domain 9 [Source:HGNC Symbol;Acc:HGNC:216]	720	0.14682722091674805	0.23098674	No	
row_27	F10	coagulation factor X [Source:HGNC Symbol;Acc:HGNC:3528]	755	0.14334355294704437	0.23109648	No	
row_28	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	806	0.13873521983623505	0.22735028	No	
row_29	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	820	0.13778561353683472	0.23189157	No	
row_30	CTSH	cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]	828	0.13675744831562042	0.23772937	No	
row_31	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	847	0.13466309010982513	0.24097446	No	
row_32	SPOCK2	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:13564]	1054	0.11632931977510452	0.20085445	No	
row_33	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	1162	0.10619709640741348	0.18249741	No	
row_34	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	1192	0.10337018221616745	0.18156654	No	
row_35	PSMB9	proteasome subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]	1202	0.10272994637489319	0.1851085	No	
row_36	RABIF	RAB interacting factor [Source:HGNC Symbol;Acc:HGNC:9797]	1224	0.1006459966301918	0.18583293	No	
row_37	S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	1241	0.09868364036083221	0.18757784	No	
row_38	S100A12	S100 calcium binding protein A12 [Source:HGNC Symbol;Acc:HGNC:10489]	1245	0.09843228757381439	0.19223903	No	
row_39	GMFB	glia maturation factor beta [Source:HGNC Symbol;Acc:HGNC:4373]	1249	0.09814061969518661	0.19688441	No	
row_40	STX4	syntaxin 4 [Source:HGNC Symbol;Acc:HGNC:11439]	1255	0.09774891287088394	0.20105779	No	
row_41	DUSP6	dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]	1289	0.09510833024978638	0.19877742	No	
row_42	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	1293	0.09497372806072235	0.20325108	No	
row_43	PDGFB	platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]	1294	0.09495767951011658	0.20840001	No	
row_44	FCN1	ficolin 1 [Source:HGNC Symbol;Acc:HGNC:3623]	1305	0.09425678104162216	0.21125714	No	
row_45	ERAP2	endoplasmic reticulum aminopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:29499]	1309	0.09392541646957397	0.21567397	No	
row_46	PREP	prolyl endopeptidase [Source:HGNC Symbol;Acc:HGNC:9358]	1381	0.08835870772600174	0.20446326	No	
row_47	GZMA	granzyme A [Source:HGNC Symbol;Acc:HGNC:4708]	1425	0.08540377765893936	0.1994029	No	
row_48	PRSS3	serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486]	1465	0.081973135471344	0.19505803	No	
row_49	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	1485	0.08054399490356445	0.19514322	No	
row_50	GZMB	granzyme B [Source:HGNC Symbol;Acc:HGNC:4709]	1617	0.06995533406734467	0.16941199	No	
row_51	USP8	ubiquitin specific peptidase 8 [Source:HGNC Symbol;Acc:HGNC:12631]	1682	0.06452695280313492	0.1584867	No	
row_52	CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	1692	0.06379486620426178	0.15991746	No	
row_53	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	1706	0.06250433623790741	0.16037674	No	
row_54	DOCK9	dedicator of cytokinesis 9 [Source:HGNC Symbol;Acc:HGNC:14132]	1710	0.06207164376974106	0.16306634	No	
row_55	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	1719	0.06131080165505409	0.1645878	No	
row_56	PRDM4	PR/SET domain 4 [Source:HGNC Symbol;Acc:HGNC:9348]	1761	0.057160455733537674	0.15844674	No	
row_57	MMP14	matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]	1870	0.04788528010249138	0.13670248	No	
row_58	PCSK9	proprotein convertase subtilisin/kexin type 9 [Source:HGNC Symbol;Acc:HGNC:20001]	1928	0.043243829160928726	0.12620078	No	
row_59	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	1934	0.04234747961163521	0.12737012	No	
row_60	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	1974	0.039211735129356384	0.12070659	No	
row_61	CD40LG	CD40 ligand [Source:HGNC Symbol;Acc:HGNC:11935]	2032	0.035356756299734116	0.10977723	No	
row_62	LTA4H	leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710]	2035	0.03506987914443016	0.11122808	No	
row_63	USP15	ubiquitin specific peptidase 15 [Source:HGNC Symbol;Acc:HGNC:12613]	2049	0.033892665058374405	0.11013594	No	
row_64	MMP8	matrix metallopeptidase 8 [Source:HGNC Symbol;Acc:HGNC:7175]	2124	0.028353428468108177	0.094995424	No	
row_65	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	2158	0.024844026193022728	0.088905096	No	
row_66	SERPING1	serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]	2191	0.02159789949655533	0.08286412	No	
row_67	PRCP	prolylcarboxypeptidase [Source:HGNC Symbol;Acc:HGNC:9344]	2208	0.02041100151836872	0.08036484	No	
row_68	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	2215	0.01978110708296299	0.080085166	No	
row_69	XPNPEP1	X-prolyl aminopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:12822]	2291	0.0141261862590909	0.06394783	No	
row_70	TMPRSS6	transmembrane serine protease 6 [Source:HGNC Symbol;Acc:HGNC:16517]	2342	0.009962515905499458	0.053219147	No	
row_71	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	2435	0.002318239537999034	0.032610122	No	
row_72	LRP1	LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692]	2531	-0.004903971217572689	0.011465168	No	
row_73	CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	2584	-0.0099182752892375	2.8333958E-4	No	
row_74	PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	2595	-0.010894682258367538	-0.0013796897	No	
row_75	C1QC	complement C1q C chain [Source:HGNC Symbol;Acc:HGNC:1245]	2605	-0.011750908568501472	-0.002770914	No	
row_76	GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]	2646	-0.014629824087023735	-0.010992737	No	
row_77	SRC	SRC proto-oncogene, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11283]	2702	-0.01931602694094181	-0.02234112	No	
row_78	USP14	ubiquitin specific peptidase 14 [Source:HGNC Symbol;Acc:HGNC:12612]	2721	-0.021735448390245438	-0.025219347	No	
row_79	TFPI2	tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]	2747	-0.024769876152276993	-0.02951068	No	
row_80	CTSO	cathepsin O [Source:HGNC Symbol;Acc:HGNC:2542]	2760	-0.026042599231004715	-0.030803094	No	
row_81	PLG	plasminogen [Source:HGNC Symbol;Acc:HGNC:9071]	2794	-0.029635775834321976	-0.0366336	No	
row_82	KCNIP3	potassium voltage-gated channel interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:15523]	2907	-0.04046619310975075	-0.05968167	No	
row_83	F2	coagulation factor II, thrombin [Source:HGNC Symbol;Acc:HGNC:3535]	2942	-0.042987335473299026	-0.06501359	No	
row_84	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	2982	-0.04555341973900795	-0.07133325	No	
row_85	PLEK	pleckstrin [Source:HGNC Symbol;Acc:HGNC:9070]	3072	-0.05490585044026375	-0.08841468	No	
row_86	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	3101	-0.0584196113049984	-0.09155754	No	
row_87	F7	coagulation factor VII [Source:HGNC Symbol;Acc:HGNC:3544]	3111	-0.059034425765275955	-0.09038489	No	
row_88	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:8978]	3125	-0.06037528067827225	-0.09004106	No	
row_89	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	3147	-0.06336833536624908	-0.09133794	No	
row_90	CSRP1	cysteine and glycine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2469]	3287	-0.07909882068634033	-0.11837641	No	
row_91	IRF2	interferon regulatory factor 2 [Source:HGNC Symbol;Acc:HGNC:6117]	3310	-0.08161130547523499	-0.118909486	No	
row_92	GNGT2	G protein subunit gamma transducin 2 [Source:HGNC Symbol;Acc:HGNC:4412]	3453	-0.09899210184812546	-0.14554541	No	
row_93	CD55	CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]	3517	-0.10620107501745224	-0.15398562	No	
row_94	ANXA5	annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]	3556	-0.11035306006669998	-0.15656625	No	
row_95	PLA2G7	phospholipase A2 group VII [Source:HGNC Symbol;Acc:HGNC:9040]	3631	-0.12084253877401352	-0.1666917	No	
row_96	GZMK	granzyme K [Source:HGNC Symbol;Acc:HGNC:4711]	3679	-0.12602867186069489	-0.17045076	No	
row_97	LCK	LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]	3731	-0.13373838365077972	-0.17469327	No	
row_98	LTF	lactotransferrin [Source:HGNC Symbol;Acc:HGNC:6720]	3750	-0.13692814111709595	-0.17132537	No	
row_99	CASP10	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]	3784	-0.14181916415691376	-0.17107292	No	
