NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANG	angiogenin [Source:HGNC Symbol;Acc:HGNC:483]	25	0.41426214575767517	0.029012073	Yes	
row_1	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	58	0.3422342538833618	0.05043455	Yes	
row_2	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	77	0.31739941239356995	0.07292199	Yes	
row_3	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	124	0.2713448405265808	0.08527981	Yes	
row_4	TPST1	tyrosylprotein sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:12020]	134	0.2675200402736664	0.105617665	Yes	
row_5	ANGPTL4	angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039]	199	0.23136989772319794	0.110597074	Yes	
row_6	GNPDA1	glucosamine-6-phosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:4417]	204	0.23007048666477203	0.12892684	Yes	
row_7	ALDOB	aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]	221	0.2255057394504547	0.14418335	Yes	
row_8	PYGL	glycogen phosphorylase L [Source:HGNC Symbol;Acc:HGNC:9725]	244	0.21846087276935577	0.15750521	Yes	
row_9	HDLBP	high density lipoprotein binding protein [Source:HGNC Symbol;Acc:HGNC:4857]	254	0.2148333340883255	0.17344004	Yes	
row_10	CHST1	carbohydrate sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:1969]	281	0.20638200640678406	0.18485521	Yes	
row_11	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	290	0.20461681485176086	0.20016055	Yes	
row_12	CHST12	carbohydrate sulfotransferase 12 [Source:HGNC Symbol;Acc:HGNC:17423]	297	0.20405399799346924	0.21586749	Yes	
row_13	GPC1	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	381	0.1874804049730301	0.21291704	Yes	
row_14	UGP2	UDP-glucose pyrophosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:12527]	382	0.18746784329414368	0.22858377	Yes	
row_15	HS6ST2	heparan sulfate 6-O-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:19133]	404	0.18465985357761383	0.2393052	Yes	
row_16	MIOX	myo-inositol oxygenase [Source:HGNC Symbol;Acc:HGNC:14522]	438	0.18055860698223114	0.2469921	Yes	
row_17	GUSB	glucuronidase beta [Source:HGNC Symbol;Acc:HGNC:4696]	439	0.18044155836105347	0.26207164	Yes	
row_18	B4GALT7	beta-1,4-galactosyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:930]	625	0.15736666321754456	0.23372436	No	
row_19	PKP2	plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024]	695	0.14893123507499695	0.23069277	No	
row_20	MXI1	MAX interactor 1, dimerization protein [Source:HGNC Symbol;Acc:HGNC:7534]	698	0.1487320512533188	0.24267371	No	
row_21	GALE	UDP-galactose-4-epimerase [Source:HGNC Symbol;Acc:HGNC:4116]	754	0.1433451622724533	0.24231572	No	
row_22	GLRX	glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330]	774	0.14193911850452423	0.2499156	No	
row_23	GOT1	glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]	816	0.13812628388404846	0.2522619	No	
row_24	PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	1023	0.11971509456634521	0.21605745	No	
row_25	ARTN	artemin [Source:HGNC Symbol;Acc:HGNC:727]	1069	0.11456310749053955	0.2155373	No	
row_26	AKR1A1	aldo-keto reductase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:380]	1084	0.11312463134527206	0.22185072	No	
row_27	FUT8	fucosyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:4019]	1087	0.11254161596298218	0.23080721	No	
row_28	PKM	pyruvate kinase M1/2 [Source:HGNC Symbol;Acc:HGNC:9021]	1119	0.10982441157102585	0.23303147	No	
row_29	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	1130	0.10919371992349625	0.23991366	No	
row_30	B3GAT3	beta-1,3-glucuronyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:923]	1177	0.10482092946767807	0.23835503	No	
row_31	GLCE	glucuronic acid epimerase [Source:HGNC Symbol;Acc:HGNC:17855]	1182	0.10416709631681442	0.24616303	No	
row_32	IDH1	isocitrate dehydrogenase (NADP(+)) 1, cytosolic [Source:HGNC Symbol;Acc:HGNC:5382]	1233	0.09957800060510635	0.243269	No	
row_33	PMM2	phosphomannomutase 2 [Source:HGNC Symbol;Acc:HGNC:9115]	1234	0.09955965727567673	0.2515892	No	
row_34	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	1410	0.08660073578357697	0.21957117	No	
row_35	LDHA	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]	1478	0.081015944480896	0.21131253	No	
row_36	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	1485	0.08054399490356445	0.21669772	No	
row_37	CYB5A	cytochrome b5 type A [Source:HGNC Symbol;Acc:HGNC:2570]	1486	0.08043517917394638	0.2234197	No	
row_38	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	1491	0.08027195185422897	0.22923078	No	
row_39	NANP	N-acetylneuraminic acid phosphatase [Source:HGNC Symbol;Acc:HGNC:16140]	1492	0.08022893965244293	0.23593552	No	
row_40	FAM162A	family with sequence similarity 162 member A [Source:HGNC Symbol;Acc:HGNC:17865]	1508	0.07900260388851166	0.23917305	No	
row_41	NT5E	5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]	1565	0.07432433217763901	0.23282266	No	
row_42	HOMER1	homer scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:17512]	1576	0.07354678213596344	0.23672582	No	
row_43	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	1587	0.07294589281082153	0.24057877	No	
row_44	SAP30	Sin3A associated protein 30 [Source:HGNC Symbol;Acc:HGNC:10532]	1645	0.06793520599603653	0.23347013	No	
row_45	PRPS1	phosphoribosyl pyrophosphate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9462]	1656	0.06635726243257523	0.23677245	No	
row_46	DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	1681	0.06455004215240479	0.23678334	No	
row_47	GAPDHS	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [Source:HGNC Symbol;Acc:HGNC:24864]	1691	0.06389619410037994	0.2401043	No	
row_48	RPE	ribulose-5-phosphate-3-epimerase [Source:HGNC Symbol;Acc:HGNC:10293]	1746	0.05875202268362045	0.23290117	No	
row_49	STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	1793	0.05426902323961258	0.22711791	No	
row_50	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	1833	0.051099903881549835	0.22264002	No	
row_51	CHST4	carbohydrate sulfotransferase 4 [Source:HGNC Symbol;Acc:HGNC:1972]	1844	0.049542441964149475	0.22453713	No	
row_52	STMN1	stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510]	1871	0.04785571247339249	0.22270423	No	
row_53	TALDO1	transaldolase 1 [Source:HGNC Symbol;Acc:HGNC:11559]	1947	0.041273344308137894	0.20932977	No	
row_54	ARPP19	cAMP regulated phosphoprotein 19 [Source:HGNC Symbol;Acc:HGNC:16967]	1975	0.0390249639749527	0.20653456	No	
row_55	BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1 [Source:HGNC Symbol;Acc:HGNC:1096]	1977	0.03897638991475105	0.20956752	No	
row_56	DLD	dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]	2030	0.035501837730407715	0.20086999	No	
row_57	ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	2037	0.0349680632352829	0.20244639	No	
row_58	GALK1	galactokinase 1 [Source:HGNC Symbol;Acc:HGNC:4118]	2056	0.03336051478981972	0.20119664	No	
row_59	G6PD	glucose-6-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4057]	2123	0.028371024876832962	0.18876277	No	
row_60	IDUA	iduronidase alpha-L- [Source:HGNC Symbol;Acc:HGNC:5391]	2164	0.023989669978618622	0.18179496	No	
row_61	SLC16A3	solute carrier family 16 member 3 [Source:HGNC Symbol;Acc:HGNC:10924]	2256	0.016734633594751358	0.16278073	No	
row_62	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	2332	0.01110653206706047	0.14688522	No	
row_63	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	2383	0.006411668378859758	0.13620526	No	
row_64	PGAM2	phosphoglycerate mutase 2 [Source:HGNC Symbol;Acc:HGNC:8889]	2421	0.0034091752022504807	0.12819047	No	
row_65	IL13RA1	interleukin 13 receptor subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:5974]	2462	-3.594180743675679E-4	0.11924787	No	
row_66	MIF	macrophage migration inhibitory factor [Source:HGNC Symbol;Acc:HGNC:7097]	2475	-0.0011196270352229476	0.11664965	No	
row_67	MET	MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]	2537	-0.005143920890986919	0.10339626	No	
row_68	CHST2	carbohydrate sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:1970]	2548	-0.006374230142682791	0.1016858	No	
