NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	14	0.4662292003631592	0.03078749	Yes	
row_1	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	70	0.32671046257019043	0.042236485	Yes	
row_2	SWAP70	switching B cell complex subunit SWAP70 [Source:HGNC Symbol;Acc:HGNC:17070]	72	0.32627609372138977	0.065753356	Yes	
row_3	LRIG1	leucine rich repeats and immunoglobulin like domains 1 [Source:HGNC Symbol;Acc:HGNC:17360]	90	0.30246999859809875	0.083952986	Yes	
row_4	CDCP1	CUB domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:24357]	92	0.3001163899898529	0.10556639	Yes	
row_5	IL1RL1	interleukin 1 receptor like 1 [Source:HGNC Symbol;Acc:HGNC:5998]	102	0.29188647866249084	0.12478845	Yes	
row_6	BMPR2	bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]	117	0.28100699186325073	0.14209855	Yes	
row_7	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	138	0.2628600001335144	0.15674382	Yes	
row_8	FAH	fumarylacetoacetate hydrolase [Source:HGNC Symbol;Acc:HGNC:3579]	187	0.2374342381954193	0.16326524	Yes	
row_9	IGF2R	insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]	207	0.22965505719184875	0.17571849	Yes	
row_10	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	243	0.2188294678926468	0.18379898	Yes	
row_11	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	375	0.18874360620975494	0.16818014	Yes	
row_12	COL6A1	collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]	393	0.18637460470199585	0.17793229	Yes	
row_13	PTRH2	peptidyl-tRNA hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:24265]	466	0.17544087767601013	0.1745653	Yes	
row_14	GSTO1	glutathione S-transferase omega 1 [Source:HGNC Symbol;Acc:HGNC:13312]	467	0.1754307895898819	0.18733023	Yes	
row_15	SYT11	synaptotagmin 11 [Source:HGNC Symbol;Acc:HGNC:19239]	470	0.17525240778923035	0.19963406	Yes	
row_16	CAPN3	calpain 3 [Source:HGNC Symbol;Acc:HGNC:1480]	515	0.16987591981887817	0.20213595	Yes	
row_17	HOPX	HOP homeobox [Source:HGNC Symbol;Acc:HGNC:24961]	544	0.16599050164222717	0.20794018	Yes	
row_18	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	545	0.16593560576438904	0.2200142	Yes	
row_19	CTSZ	cathepsin Z [Source:HGNC Symbol;Acc:HGNC:2547]	572	0.16375112533569336	0.2261036	Yes	
row_20	SELP	selectin P [Source:HGNC Symbol;Acc:HGNC:10721]	576	0.1633204221725464	0.23731515	Yes	
row_21	IRF6	interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]	588	0.16165238618850708	0.2466128	Yes	
row_22	TWSG1	twisted gastrulation BMP signaling modulator 1 [Source:HGNC Symbol;Acc:HGNC:12429]	632	0.15658119320869446	0.24837139	Yes	
row_23	TRAF1	TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]	724	0.1464899480342865	0.23864062	No	
row_24	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	827	0.13715186715126038	0.22576566	No	
row_25	SMPDL3A	sphingomyelin phosphodiesterase acid like 3A [Source:HGNC Symbol;Acc:HGNC:17389]	839	0.1357179880142212	0.23317625	No	
row_26	COCH	cochlin [Source:HGNC Symbol;Acc:HGNC:2180]	848	0.1345413476228714	0.24117342	No	
row_27	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	902	0.13034985959529877	0.23878269	No	
