NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MX1	MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]	19	0.42761120200157166	0.028352417	Yes	
row_1	NMI	N-myc and STAT interactor [Source:HGNC Symbol;Acc:HGNC:7854]	21	0.4264658987522125	0.06064705	Yes	
row_2	RTP4	receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992]	23	0.4221114218235016	0.09260965	Yes	
row_3	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	51	0.3555554449558258	0.11367682	Yes	
row_4	ISG15	ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]	52	0.35364285111427307	0.14064248	Yes	
row_5	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	62	0.3347305953502655	0.1641513	Yes	
row_6	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	81	0.3135819733142853	0.18403271	Yes	
row_7	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	88	0.30437183380126953	0.20589823	Yes	
row_8	CD69	CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]	112	0.2854467034339905	0.22251499	Yes	
row_9	STAT3	signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]	116	0.2819351553916931	0.24334125	Yes	
row_10	PSME2	proteasome activator subunit 2 [Source:HGNC Symbol;Acc:HGNC:9569]	133	0.2679080665111542	0.26018772	Yes	
row_11	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	220	0.22616954147815704	0.2581811	Yes	
row_12	LGALS3BP	galectin 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6564]	223	0.22483983635902405	0.27487767	Yes	
row_13	C1S	complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]	268	0.20970703661441803	0.28101805	Yes	
row_14	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	285	0.2054254114627838	0.29310015	Yes	
row_15	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	333	0.19680139422416687	0.29758486	Yes	
