NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	119	0.2794702351093292	0.0076117045	Yes	
row_1	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	166	0.24877603352069855	0.027740855	Yes	
row_2	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	198	0.2337302565574646	0.04937497	Yes	
row_3	PLXNB2	plexin B2 [Source:HGNC Symbol;Acc:HGNC:9104]	202	0.23045934736728668	0.07684853	Yes	
row_4	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	220	0.22616954147815704	0.10067882	Yes	
row_5	DEF6	DEF6 guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:2760]	255	0.21458236873149872	0.11930629	Yes	
row_6	WWP1	WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:17004]	264	0.21136167645454407	0.14333369	Yes	
row_7	TCN2	transcobalamin 2 [Source:HGNC Symbol;Acc:HGNC:11653]	322	0.19948984682559967	0.1549934	Yes	
row_8	FOXO3	forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]	394	0.18635176122188568	0.16192934	Yes	
row_9	PDGFA	platelet derived growth factor subunit A [Source:HGNC Symbol;Acc:HGNC:8799]	595	0.16113831102848053	0.13704309	Yes	
row_10	HEXIM1	HEXIM P-TEFb complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24953]	610	0.15874572098255157	0.15330853	Yes	
row_11	HRAS	HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]	661	0.15320433676242828	0.1608759	Yes	
row_12	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	702	0.14823704957962036	0.17006487	Yes	
row_13	APAF1	apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:HGNC:576]	704	0.14816685020923615	0.1879351	Yes	
row_14	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	705	0.14812448620796204	0.20602298	Yes	
row_15	POLH	DNA polymerase eta [Source:HGNC Symbol;Acc:HGNC:9181]	706	0.14812412858009338	0.22411081	Yes	
row_16	CEBPA	CCAAT enhancer binding protein alpha [Source:HGNC Symbol;Acc:HGNC:1833]	739	0.14519165456295013	0.23471043	Yes	
row_17	STOM	stomatin [Source:HGNC Symbol;Acc:HGNC:3383]	756	0.14332666993141174	0.24864736	Yes	
row_18	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	758	0.14325156807899475	0.2659174	Yes	
row_19	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	847	0.13466309010982513	0.2627536	Yes	
row_20	CDKN2B	cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]	859	0.13357989490032196	0.27661443	Yes	
row_21	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	870	0.13285844027996063	0.29060996	Yes	
row_22	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	1080	0.1132841408252716	0.25787476	Yes	
row_23	VAMP8	vesicle associated membrane protein 8 [Source:HGNC Symbol;Acc:HGNC:12647]	1160	0.1062980517745018	0.2532526	Yes	
row_24	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	1178	0.1047012135386467	0.26225007	Yes	
row_25	TPD52L1	TPD52 like 1 [Source:HGNC Symbol;Acc:HGNC:12006]	1203	0.10271018743515015	0.2694447	Yes	
row_26	KLF4	Kruppel like factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	1222	0.10109453648328781	0.27777892	Yes	
row_27	MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6888]	1251	0.09811743348836899	0.28352144	Yes	
row_28	GM2A	GM2 ganglioside activator [Source:HGNC Symbol;Acc:HGNC:4367]	1307	0.09410306811332703	0.28275773	Yes	
row_29	TAX1BP3	Tax1 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:30684]	1347	0.09104778617620468	0.28518596	Yes	
row_30	TPRKB	TP53RK binding protein [Source:HGNC Symbol;Acc:HGNC:24259]	1357	0.09027985483407974	0.29420492	Yes	
row_31	LDHB	lactate dehydrogenase B [Source:HGNC Symbol;Acc:HGNC:6541]	1368	0.08966091275215149	0.3029255	Yes	
row_32	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	1373	0.08922449499368668	0.3129297	Yes	
