NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCSK2	proprotein convertase subtilisin/kexin type 2 [Source:HGNC Symbol;Acc:HGNC:8744]	38	0.3871532678604126	0.21830082	Yes	
row_1	GCK	glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]	868	0.1330779492855072	0.11373498	No	
row_2	HNF1A	HNF1 homeobox A [Source:HGNC Symbol;Acc:HGNC:11621]	1021	0.11977219581604004	0.15039955	No	
row_3	IAPP	islet amyloid polypeptide [Source:HGNC Symbol;Acc:HGNC:5329]	1697	0.06329822540283203	0.038878314	No	
row_4	PKLR	pyruvate kinase L/R [Source:HGNC Symbol;Acc:HGNC:9020]	2029	0.035522036254405975	-0.01318406	No	
row_5	ISL1	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	2081	0.03156823664903641	-0.0059279716	No	
row_6	SRP14	signal recognition particle 14 [Source:HGNC Symbol;Acc:HGNC:11299]	2355	0.008912617340683937	-0.06080238	No	
row_7	INS	insulin [Source:HGNC Symbol;Acc:HGNC:6081]	2510	-0.003632064675912261	-0.09257423	No	
row_8	VDR	vitamin D receptor [Source:HGNC Symbol;Acc:HGNC:12679]	2549	-0.006412281189113855	-0.097184576	No	
row_9	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	2806	-0.030903881415724754	-0.13544181	No	
row_10	SST	somatostatin [Source:HGNC Symbol;Acc:HGNC:11329]	2865	-0.036544058471918106	-0.12681338	No	
row_11	GCG	glucagon [Source:HGNC Symbol;Acc:HGNC:4191]	2927	-0.04199986159801483	-0.11565111	No	
row_12	PCSK1	proprotein convertase subtilisin/kexin type 1 [Source:HGNC Symbol;Acc:HGNC:8743]	2932	-0.04218471795320511	-0.09183384	No	
row_13	SCGN	secretagogin, EF-hand calcium binding protein [Source:HGNC Symbol;Acc:HGNC:16941]	3550	-0.10984060168266296	-0.16333917	No	
row_14	PAX4	paired box 4 [Source:HGNC Symbol;Acc:HGNC:8618]	3589	-0.11449136584997177	-0.104672804	No	
row_15	PAK3	p21 (RAC1) activated kinase 3 [Source:HGNC Symbol;Acc:HGNC:8592]	3794	-0.14384755492210388	-0.0653591	No	
row_16	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	3802	-0.1453399807214737	0.018191786	No	
row_17	CHGA	chromogranin A [Source:HGNC Symbol;Acc:HGNC:1929]	4349	-0.2535383999347687	0.04644518	No	
