NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TOPBP1	DNA topoisomerase II binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17008]	185	0.23843160271644592	0.01059501	No	
row_1	IDE	insulin degrading enzyme [Source:HGNC Symbol;Acc:HGNC:5381]	303	0.20243299007415771	0.028460985	No	
row_2	PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9391]	371	0.18918995559215546	0.054532968	No	
row_3	JAM3	junctional adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:15532]	524	0.16930712759494781	0.05748828	No	
row_4	HBZ	hemoglobin subunit zeta [Source:HGNC Symbol;Acc:HGNC:4835]	528	0.16886360943317413	0.0933342	No	
row_5	CDKN3	cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]	762	0.1429203748703003	0.07265216	No	
row_6	YBX2	Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]	922	0.12842153012752533	0.065217875	No	
row_7	PGK2	phosphoglycerate kinase 2 [Source:HGNC Symbol;Acc:HGNC:8898]	971	0.12344647198915482	0.08128177	No	
row_8	BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	1088	0.11245285719633102	0.07991449	No	
row_9	TSN	translin [Source:HGNC Symbol;Acc:HGNC:12379]	1438	0.08396457880735397	0.020804832	No	
row_10	IL12RB2	interleukin 12 receptor subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:5972]	1545	0.07591390609741211	0.013751305	No	
row_11	CAMK4	calcium/calmodulin dependent protein kinase IV [Source:HGNC Symbol;Acc:HGNC:1464]	1558	0.07507621496915817	0.027326934	No	
row_12	GAPDHS	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [Source:HGNC Symbol;Acc:HGNC:24864]	1691	0.06389619410037994	0.011919021	No	
row_13	CHFR	checkpoint with forkhead and ring finger domains [Source:HGNC Symbol;Acc:HGNC:20455]	1698	0.06326767057180405	0.024269836	No	
row_14	ADCYAP1	adenylate cyclase activating polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:241]	1775	0.05604238063097	0.019561455	No	
row_15	AGFG1	ArfGAP with FG repeats 1 [Source:HGNC Symbol;Acc:HGNC:5175]	1798	0.05400532856583595	0.02636748	No	
row_16	HSPA1L	heat shock protein family A (Hsp70) member 1 like [Source:HGNC Symbol;Acc:HGNC:5234]	1875	0.047244057059288025	0.01975681	No	
row_17	TALDO1	transaldolase 1 [Source:HGNC Symbol;Acc:HGNC:11559]	1947	0.041273344308137894	0.012962139	No	
row_18	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	1973	0.03924012929201126	0.015911618	No	
row_19	GSTM3	glutathione S-transferase mu 3 [Source:HGNC Symbol;Acc:HGNC:4635]	2060	0.03297103941440582	0.004001114	No	
row_20	PEBP1	phosphatidylethanolamine binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8630]	2319	0.011705602519214153	-0.05058557	No	
row_21	CSNK2A2	casein kinase 2 alpha 2 [Source:HGNC Symbol;Acc:HGNC:2459]	2398	0.005476383958011866	-0.06666962	No	
row_22	BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	2420	0.003412878140807152	-0.070580825	No	
row_23	ZPBP	zona pellucida binding protein [Source:HGNC Symbol;Acc:HGNC:15662]	2642	-0.014564251527190208	-0.11635816	No	
row_24	ACRV1	acrosomal vesicle protein 1 [Source:HGNC Symbol;Acc:HGNC:127]	2658	-0.01574225164949894	-0.11627531	No	
row_25	MLF1	myeloid leukemia factor 1 [Source:HGNC Symbol;Acc:HGNC:7125]	2896	-0.03922503814101219	-0.1602629	No	
row_26	DDX25	DEAD-box helicase 25 [Source:HGNC Symbol;Acc:HGNC:18698]	3039	-0.05184217914938927	-0.18049088	No	
row_27	AURKA	aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]	3087	-0.057294055819511414	-0.17850845	No	
row_28	CRISP2	cysteine rich secretory protein 2 [Source:HGNC Symbol;Acc:HGNC:12024]	3145	-0.06306641548871994	-0.17749181	No	
row_29	CST8	cystatin 8 [Source:HGNC Symbol;Acc:HGNC:2480]	3156	-0.06462554633617401	-0.16573296	No	
row_30	CFTR	cystic fibrosis transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	3294	-0.07994692772626877	-0.17877747	No	
row_31	GAD1	glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092]	3404	-0.09402883052825928	-0.18257852	No	
row_32	ART3	ADP-ribosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:725]	3529	-0.10772205144166946	-0.18673974	Yes	
row_33	PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor [Source:HGNC Symbol;Acc:HGNC:17301]	3534	-0.10795491933822632	-0.1642843	Yes	
row_34	TCP11	t-complex 11 [Source:HGNC Symbol;Acc:HGNC:11658]	3755	-0.13776883482933044	-0.18320213	Yes	
row_35	TSSK2	testis specific serine kinase 2 [Source:HGNC Symbol;Acc:HGNC:11401]	3758	-0.13851284980773926	-0.15369698	Yes	
row_36	LDHC	lactate dehydrogenase C [Source:HGNC Symbol;Acc:HGNC:6544]	3830	-0.1499536782503128	-0.13699384	Yes	
row_37	CCNB2	cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]	3853	-0.15301480889320374	-0.10878093	Yes	
row_38	CLGN	calmegin [Source:HGNC Symbol;Acc:HGNC:2060]	3907	-0.16030669212341309	-0.0858544	Yes	
row_39	SCG5	secretogranin V [Source:HGNC Symbol;Acc:HGNC:10816]	3995	-0.17429524660110474	-0.067430526	Yes	
row_40	POMC	proopiomelanocortin [Source:HGNC Symbol;Acc:HGNC:9201]	4032	-0.17795996367931366	-0.03692362	Yes	
row_41	TNNI3	troponin I3, cardiac type [Source:NCBI gene;Acc:7137]	4085	-0.18595030903816223	-0.0082312925	Yes	
row_42	SCG3	secretogranin III [Source:HGNC Symbol;Acc:HGNC:13707]	4302	-0.23336592316627502	-0.005594499	Yes	
row_43	ACE	angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]	4421	-0.28902754187583923	0.030772733	Yes	
