NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	51	0.3555554449558258	0.018860742	Yes	
row_1	DNAJB4	DnaJ heat shock protein family (Hsp40) member B4 [Source:HGNC Symbol;Acc:HGNC:14886]	71	0.32647705078125	0.0424159	Yes	
row_2	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	88	0.30437183380126953	0.06476021	Yes	
row_3	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	111	0.2856900990009308	0.084168285	Yes	
row_4	CD69	CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]	112	0.2854467034339905	0.10848615	Yes	
row_5	KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	128	0.2700394093990326	0.12812972	Yes	
row_6	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	243	0.2188294678926468	0.121223226	Yes	
row_7	CCN1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]	258	0.21258299052715302	0.13619606	Yes	
row_8	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	290	0.20461681485176086	0.14668028	Yes	
row_9	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	333	0.19680139422416687	0.15403344	Yes	
row_10	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	336	0.19639688730239868	0.17031671	Yes	
row_11	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	340	0.19584429264068604	0.1863288	Yes	
row_12	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	419	0.18292775750160217	0.1844319	Yes	
row_13	BCL2A1	BCL2 related protein A1 [Source:HGNC Symbol;Acc:HGNC:991]	430	0.18137449026107788	0.19764246	Yes	
row_14	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	468	0.17538277804851532	0.20429148	Yes	
row_15	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	502	0.1711665838956833	0.21147777	Yes	
row_16	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	655	0.15437641739845276	0.19056402	Yes	
row_17	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	702	0.14823704957962036	0.1928834	Yes	
row_18	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	718	0.1471952199935913	0.20206158	Yes	
row_19	TRAF1	TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]	724	0.1464899480342865	0.21342082	Yes	
row_20	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	758	0.14325156807899475	0.21822897	Yes	
row_21	SMAD3	SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]	779	0.14156468212604523	0.22580689	Yes	
row_22	MCL1	MCL1 apoptosis regulator, BCL2 family member [Source:HGNC Symbol;Acc:HGNC:6943]	795	0.14027516543865204	0.23439555	Yes	
row_23	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	808	0.13861946761608124	0.24351548	Yes	
row_24	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	820	0.13778561353683472	0.25278848	Yes	
row_25	PMEPA1	prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]	886	0.13179554045200348	0.24944901	No	
row_26	SERPINB8	serpin family B member 8 [Source:HGNC Symbol;Acc:HGNC:8952]	1061	0.11532168090343475	0.22027756	No	
row_27	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	1080	0.1132841408252716	0.22589444	No	
row_28	IL15RA	interleukin 15 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5978]	1111	0.11029505729675293	0.22856729	No	
row_29	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	1130	0.10919371992349625	0.23383568	No	
row_30	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	1170	0.10550803691148758	0.23408368	No	
row_31	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:30628]	1184	0.10384219884872437	0.24001676	No	
row_32	KLF4	Kruppel like factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	1222	0.10109453648328781	0.24033698	No	
row_33	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	1246	0.09837697446346283	0.24356331	No	
row_34	CD83	CD83 molecule [Source:HGNC Symbol;Acc:HGNC:1703]	1259	0.0972306951880455	0.24915725	No	
row_35	NR4A1	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]	1300	0.09457273036241531	0.24824953	No	
row_36	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1397	0.08777123689651489	0.23421195	No	
row_37	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	1429	0.08515574038028717	0.234519	No	
row_38	IFIT2	interferon induced protein with tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:5409]	1566	0.07408265769481659	0.21035068	No	
row_39	RCAN1	regulator of calcineurin 1 [Source:HGNC Symbol;Acc:HGNC:3040]	1623	0.06976421922445297	0.20374362	No	
row_40	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]	1693	0.06366998702287674	0.1937039	No	
row_41	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	1726	0.06045668572187424	0.19168267	No	
row_42	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	1902	0.04562099650502205	0.15634915	No	
row_43	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	1957	0.04069926589727402	0.14771423	No	
row_44	TRIP10	thyroid hormone receptor interactor 10 [Source:HGNC Symbol;Acc:HGNC:12304]	1963	0.040160708129405975	0.15001503	No	
row_45	CXCL2	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	2016	0.036598384380340576	0.14147897	No	
row_46	RIPK2	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	2097	0.030080536380410194	0.12611242	No	
row_47	FJX1	four-jointed box kinase 1 [Source:HGNC Symbol;Acc:HGNC:17166]	2137	0.026681801304221153	0.11964503	No	
row_48	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	2174	0.0227604229003191	0.113515906	No	
row_49	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	2215	0.01978110708296299	0.10623652	No	
row_50	TNFAIP8	TNF alpha induced protein 8 [Source:HGNC Symbol;Acc:HGNC:17260]	2236	0.018121596425771713	0.103298046	No	
row_51	CXCL6	C-X-C motif chemokine ligand 6 [Source:HGNC Symbol;Acc:HGNC:10643]	2242	0.01779116876423359	0.10369314	No	
row_52	CCL20	C-C motif chemokine ligand 20 [Source:HGNC Symbol;Acc:HGNC:10619]	2254	0.016820307821035385	0.10266084	No	
row_53	ETS2	ETS proto-oncogene 2, transcription factor [Source:HGNC Symbol;Acc:HGNC:3489]	2338	0.010301606729626656	0.08493693	No	
row_54	GEM	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	2358	0.008486044593155384	0.0814017	No	
row_55	CSF2	colony stimulating factor 2 [Source:HGNC Symbol;Acc:HGNC:2434]	2511	-0.0037214106414467096	0.047653295	No	
row_56	TNFAIP6	TNF alpha induced protein 6 [Source:HGNC Symbol;Acc:HGNC:11898]	2559	-0.007461951579898596	0.0377556	No	
row_57	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	2564	-0.00823746807873249	0.03756091	No	
row_58	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	2624	-0.013460181653499603	0.025484845	No	
row_59	EDN1	endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]	2661	-0.01590302214026451	0.018771531	No	
row_60	BIRC2	baculoviral IAP repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:590]	2672	-0.016872014850378036	0.01796775	No	
row_61	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	2689	-0.018492566421628	0.015957337	No	
row_62	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	2764	-0.026547111570835114	0.0016344568	No	
row_63	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	2886	-0.038334812968969345	-0.022217596	No	
row_64	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	2899	-0.03954104706645012	-0.021538379	No	
row_65	G0S2	G0/G1 switch 2 [Source:HGNC Symbol;Acc:HGNC:30229]	2920	-0.04164307564496994	-0.022473004	No	
row_66	TANK	TRAF family member associated NFKB activator [Source:HGNC Symbol;Acc:HGNC:11562]	2938	-0.04284898191690445	-0.02263255	No	
row_67	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	2980	-0.045501746237277985	-0.027944855	No	
row_68	CFLAR	CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]	3030	-0.05034315958619118	-0.034637626	No	
row_69	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	3061	-0.053563691675662994	-0.036797855	No	
row_70	PLEK	pleckstrin [Source:HGNC Symbol;Acc:HGNC:9070]	3072	-0.05490585044026375	-0.034361444	No	
row_71	PLAU	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]	3090	-0.05763287842273712	-0.033261515	No	
row_72	B4GALT5	beta-1,4-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:928]	3103	-0.058524999767541885	-0.030965012	No	
row_73	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	3152	-0.06407026946544647	-0.036264226	No	
row_74	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	3178	-0.06790735572576523	-0.036081906	No	
row_75	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	3212	-0.07193909585475922	-0.037349034	No	
row_76	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	3279	-0.07819954305887222	-0.04547861	No	
row_77	SNN	stannin [Source:HGNC Symbol;Acc:HGNC:11149]	3300	-0.08037325739860535	-0.04311372	No	
row_78	TNC	tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]	3319	-0.08307569473981857	-0.040070374	No	
row_79	CD80	CD80 molecule [Source:HGNC Symbol;Acc:HGNC:1700]	3378	-0.09043417125940323	-0.04536473	No	
row_80	JAG1	jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]	3423	-0.09569603949785233	-0.04707321	No	
row_81	IL12B	interleukin 12B [Source:HGNC Symbol;Acc:HGNC:5970]	3478	-0.10167558491230011	-0.050513428	No	
row_82	IL6ST	interleukin 6 signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	3573	-0.11299009621143341	-0.061954327	No	
row_83	IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	3660	-0.12415086477994919	-0.070651494	No	
row_84	DUSP4	dual specificity phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3070]	3765	-0.1390278935432434	-0.082115315	No	
row_85	IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	3849	-0.15243691205978394	-0.087730385	No	
row_86	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	3880	-0.15665145218372345	-0.081108324	No	
row_87	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	3917	-0.16152755916118622	-0.07541555	No	
row_88	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	3935	-0.16412949562072754	-0.065242924	No	
row_89	TNFSF9	TNF superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11939]	3945	-0.1658395528793335	-0.053131703	No	
row_90	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	3964	-0.16947075724601746	-0.04272816	No	
row_91	PTX3	pentraxin 3 [Source:HGNC Symbol;Acc:HGNC:9692]	4056	-0.1817505657672882	-0.04763885	No	
row_92	RELB	RELB proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9956]	4091	-0.18714866042137146	-0.03931512	No	
row_93	CEBPB	CCAAT enhancer binding protein beta [Source:HGNC Symbol;Acc:HGNC:1834]	4102	-0.18850500881671906	-0.02549709	No	
row_94	BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	4129	-0.19411613047122955	-0.014786868	No	
row_95	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	4173	-0.2024211585521698	-0.0071790745	No	
row_96	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	4370	-0.2631581723690033	-0.028686509	No	
row_97	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	4388	-0.2704910337924957	-0.0094527	No	
row_98	SOD2	superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]	4545	-0.56080561876297	0.0033617336	No	
