NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNAJA4	DnaJ heat shock protein family (Hsp40) member A4 [Source:HGNC Symbol;Acc:HGNC:14885]	29	0.40901312232017517	0.077075526	Yes	
row_1	PSAT1	phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]	89	0.3037680387496948	0.1260303	Yes	
row_2	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9 [Source:HGNC Symbol;Acc:HGNC:6968]	169	0.24594952166080475	0.15875787	Yes	
row_3	ARFGAP1	ADP ribosylation factor GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:15852]	273	0.20815378427505493	0.17846048	Yes	
row_4	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	285	0.2054254114627838	0.21796013	Yes	
row_5	SHC1	SHC adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:10840]	406	0.1840648055076599	0.22898443	Yes	
row_6	FKBP14	FKBP prolyl isomerase 14 [Source:HGNC Symbol;Acc:HGNC:18625]	642	0.15570253133773804	0.2087767	Yes	
row_7	HSPA9	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]	837	0.13601508736610413	0.19362096	Yes	
row_8	EDC4	enhancer of mRNA decapping 4 [Source:HGNC Symbol;Acc:HGNC:17157]	956	0.12542101740837097	0.19311684	Yes	
row_9	HSP90B1	heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	961	0.12489408999681473	0.2177264	Yes	
row_10	LSM1	LSM1 homolog, mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:20472]	1035	0.11837734282016754	0.22574021	Yes	
row_11	PDIA6	protein disulfide isomerase family A member 6 [Source:HGNC Symbol;Acc:HGNC:30168]	1059	0.11549773067235947	0.24422815	Yes	
row_12	SSR1	signal sequence receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:11323]	1092	0.11222584545612335	0.26005706	Yes	
row_13	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	1130	0.10919371992349625	0.27416083	Yes	
row_14	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]	1198	0.10316899418830872	0.2803976	Yes	
row_15	CALR	calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]	1201	0.10291341692209244	0.30096275	Yes	
