NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBLN5	fibulin 5 [Source:HGNC Symbol;Acc:HGNC:3602]	57	0.3425314426422119	0.03127472	No	
row_1	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	103	0.29156196117401123	0.058677007	No	
row_2	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	111	0.2856900990009308	0.09376498	No	
row_3	CCN1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]	258	0.21258299052715302	0.08860797	No	
row_4	MMP16	matrix metallopeptidase 16 [Source:HGNC Symbol;Acc:HGNC:7162]	344	0.19436363875865936	0.09466067	No	
row_5	ID1	inhibitor of DNA binding 1, HLH protein [Source:HGNC Symbol;Acc:HGNC:5360]	348	0.19360573589801788	0.11882624	No	
row_6	SRI	sorcin [Source:HGNC Symbol;Acc:HGNC:11292]	380	0.18778389692306519	0.13602704	No	
row_7	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	545	0.16593560576438904	0.1208897	No	
row_8	SNAI2	snail family transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:11094]	568	0.16398203372955322	0.13703634	No	
row_9	AGGF1	angiogenic factor with G-patch and FHA domains 1 [Source:HGNC Symbol;Acc:HGNC:24684]	683	0.1502992808818817	0.13099721	No	
row_10	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	711	0.14796604216098785	0.14397928	No	
row_11	SMAD3	SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]	779	0.14156468212604523	0.14725734	No	
row_12	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	808	0.13861946761608124	0.15881854	No	
row_13	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	820	0.13778561353683472	0.17404805	No	
row_14	TGFBR2	transforming growth factor beta receptor 2 [Source:HGNC Symbol;Acc:HGNC:11773]	836	0.1361674815416336	0.18818173	No	
row_15	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	943	0.1262577474117279	0.18083563	No	
row_16	PIAS3	protein inhibitor of activated STAT 3 [Source:HGNC Symbol;Acc:HGNC:16861]	1041	0.11747657507658005	0.17436194	No	
row_17	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	1123	0.10961874574422836	0.1704336	No	
row_18	DDAH1	dimethylarginine dimethylaminohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:2715]	1456	0.08232995122671127	0.10726458	No	
row_19	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]	1473	0.08141588419675827	0.11415376	No	
row_20	PEX14	peroxisomal biogenesis factor 14 [Source:HGNC Symbol;Acc:HGNC:8856]	1553	0.07532230019569397	0.10627071	No	
