NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]	55	0.34376952052116394	0.023285838	No	
row_1	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	58	0.3422342538833618	0.05821437	No	
row_2	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	70	0.32671046257019043	0.08953433	No	
row_3	GRPEL1	GrpE like 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:19696]	161	0.250694215297699	0.09540639	No	
row_4	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	198	0.2337302565574646	0.11154908	No	
row_5	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	333	0.19680139422416687	0.10205333	No	
row_6	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	340	0.19584429264068604	0.120960094	No	
row_7	CDC34	cell division cycle 34 [Source:HGNC Symbol;Acc:HGNC:1734]	357	0.19204556941986084	0.13724755	No	
row_8	STIP1	stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387]	410	0.18377971649169922	0.14466459	No	
row_9	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol;Acc:HGNC:5270]	454	0.17710767686367035	0.15339601	No	
row_10	RPN1	ribophorin I [Source:HGNC Symbol;Acc:HGNC:10381]	519	0.16975197196006775	0.15669112	No	
row_11	PPT1	palmitoyl-protein thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:9325]	522	0.16957217454910278	0.17377302	No	
row_12	BSG	basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]	769	0.14222131669521332	0.13369702	No	
row_13	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	806	0.13873521983623505	0.14002088	No	
row_14	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	857	0.1336282640695572	0.14269952	No	
row_15	CDKN2B	cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]	859	0.13357989490032196	0.15628389	No	
