NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LEAP2	liver enriched antimicrobial peptide 2 [Source:HGNC Symbol;Acc:HGNC:29571]	11	0.4870564937591553	0.034573708	Yes	
row_1	CRP	C-reactive protein [Source:HGNC Symbol;Acc:HGNC:2367]	80	0.31371641159057617	0.04317871	Yes	
row_2	LCAT	lecithin-cholesterol acyltransferase [Source:HGNC Symbol;Acc:HGNC:6522]	98	0.2972922623157501	0.06197475	Yes	
row_3	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	111	0.2856900990009308	0.08101001	Yes	
row_4	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	125	0.2705896496772766	0.09867254	Yes	
row_5	KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	128	0.2700394093990326	0.118760705	Yes	
row_6	TPST1	tyrosylprotein sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:12020]	134	0.2675200402736664	0.13798432	Yes	
row_7	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	138	0.2628600001335144	0.15730217	Yes	
row_8	ASL	argininosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:746]	151	0.2547336518764496	0.17398316	Yes	
row_9	FAH	fumarylacetoacetate hydrolase [Source:HGNC Symbol;Acc:HGNC:3579]	187	0.2374342381954193	0.18418923	Yes	
row_10	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	198	0.2337302565574646	0.19972152	Yes	
row_11	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	220	0.22616954147815704	0.21221133	Yes	
row_12	ITIH4	inter-alpha-trypsin inhibitor heavy chain 4 [Source:HGNC Symbol;Acc:HGNC:6169]	295	0.20417068898677826	0.21113937	Yes	
row_13	IGFBP4	insulin like growth factor binding protein 4 [Source:HGNC Symbol;Acc:HGNC:5473]	310	0.20134028792381287	0.2233111	Yes	
row_14	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	340	0.19584429264068604	0.23170011	Yes	
row_15	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]	367	0.18999086320400238	0.24031691	Yes	
row_16	PROS1	protein S [Source:HGNC Symbol;Acc:HGNC:9456]	384	0.18725784122943878	0.25096902	Yes	
row_17	GSTO1	glutathione S-transferase omega 1 [Source:HGNC Symbol;Acc:HGNC:13312]	467	0.1754307895898819	0.24591684	Yes	
row_18	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	481	0.17386218905448914	0.25622314	Yes	
row_19	F11	coagulation factor XI [Source:HGNC Symbol;Acc:HGNC:3529]	482	0.17375440895557404	0.26943734	Yes	
row_20	NMT1	N-myristoyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:7857]	483	0.1732950210571289	0.28261665	Yes	
row_21	FBP1	fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]	494	0.17164070904254913	0.29342693	Yes	
row_22	AKR1C3	aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]	538	0.1672421544790268	0.29650033	Yes	
row_23	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	552	0.16537021100521088	0.3061608	Yes	
row_24	SHMT2	serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]	600	0.16044533252716064	0.30782	Yes	
row_25	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	603	0.16013465821743011	0.31954977	Yes	
row_26	GCKR	glucokinase regulator [Source:HGNC Symbol;Acc:HGNC:4196]	626	0.15718045830726624	0.32656857	Yes	
row_27	CNDP2	carnosine dipeptidase 2 [Source:HGNC Symbol;Acc:HGNC:24437]	634	0.15650327503681183	0.33690062	Yes	
row_28	GSTA3	glutathione S-transferase alpha 3 [Source:HGNC Symbol;Acc:HGNC:4628]	650	0.15501876175403595	0.34532523	Yes	
row_29	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	668	0.15226057171821594	0.35309145	Yes	
row_30	CBR1	carbonyl reductase 1 [Source:HGNC Symbol;Acc:HGNC:1548]	697	0.14889265596866608	0.35813406	Yes	
row_31	F10	coagulation factor X [Source:HGNC Symbol;Acc:HGNC:3528]	755	0.14334355294704437	0.35624948	Yes	
row_32	RAP1GAP	RAP1 GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:9858]	792	0.14036676287651062	0.35884917	Yes	
row_33	PTGR1	prostaglandin reductase 1 [Source:HGNC Symbol;Acc:HGNC:18429]	799	0.13954606652259827	0.3681159	Yes	
row_34	GSS	glutathione synthetase [Source:HGNC Symbol;Acc:HGNC:4624]	858	0.1336035281419754	0.36526626	Yes	
row_35	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	870	0.13285844027996063	0.37290284	Yes	
row_36	ALDH2	aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404]	905	0.1299414187669754	0.37515828	Yes	
row_37	PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	1023	0.11971509456634521	0.3580178	No	
row_38	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	1122	0.10964902490377426	0.34437376	No	
row_39	IDH1	isocitrate dehydrogenase (NADP(+)) 1, cytosolic [Source:HGNC Symbol;Acc:HGNC:5382]	1233	0.09957800060510635	0.32727206	No	
row_40	PGD	phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891]	1370	0.08962787687778473	0.3035814	No	
row_41	CES1	carboxylesterase 1 [Source:HGNC Symbol;Acc:HGNC:1863]	1396	0.0878087729215622	0.30465144	No	
row_42	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide [Source:HGNC Symbol;Acc:HGNC:251]	1467	0.08193530142307281	0.29518062	No	
row_43	CYB5A	cytochrome b5 type A [Source:HGNC Symbol;Acc:HGNC:2570]	1486	0.08043517917394638	0.2972601	No	
row_44	NQO1	NAD(P)H quinone dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:2874]	1539	0.07649718970060349	0.2914134	No	
row_45	HPRT1	hypoxanthine phosphoribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5157]	1573	0.07378900796175003	0.2896227	No	
row_46	BPHL	biphenyl hydrolase like [Source:HGNC Symbol;Acc:HGNC:1094]	1577	0.07352009415626526	0.29454103	No	
row_47	COMT	catechol-O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:2228]	1667	0.06551899760961533	0.27955973	No	
row_48	CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	1692	0.06379486620426178	0.27902782	No	
row_49	XDH	xanthine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12805]	1699	0.0632302388548851	0.28249064	No	
row_50	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	1719	0.06131080165505409	0.2828914	No	
row_51	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	1749	0.05825723707675934	0.28081676	No	
row_52	ACP1	acid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:122]	1797	0.0540352463722229	0.27438337	No	
row_53	LONP1	lon peptidase 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:9479]	1821	0.051552075892686844	0.2731447	No	
row_54	SPINT2	serine peptidase inhibitor, Kunitz type 2 [Source:HGNC Symbol;Acc:HGNC:11247]	1850	0.0491991825401783	0.2706055	No	
row_55	PGRMC1	progesterone receptor membrane component 1 [Source:HGNC Symbol;Acc:HGNC:16090]	1889	0.04653435945510864	0.2656205	No	
row_56	GCNT2	glucosaminyl (N-acetyl) transferase 2 (I blood group) [Source:HGNC Symbol;Acc:HGNC:4204]	1913	0.04457471892237663	0.26385117	No	
row_57	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	1974	0.039211735129356384	0.25337434	No	
row_58	ARPP19	cAMP regulated phosphoprotein 19 [Source:HGNC Symbol;Acc:HGNC:16967]	1975	0.0390249639749527	0.2563422	No	
row_59	PMM1	phosphomannomutase 1 [Source:HGNC Symbol;Acc:HGNC:9114]	2003	0.03732173517346382	0.25312406	No	
row_60	RBP4	retinol binding protein 4 [Source:HGNC Symbol;Acc:HGNC:9922]	2042	0.034430257976055145	0.2472185	No	
row_61	DCXR	dicarbonyl and L-xylulose reductase [Source:HGNC Symbol;Acc:HGNC:18985]	2116	0.029063481837511063	0.23305376	No	
row_62	FABP1	fatty acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3555]	2241	0.018005259335041046	0.20660791	No	
row_63	ETS2	ETS proto-oncogene 2, transcription factor [Source:HGNC Symbol;Acc:HGNC:3489]	2338	0.010301606729626656	0.18585704	No	
row_64	MBL2	mannose binding lectin 2 [Source:HGNC Symbol;Acc:HGNC:6922]	2419	0.0034478260204195976	0.16817398	No	
row_65	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide [Source:HGNC Symbol;Acc:HGNC:253]	2430	0.002793878549709916	0.16614331	No	
row_66	ANGPTL3	angiopoietin like 3 [Source:HGNC Symbol;Acc:HGNC:491]	2437	0.002186555415391922	0.1649637	No	
row_67	GNMT	glycine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4415]	2474	-0.0011043313425034285	0.15697232	No	
row_68	EPHA2	EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]	2495	-0.0025223165284842253	0.15267782	No	
row_69	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	2624	-0.013460181653499603	0.124989055	No	
row_70	VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	2706	-0.019882163032889366	0.10833154	No	
row_71	GSTM4	glutathione S-transferase mu 4 [Source:HGNC Symbol;Acc:HGNC:4636]	2723	-0.021955711767077446	0.10641224	No	
row_72	IGFBP1	insulin like growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5469]	2756	-0.025859806686639786	0.1012008	No	
row_73	PLG	plasminogen [Source:HGNC Symbol;Acc:HGNC:9071]	2794	-0.029635775834321976	0.09515495	No	
row_74	REG1A	regenerating family member 1 alpha [Source:HGNC Symbol;Acc:HGNC:9951]	2913	-0.04116203635931015	0.071816094	No	
row_75	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	2958	-0.043814197182655334	0.065278314	No	
row_76	ALDH3A1	aldehyde dehydrogenase 3 family member A1 [Source:HGNC Symbol;Acc:HGNC:405]	3020	-0.04914531484246254	0.05533261	No	
row_77	PTS	6-pyruvoyltetrahydropterin synthase [Source:HGNC Symbol;Acc:HGNC:9689]	3175	-0.067440465092659	0.02591689	No	
row_78	MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7432]	3214	-0.07221817225217819	0.02288516	No	
row_79	TDO2	tryptophan 2,3-dioxygenase [Source:HGNC Symbol;Acc:HGNC:11708]	3262	-0.07670757174491882	0.018176012	No	
row_80	SERPINA6	serpin family A member 6 [Source:HGNC Symbol;Acc:HGNC:1540]	3322	-0.08331870287656784	0.011277856	No	
row_81	ENPEP	glutamyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:3355]	3334	-0.08466338366270065	0.015249126	No	
row_82	GAD1	glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092]	3404	-0.09402883052825928	0.00692233	No	
row_83	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]	3446	-0.09799104183912277	0.0051777074	No	
row_84	FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]	3508	-0.10516218096017838	-5.078586E-4	No	
row_85	ACP2	acid phosphatase 2, lysosomal [Source:HGNC Symbol;Acc:HGNC:123]	3512	-0.10570991039276123	0.006858549	No	
row_86	HRG	histidine rich glycoprotein [Source:HGNC Symbol;Acc:HGNC:5181]	3527	-0.10738397389650345	0.011884797	No	
row_87	DDC	dopa decarboxylase [Source:HGNC Symbol;Acc:HGNC:2719]	3547	-0.10933487862348557	0.015937835	No	
row_88	PTGES3	prostaglandin E synthase 3 [Source:HGNC Symbol;Acc:HGNC:16049]	3553	-0.11023624241352081	0.023199843	No	
row_89	DHPS	deoxyhypusine synthase [Source:HGNC Symbol;Acc:HGNC:2869]	3773	-0.14020608365535736	-0.015262497	No	
row_90	CCL25	C-C motif chemokine ligand 25 [Source:HGNC Symbol;Acc:HGNC:10624]	3789	-0.14281213283538818	-0.0077662137	No	
row_91	PYCR1	pyrroline-5-carboxylate reductase 1 [Source:HGNC Symbol;Acc:HGNC:9721]	3792	-0.1436651349067688	0.0027110472	No	
row_92	ARG2	arginase 2 [Source:HGNC Symbol;Acc:HGNC:664]	3805	-0.14666242897510529	0.0111730965	No	
row_93	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	3833	-0.1503763496875763	0.016552856	No	
row_94	HGFAC	HGF activator [Source:HGNC Symbol;Acc:HGNC:4894]	3948	-0.16619834303855896	0.0036204192	No	
row_95	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	4010	-0.1760481595993042	0.00332581	No	
row_96	BLVRB	biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063]	4101	-0.18816329538822174	-0.002552589	No	
row_97	HNF4A	hepatocyte nuclear factor 4 alpha [Source:HGNC Symbol;Acc:HGNC:5024]	4214	-0.21366067230701447	-0.011426832	No	
row_98	ARG1	arginase 1 [Source:HGNC Symbol;Acc:HGNC:663]	4225	-0.21684977412223816	0.0028216748	No	
row_99	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5 (inactive) [Source:HGNC Symbol;Acc:HGNC:3367]	4242	-0.22082678973674774	0.016026743	No	
row_100	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide [Source:HGNC Symbol;Acc:HGNC:256]	4270	-0.22746962308883667	0.027269531	No	
row_101	ITIH1	inter-alpha-trypsin inhibitor heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:6166]	4285	-0.23026198148727417	0.04164079	No	
row_102	FETUB	fetuin B [Source:HGNC Symbol;Acc:HGNC:3658]	4362	-0.2606358826160431	0.04441443	No	
